,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,DateApproved
1652,$5-10 million,ACTION ENTERPRISE HOLDINGS LLC,204 20TH ST N,BIRMINGHAM,AL,35203.0,484220.0,4/15/2020
1653,$5-10 million,"ALLIANCE HR, INC",307 CLINTON AVE suite 200,HUNTSVILLE,AL,35801.0,561311.0,5/4/2020
1654,$5-10 million,"AMERICAN FAMILY CARE, INC.",3700 Cahaba Beach Road,BIRMINGHAM,AL,35242.0,621111.0,5/6/2020
1655,$5-10 million,"AMERICAN PROMOTIONAL EVENTS, INC.",4511 HELTON DR,FLORENCE,AL,35630.0,424990.0,4/14/2020
1656,$5-10 million,"ANESTHESIOLOGISTS ASSOCIATES, P.C.",3104 BLUE LAKE DR,VESTAVIA,AL,35243.0,621111.0,4/8/2020
1657,$5-10 million,ARD LOGISTICS-ALABAMA LLC,10093 BROSE DR,VANCE,AL,35490.0,541614.0,4/14/2020
1658,$5-10 million,ASSOCIATED GROCERS OF THE SOUTH INC,3600 Vanderbilt Rd,BIRMINGHAM,AL,35217.0,424490.0,4/10/2020
1659,$5-10 million,ATS OPERATING LLC,1900 CRESTWOOD BLVD SUITE 302,IRONDALE,AL,35210.0,453310.0,4/4/2020
1660,$5-10 million,"AUTOMATION PERSONNEL SERVICES, INC.",3500 Colonnade Parkway,BIRMINGHAM,AL,35243.0,561499.0,4/14/2020
1661,$5-10 million,BALCH & BINGHAM LLP,1901 6TH AVE N Ste 1500,BIRMINGHAM,AL,35203.0,541110.0,4/5/2020
1662,$5-10 million,BEVILACQUA RESEARCH CORPORATION,4901 CORPORATE DR Ste B,HUNTSVILLE,AL,35805.0,541330.0,4/28/2020
1663,$5-10 million,"CAPITOL BUSINESS EQUIPMENT, INC.",PO BOX 1944,MONTGOMERY,AL,36102.0,423420.0,4/7/2020
1664,$5-10 million,"CARR, RIGGS & INGRAM, LLC",901 BOLL WEEVIL CIR SUITE 200,ENTERPRISE,AL,36330.0,541211.0,4/27/2020
1665,$5-10 million,"CONTINENTAL AEROSPACE TECHNOLOGIES, INC.",2039 S BROAD ST,MOBILE,AL,36615.0,336414.0,4/15/2020
1666,$5-10 million,DESHAZO LLC,200 Kilsby Circle,BESSEMER,AL,35022.0,339999.0,4/13/2020
1667,$5-10 million,DOTHAN SECURITY INC,600 West Adams ST,DOTHAN,AL,36303.0,561612.0,4/13/2020
1668,$5-10 million,DYNAMIC SECURITY INC,1102 Woodward Ave,MUSCLE SHOALS,AL,35661.0,561612.0,4/28/2020
1669,$5-10 million,"E.A. RENFROE & COMPANY, INC.",1600 CORPORATE DR,BIRMINGHAM,AL,35242.0,812990.0,4/14/2020
1670,$5-10 million,ENCORE REHABILITATION INC,251 JOHNSTON ST SE STE 200,DECATUR,AL,35601.0,624190.0,4/8/2020
1671,$5-10 million,"FACTORY CONNECTION, LLC",2300 Highway 79 South,GUNTERSVILLE,AL,35976.0,448140.0,4/14/2020
1672,$5-10 million,"FELDER SERVICES, LLC",3400 N Beltline Park Dr,MOBILE,AL,36617.0,561720.0,4/9/2020
1673,$5-10 million,"GENERAL SOUTHERN INDUSTRIES, INC.",15825 Alabama 243,RUSSELLVILLE,AL,35654.0,332312.0,4/14/2020
1674,$5-10 million,HOMETOWN LENDERS,350 THE BRIDGE ST SUITE 200,HUNTSVILLE,AL,35806.0,522310.0,4/13/2020
1675,$5-10 million,"IHP OPERATIONS , LLC",1769 LAWRENCE ST E,RUSSELLVILLE,AL,35654.0,333414.0,4/14/2020
1676,$5-10 million,J & M TANK LINES INC.,7501 Meadowlark Drive,BIRMINGHAM,AL,35242.0,484230.0,4/7/2020
1677,$5-10 million,"JOHNSON CONTRACTORS, INC.",3635 2ND STREET,MUSCLE SHOALS,AL,35661.0,213112.0,4/6/2020
1678,$5-10 million,"LEGACY CABINETS, INC.",285 LEGACY BLVD,EASTABOGA,AL,36260.0,337110.0,4/30/2020
1679,$5-10 million,"MAGNOLIA RIVER SERVICES, INC.",711 Nance Ford Rd SW Suite E,HARTSELLE,AL,35640.0,541360.0,4/6/2020
1680,$5-10 million,"MAILSOUTH, INC.",5901 HIGHWAY 52 E,HELENA,AL,35080.0,541810.0,4/30/2020
1681,$5-10 million,"MAPLES INDUSTRIES, INC.",2210 Moody Ridge Rd,SCOTTSBORO,AL,35768.0,314110.0,4/6/2020
1682,$5-10 million,"MAYNARD COOPER & GALE, PC.",1901 6TH AVE N Ste 2400,BIRMINGHAM,AL,35203.0,541110.0,4/13/2020
