,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,DateApproved
9524,$5-10 million,ARKANSAS HOSPICE INC,14 PARKSTONE CIR,NORTH LITTLE ROCK,AR,72116.0,623311.0,6/15/2020
9525,$5-10 million,ARKANSAS PULMONARY CLINIC,9601 BAPTIST HEALTH DR STE 560,LITTLE ROCK,AR,72205.0,621111.0,4/30/2020
9526,$5-10 million,"CENTRAL RESEARCH, INC.",122 N. Bloomington St Ste 1,LOWELL,AR,72745.0,561440.0,4/6/2020
9527,$5-10 million,"INCITE REHAB, LLC","824 Salem Road, Suite 210",CONWAY,AR,72034.0,621340.0,4/15/2020
9528,$5-10 million,"INTIMIDATOR, INC.",1 Bad Boy Blvd,BATESVILLE,AR,72501.0,332911.0,4/7/2020
9529,$5-10 million,J.A. RIGGS TRACTOR COMPANY,9125 Interstate 30,LITTLE ROCK,AR,72209.0,333924.0,4/8/2020
9530,$5-10 million,MATHEWS MANAGEMENT CO,1468 E MOUNTAIN RD,SPRINGDALE,AR,72764.0,722513.0,4/8/2020
9531,$5-10 million,"MCC GROUP HOLDINGS, INC.",2300 North Lowell Road,SPRINGDALE,AR,72764.0,238220.0,4/13/2020
9532,$5-10 million,"MEDICAL ASSOCIATES OF NWA, P.A.",3383 N MANA CT SUITE 201,FAYETTEVILLE,AR,72703.0,621111.0,4/8/2020
9533,$5-10 million,PERFECTVISION MANUFACTURING INC,16101 LaGrande Dr,LITTLE ROCK,AR,72223.0,423620.0,4/16/2020
9534,$5-10 million,RAUSCH COLEMAN DEVELOPMENT GROUP INC,4058 N COLLEGE AVE,FAYETTEVILLE,AR,72703.0,236117.0,4/4/2020
9535,$5-10 million,ROCK DENTAL MISSOURI LLC,500 SHALL ST A,LITTLE ROCK,AR,72202.0,621210.0,4/3/2020
9536,$5-10 million,"SGOH ACQUISITION, INC",1101 Jackson St SW,GRAVETTE,AR,72736.0,622110.0,4/7/2020
9537,$5-10 million,"SOUTHERN PIPELINE CONSTRUCTION COMPANY, INC.",2600 Eastline Road,SEARCY,AR,72143.0,237120.0,4/15/2020
9538,$5-10 million,SYSTEMS PLANT SERVICES INC,POBOX 11390,EL DORADO,AR,71730.0,236210.0,4/13/2020
9539,$5-10 million,"THE PRICE COMPANIES, INC.","218 Midway Route,",MONTICELLO,AR,71655.0,322121.0,4/13/2020
9540,$5-10 million,TRANSCO LINES INC.,401 N Arkansas St,RUSSELLVILLE,AR,72801.0,484121.0,4/7/2020
9541,$5-10 million,"VCC, LLC","1 Information Way, Ste. 300",LITTLE ROCK,AR,72202.0,531120.0,4/5/2020
9542,$5-10 million,WELSPUN PIPES INC,9301 FRAZIER PIKE,LITTLE ROCK,AR,72206.0,331210.0,6/29/2020
9543,$2-5 million,"AMEDISTAF, LLC",PO Box 595,TONTITOWN,AR,72770.0,561320.0,4/11/2020
9544,$2-5 million,"AMERICAN STITCHCO, INC.",4662 HWY 62 West,MOUNTAIN HOME,AR,72653.0,315990.0,4/3/2020
9545,$2-5 million,"AMERICAN TUBING ARKANSAS, LLC",2191 FORD AVE,SPRINGDALE,AR,72764.0,331420.0,4/15/2020
9546,$2-5 million,ARKANSAS COLLEGES OF HEALTH EDUCATION,7000 Chad Colley Blvd.,FORT SMITH,AR,72916.0,611310.0,4/7/2020
9547,$2-5 million,"ARKANSAS DEMOCRAT-GAZETTE, INC.",PO BOX 2221,LITTLE ROCK,AR,72203.0,511110.0,4/28/2020
9548,$2-5 million,"ARKANSAS ENTERPRISES FOR THE DEVELOPMENTALLY DISABLED, INC.",105 EAST ROOSEVELT ROAD,LITTLE ROCK,AR,72206.0,623210.0,4/11/2020
