,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,DateApproved
13799,$5-10 million,AKDHC LLC,3333 E CAMELBACK,PHOENIX,AZ,85018.0,621111.0,4/27/2020
13800,$5-10 million,ALCANTAR MARKETING LLC,3930 E. University Dr,MESA,AZ,85205.0,524130.0,4/28/2020
13801,$5-10 million,AMERIFIRST FINANCIAL INC,"1550 E MCKELLIPS RD, STE 117",MESA,AZ,85203.0,523999.0,4/27/2020
13802,$5-10 million,"ARIZONA COMMUNITY PHYSICIANS, P.C.",5055 E BROADWAY BLVD Ste A100,TUCSON,AZ,85711.0,621111.0,4/29/2020
13803,$5-10 million,ATRIUM FINANCE I LP,2398 E CAMELBACK RD STE 1000,PHOENIX,AZ,85016.0,721110.0,4/30/2020
13804,$5-10 million,"CANNON & WENDT ELECTRIC CO., INC.",4020 N. 16th St.,PHOENIX,AZ,85016.0,238210.0,4/6/2020
13805,$5-10 million,CHILDRENS LEARNING ADVENTURE USA LLC,14631 N SCOTTSDALE RD SUITE 200,SCOTTSDALE,AZ,85254.0,624410.0,5/3/2020
13806,$5-10 million,"CONNECTIONS HEALTH SOLUTIONS, LLC",2394 E CAMELBACK RD STE 200,PHOENIX,AZ,85016.0,621420.0,4/27/2020
13807,$5-10 million,"CONSTRUCTION GROUP STAFFING, LLC",8712 E Via de Commercia Suite 2,SCOTTSDALE,AZ,85258.0,561320.0,5/8/2020
13808,$5-10 million,"DAWG, INC.",15685 N CAVE CREEK RD,PHOENIX,AZ,85032.0,561320.0,4/11/2020
13809,$5-10 million,"DESERT STONE ARCH PROPERTIES, LLC (EPC)",2810 S. SOSSAMAN RD STE 106,MESA,AZ,85212.0,561710.0,4/29/2020
13810,$5-10 million,"EVO TRANSPORTATION & ENERGY SERVICES, INC.",2075 West Pinnacle Peak Rd. Ste. 130,PHOENIX,AZ,85027.0,488510.0,4/13/2020
13811,$5-10 million,FPR-II LLC,5310 E HIGH ST SUITE 300,PHOENIX,AZ,85054.0,561320.0,5/3/2020
13812,$5-10 million,HAYDON BUILDING CORP,4640 EAST COTTON GIN LOOP,PHOENIX,AZ,85040.0,236220.0,4/9/2020
13813,$5-10 million,HEALTH SERVICES HOLDINGS INC,3133 East Camelback Road,PHOENIX,AZ,85016.0,621111.0,4/27/2020
13814,$5-10 million,"HOME HEALTH AGENCY - ARIZONA, LLC",2999 N44th Street Suite 100,PHOENIX,AZ,85018.0,621610.0,4/11/2020
13815,$5-10 million,"HOMEOWNERS FINANCIAL GROUP USA, LLC",16427 N SCOTTSDALE RD STE 145,SCOTTSDALE,AZ,85254.0,522292.0,4/27/2020
13816,$5-10 million,HOT PIZZAS LLC,3845 Stockton Hill Rd,KINGMAN,AZ,86409.0,722513.0,4/8/2020
13817,$5-10 million,HOT TACOS INC,3845 Stockton Hill Rd,KINGMAN,AZ,86409.0,722513.0,4/8/2020
13818,$5-10 million,INT TECHNOLOGIES LLC,4862 E BASELINE RD STE 104,MESA,AZ,85206.0,541519.0,4/15/2020
13819,$5-10 million,"JFQ LENDING, INC",15051 N Kierland Blvd Suite 280,SCOTTSDALE,AZ,85254.0,522310.0,4/7/2020
13820,$5-10 million,KALIL BOTTLING CO.,P.O. Box 26888 0.0,TUCSON,AZ,85726.0,312111.0,4/13/2020
