,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,DateApproved
112814,$5-10 million,1888 INDUSTRIAL SERVICES LLC,800 8th Ave Ste 301,GREELEY,CO,80631.0,213112.0,6/26/2020
112815,$5-10 million,4 RIVERS EQUIPMENT LLC,924 11TH ST,GREELEY,CO,80631.0,453998.0,4/10/2020
112816,$5-10 million,"ADVISORS ASSET MANAGEMENT, INC",18925 Base Camp Road,MONUMENT,CO,80132.0,523110.0,4/5/2020
112817,$5-10 million,ALCOHOL MONITORING SYSTEMS INC.,"1241 E Minneral Ave., Suite 200",LITTLETON,CO,80120.0,423450.0,4/15/2020
112818,$5-10 million,"ALL COPY PRODUCTS, INC.",1635 W 13TH AVE,DENVER,CO,80204.0,532420.0,4/15/2020
112819,$5-10 million,"ALLOSOURCE, INC.",6278 S. Troy Cir,ENGLEWOOD,CO,80111.0,621991.0,4/7/2020
112820,$5-10 million,"ALVARADO CONCEPTS, LLC",924 W. COLFAX AVE,DENVER,CO,80204.0,722513.0,4/8/2020
112821,$5-10 million,AMAZING CARE HOME HEALTH SERVI,2821 S. PARKER RD Suite 615,AURORA,CO,80014.0,621610.0,4/14/2020
112822,$5-10 million,AMERICAN FINANCING CORPORATION,3045 S PARKER RD STE 100,AURORA,CO,80014.0,522292.0,5/3/2020
112823,$5-10 million,APOGEE ENGINEERING LLC,8610 EXPLORER DR,COLORADO SPRINGS,CO,80920.0,541330.0,4/7/2020
112824,$5-10 million,APPLIANCE FACTORY OUTLET,321 W 84th Ave.,DENVER,CO,80260.0,532210.0,4/15/2020
112825,$5-10 million,"ARAPAHOE MENTAL HEALTH CENTER, INC.",116 Inverness Drive East Suite 105,ENGLEWOOD,CO,80112.0,621112.0,4/14/2020
112826,$5-10 million,"ARAPAHOE MOTORS, INC.",1190 Plum Valley Lane 0.0,HIGHLANDS RANCH,CO,80129.0,441110.0,4/9/2020
112827,$5-10 million,ASPEN VALLEY HOSPITAL DISTRICT,0401 CASTLE CREEK ROAD,ASPEN,CO,81611.0,622110.0,5/3/2020
112828,$5-10 million,ASPENPOINTE INC.,"675 SOUTHPOINTE CT, STE 210",COLORADO SPRINGS,CO,80906.0,621420.0,4/5/2020
112829,$5-10 million,BAD DADDY'S INTERNATIONAL LLC,141 UNION BLVD,LAKEWOOD,CO,80228.0,722511.0,4/5/2020
112830,$5-10 million,"BIGHORN CONSTRUCTION & RECLAMATION, LLC",555 17th Street,DENVER,CO,80202.0,237120.0,4/13/2020
112831,$5-10 million,BOSTON MARKET CORP,14103 Denver West Parkway,GOLDEN,CO,80401.0,722513.0,4/27/2020
112832,$5-10 million,"BOULDER MEDICAL CENTER, P.C.",2750 Broadway,BOULDER,CO,80304.0,621111.0,4/10/2020
112833,$5-10 million,"BRIGADE ENERGY SERVICES, LLC",700 17TH ST 1550,DENVER,CO,80202.0,213112.0,4/15/2020
112834,$5-10 million,"CAREPOINT, P.C.",5600 S. Quebec St.,ENGLEWOOD,CO,80111.0,621111.0,4/12/2020
112835,$5-10 million,COBB MECHANICAL CONTRACTORS,2906 W Morrison St,COLORADO SPRINGS,CO,80934.0,238220.0,4/4/2020
112836,$5-10 million,COLORADO MUSEUM OF NATURAL HISTORY,2001 N Colorado Blvd,DENVER,CO,80205.0,712110.0,4/27/2020
112837,$5-10 million,DAVIS GRAHAM & STUBBS LLP,"1550 17th Street, Ste 500",DENVER,CO,80202.0,922130.0,4/15/2020
112838,$5-10 million,"DUTCH'S HOME IMPROVEMENT, INC.","5755 INDUSTRIAL PL, STE F",COLORADO SPRINGS,CO,80916.0,238170.0,4/29/2020
112839,$5-10 million,"E2 OPTICS, LLC",76 Inverness Dr E,ENGLEWOOD,CO,80112.0,517911.0,4/14/2020
112840,$5-10 million,"ENERGY INSPECTION SERVICES, LLC",479 Wolverine Dr,BAYFIELD,CO,81122.0,541990.0,4/15/2020
112841,$5-10 million,ESCO CONSTRUCTION CO.,3540 Evergreen Pkwy,EVERGREEN,CO,80439.0,237110.0,4/14/2020
112842,$5-10 million,FCI CONSTRUCTORS,3070 I-70 BUSINESS LOOP,GRAND JUNCTION,CO,81504.0,236220.0,4/3/2020
112843,$5-10 million,"FIORE & SONS, INC",80 East 62nd Ave; #101,DENVER,CO,80216.0,238910.0,4/8/2020
112844,$5-10 million,"FIRST MERIDIAN SERVICES, INC.",8231 East Prentice Avenue,ENGLEWOOD,CO,80111.0,722310.0,4/8/2020
112845,$5-10 million,"GCSES II HOLDINGS, LP",1470 WALNUT ST,BOULDER,CO,80302.0,237120.0,4/7/2020
112846,$5-10 million,"GERALD H. PHIPPS, INC.",5995 Greenwood Plaza Blvd,ENGLEWOOD,CO,80111.0,236210.0,4/11/2020
112847,$5-10 million,"GOLFTEC ENTERPRISES, LLC",67 Inverness Drive East Suite 175,ENGLEWOOD,CO,80112.0,611620.0,4/8/2020
112848,$5-10 million,GORES VITAC HOLDINGS,6260 Lookout Road,BOULDER,CO,80301.0,561492.0,4/8/2020
112849,$5-10 million,"GRAEBEL COMPANIES, INC.",16346 Airport Circle,AURORA,CO,80011.0,484210.0,4/10/2020
112850,$5-10 million,"GROUP VOYAGERS, INC.",5301 S. Federal Circle,LITTLETON,CO,80123.0,561520.0,4/28/2020
112851,$5-10 million,HASELDEN CONSTRUCTION,6950 S POTOMAC ST Ste 100,CENTENNIAL,CO,80112.0,236220.0,4/5/2020
112852,$5-10 million,"INSPIRATO, LLC",1544 WAZEE ST,DENVER,CO,80202.0,721199.0,4/8/2020
112853,$5-10 million,"INTELLISOURCE, LLC","1899 Wynkoop St, Ste 200",DENVER,CO,80202.0,561320.0,4/28/2020
112854,$5-10 million,"INTREPID POTASH, INC.",1001 17th Street #1050,DENVER,CO,80202.0,212391.0,4/9/2020
112855,$5-10 million,K2D INC,2035  2ND AVE,GREELEY,CO,80631.0,424470.0,4/15/2020
112856,$5-10 million,"KONA GRILL ACQUISITION, LLC",1624 MARKET ST,DENVER,CO,80202.0,722110.0,4/28/2020
112857,$5-10 million,LERCH BATES INC.,"9780 S. Meridian Blvd, Suite 450",ENGLEWOOD,CO,80112.0,541330.0,4/15/2020
112858,$5-10 million,"LIGNETIC, INC",1075 E SOUTH BOULDER RD,LOUISVILLE,CO,80027.0,321999.0,4/28/2020
112859,$5-10 million,"LONG BUILDING TECHNOLOGIES, INC.",5001 S. Zuni Street,LITTLETON,CO,80120.0,423730.0,4/6/2020
112860,$5-10 million,LONGBOW INDUSTRIES LLC,1171 Des Moiines Avenue,LOVELAND,CO,80537.0,238120.0,4/12/2020
112861,$5-10 million,MAC ACQUISITION LLC,1855 BLAKE ST #200,DENVER,CO,80202.0,722511.0,4/15/2020
112862,$5-10 million,MAC ACQUISITION OF NEW JERSEY LLC,1855 Blake St Suite 200,DENVER,CO,80202.0,722511.0,4/30/2020
112863,$5-10 million,"MADWIRE, LLC",3405 S Timberline Road,FORT COLLINS,CO,80525.0,519130.0,4/6/2020
112864,$5-10 million,METRO COMMUNITY PROVIDER NETWORK,2255 Oneida Street,DENVER,CO,80224.0,621111.0,4/6/2020
112865,$5-10 million,"MISION YOGURT, INC.",10943 Meade Way,WESTMINSTER,CO,80031.0,722511.0,4/7/2020
112866,$5-10 million,MORTGAGE SOLUTIONS OF COLORADO LLC,5455 N Union Blvd,COLORADO SPRINGS,CO,80918.0,522310.0,4/9/2020
112867,$5-10 million,"MOTION & FLOW CONTROL PRODUCTS, INC.",10822 W. Toller Drive Suite 300,LITTLETON,CO,80127.0,423840.0,4/7/2020
112868,$5-10 million,"NAVAJO TRANSITIONAL ENERGY COMPANY, LLC",385 Interlocken Crescent Suite 400,BROOMFIELD,CO,80021.0,212111.0,5/8/2020
