,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,DateApproved
126199,$5-10 million,"AFFINECO, LLC",855 MAIN ST,BRIDGEPORT,CT,6604.0,561720.0,4/13/2020
126200,$5-10 million,"ALLIED PRINTING SERVICES, INC.",1 ALLIED WAY,MANCHESTER,CT,6042.0,323111.0,4/5/2020
126201,$5-10 million,AMERICAN CUSTOMER CARE INC,225 N Main Street,BRISTOL,CT,6010.0,561422.0,4/28/2020
126202,$5-10 million,"APPLE CENTRAL, LLC",170 Mason Street,GREENWICH,CT,6830.0,722511.0,4/14/2020
126203,$5-10 million,"BL COMPANIES, INC.",355 Research Parkway,MERIDEN,CT,6450.0,541330.0,4/15/2020
126204,$5-10 million,"BLUM SHAPIRO & COMPANY, P.C.",29 SOUTH MAIN STREET,WEST HARTFORD,CT,6127.0,541211.0,4/28/2020
126205,$5-10 million,"CAFFEINE, INC.",897 Boston Post Road,MADISON,CT,6443.0,541613.0,4/14/2020
126206,$5-10 million,"CANTINA HOSPITALITY, LLC",170 Mason Street,GREENWICH,CT,6830.0,722511.0,4/14/2020
126207,$5-10 million,CENVEO WORLDWIDE LIMITED,200 First Stamford Place,STAMFORD,CT,6902.0,322230.0,5/3/2020
126208,$5-10 million,"COMNET COMMUNICATIONS, LLC",1 Park Ridge Road Suite,BETHEL,CT,6801.0,238990.0,4/28/2020
126209,$5-10 million,CONNECTICUT CONTAINER CORP,455 SACKETT POINT RD,NORTH HAVEN,CT,6473.0,326112.0,4/15/2020
126210,$5-10 million,"CONNECTICUT ORTHOPAEDIC SPECIALISTS, P.C.",2408 Whitney Ave,HAMDEN,CT,6518.0,621111.0,4/29/2020
126211,$5-10 million,DAY PITNEY LLP,242 TRUMBULL ST,HARTFORD,CT,6103.0,541110.0,4/8/2020
126212,$5-10 million,E-J ELECTRIC T&D LLC,53 North PLAINS INDUSTRIAL RD,WALLINGFORD,CT,6492.0,238210.0,4/9/2020
126213,$5-10 million,"ECP-PF HOLDINGS GROUP, INC.",35 Old Tavern Road Suite 200,ORANGE,CT,6477.0,722511.0,4/15/2020
126214,$5-10 million,"ELM HILL MANOR, INC.",37 Elm Street,VERNON ROCKVILLE,CT,6066.0,623990.0,4/13/2020
126215,$5-10 million,"FUELCELL ENERGY, INC.",3 GREAT PASTURE RD,DANBURY,CT,6810.0,334413.0,4/10/2020
126216,$5-10 million,FUSS & O'NEILL INC,146 Hartford Rd,MANCHESTER,CT,6040.0,541330.0,4/14/2020
126217,$5-10 million,GENGRAS MOTOR CARS INC.,300 CONNECTICUT BLVD,EAST HARTFORD,CT,6108.0,441110.0,4/8/2020
126218,$5-10 million,HAMILTON CONNECTIONS INC,1602 MAIN ST,EAST HARTFORD,CT,6108.0,561320.0,4/8/2020
126219,$5-10 million,"HB COMMUNICATIONS, INC.",60 DODGE AVE,NORTH HAVEN,CT,6473.0,423620.0,4/8/2020
126220,$5-10 million,"HOBSON & MOTZER, INC",32 AIRLINE RD,DURHAM,CT,6422.0,332119.0,4/4/2020
126221,$5-10 million,INTEGRATED ANESTHESIA ASSOCIATES LLC,2 TRAP FALLS RD,SHELTON,CT,6484.0,621111.0,4/7/2020
126222,$5-10 million,"LATICRETE INTERNATIONAL, INC.",1 Laticrete Park North,BETHANY,CT,6524.0,325510.0,4/15/2020
126223,$5-10 million,"MASSEY'S PLATE GLASS & ALUMINUM, INC.",734 EAST MAIN ST,BRANFORD,CT,6405.0,238150.0,4/6/2020
126224,$5-10 million,"MERRITT HOSPITALITY, LLC","101 Merritt 7 Corp Park, 1st Floor 0.0",NORWALK,CT,6851.0,721110.0,4/15/2020
126225,$5-10 million,MODA LLC,777 West Putnam Avenue 0,GREENWICH,CT,6830.0,424340.0,4/27/2020
