,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,DateApproved
134794,$5-10 million,AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE,"1200 New York Ave, NW",WASHINGTON,DC,20005.0,813920.0,4/30/2020
134795,$5-10 million,AMERICAN COLLEGE OF CARDIOLOGY FOUNDATION,"2400 N Street, NW",WASHINGTON,DC,20037.0,813212.0,4/28/2020
134796,$5-10 million,ANNCHOR CONSTRUCTION CORPORATION,2254 25th Place NE,WASHINGTON,DC,20018.0,236220.0,4/15/2020
134797,$5-10 million,APCO WORLDWIDE LLC,1299 PENNSYLVANIA AVE NW STE 30,WASHINGTON,DC,20004.0,541613.0,4/15/2020
134798,$5-10 million,"BATES WHITE, LLC",2001 K Street Suite 500,WASHINGTON,DC,20006.0,541690.0,4/10/2020
134799,$5-10 million,"CAVA MEZZE GRILL, LLC",702 H Street NW,WASHINGTON,DC,20001.0,722511.0,4/8/2020
134800,$5-10 million,"CREATIVE ASSOCIATES INTERNATIONAL, INC.",5301 WISCONSIN AVE Ste 700,WASHINGTON,DC,20015.0,541611.0,4/10/2020
134801,$5-10 million,"FISCALNOTE HOLDINGS, INC.",1201 Pennsylvania Ave NW 0.0,WASHINGTON,DC,20004.0,541990.0,4/11/2020
134802,$5-10 million,MADISON MARQUETTE REALTY GROUP,"1000 Maine Ave SW, Suite 300",WASHINGTON,DC,20024.0,531312.0,4/13/2020
134803,$5-10 million,NATIONAL COMMITTEE FOR QUALITY ASSURANCE,1100 13TH ST NW,WASHINGTON,DC,20005.0,813910.0,4/9/2020
134804,$5-10 million,OMNI SHOREHAM CORPORATION,2500 CALVERT STREET NW,WASHINGTON,DC,20008.0,721110.0,4/5/2020
134805,$5-10 million,R&R MECHANICAL LLC,2902 Bladensburg Road NE,WASHINGTON,DC,20018.0,238220.0,4/13/2020
134806,$5-10 million,SIDWELL FRIENDS SCHOOL,3825 Wisconsin Ave NW,WASHINGTON,DC,20016.0,611110.0,4/14/2020
134807,$5-10 million,VERACITY ENGINEERING,955 LENFANT PLZ,WASHINGTON,DC,20024.0,541519.0,4/27/2020
134808,$5-10 million,WILEY REIN LLP,1776 K ST,WASHINGTON,DC,20006.0,541110.0,4/28/2020
134809,$2-5 million,"1 SOURCE CONSULTING, INC.",1250 H Street NWSuite 310,WASHINGTON,DC,20005.0,541519.0,4/14/2020
134810,$2-5 million,"1000K, LLC",900 10th Street NW,WASHINGTON,DC,20001.0,721110.0,4/15/2020
134811,$2-5 million,ACDI/VOCA,50 F St NW Ste 1075,WASHINGTON,DC,20001.0,813319.0,4/14/2020
134812,$2-5 million,ALBRIGHT STONEBRIDGE GROUP LLC,601 13th St NW 10th Floor,WASHINGTON,DC,20005.0,541611.0,4/10/2020
134813,$2-5 million,AMERICAN COUNCIL ON EDUCATION,1 DUPONT CIR NW,WASHINGTON,DC,20036.0,813920.0,4/15/2020
134814,$2-5 million,AMERICAN COUNCILS FOR INTERNATIONAL EDUC,1828 L ST NW SUITE 1200,WASHINGTON,DC,20036.0,611710.0,5/2/2020
134815,$2-5 million,ARISTOTLE INTERNATIONAL INC,205 PENNSYLVANIA AVE SE,WASHINGTON,DC,20003.0,511210.0,4/14/2020
134816,$2-5 million,"ASURITY MORTGAGE GROUP, LLC","1120 20TH ST, NW Suite 720S",WASHINGTON,DC,20036.0,511210.0,4/6/2020
134817,$2-5 million,"ATLANTIC SERVICES GROUP, INC",4200 WISCONSIN AVE,WASHINGTON,DC,20016.0,812930.0,4/8/2020
134818,$2-5 million,ATLAS RESEARCH LLC,"805 Fifteenth St, NW",WASHINGTON,DC,20005.0,541611.0,4/11/2020
134819,$2-5 million,"BELTWAY CLEANING SERVICES DC, LLC",2634 12TH ST NW,WASHINGTON,DC,20018.0,561720.0,4/9/2020
134820,$2-5 million,"BERHAN HOME HEALTH AGENCY, INC","7826 Eastern Avenue, NW LL16",WASHINGTON,DC,20012.0,621610.0,4/28/2020
134821,$2-5 million,BERNSTEIN MANAGEMENT CORPORATION,"5301 Wisconsin Avenue NW, Suite 500",WASHINGTON,DC,20015.0,531311.0,4/10/2020
134822,$2-5 million,"BEVERIDGE &AMP; DIAMOND, P.C.",1350 I St NW Ste 700,WASHINGTON,DC,20005.0,541110.0,5/3/2020
134823,$2-5 million,BLDG METRO CAPITAL LLC,415 New Jersey Avenue NW,WASHINGTON,DC,20001.0,721110.0,4/14/2020
134824,$2-5 million,BONNER KIERNAN TREBACH & CRICIATA LLP,1233 20TH ST NW FL 8,WASHINGTON,DC,20036.0,541110.0,4/9/2020
134825,$2-5 million,BRAILSFORD & DUNLAVEY INC,1140 CONN AVE NW,WASHINGTON,DC,20036.0,541990.0,4/13/2020
134826,$2-5 million,BUSY BEE ENVIRONMENTAL SERVICES,7826 Eastern Avenue Northwest,WASHINGTON,DC,20012.0,811490.0,4/29/2020
134827,$2-5 million,BW HOSPITALITY LLC,1201 24th Street NW 0.0,WASHINGTON,DC,20037.0,721110.0,4/11/2020
134828,$2-5 million,"CAPITOL PAVING OF D.C., INC",2211 Channing Street NE,WASHINGTON,DC,20018.0,237310.0,4/14/2020
134829,$2-5 million,CAPLIN & DRYSDALE CHARTERED,1 THOMAS CIR NW Ste 1100,WASHINGTON,DC,20005.0,541110.0,4/14/2020
134830,$2-5 million,"CARR COMPANIES, LLC",1455 PENNSYLVANIA AVE NW,WASHINGTON,DC,20004.0,531390.0,4/27/2020
134831,$2-5 million,CARR-WHARF 3B HOTEL LESSEE LLC,1455 PENNSYILVANIA AVE NW,WASHINGTON,DC,20004.0,721110.0,4/27/2020
134832,$2-5 million,"CATHOLIC CHARITIES OF THE ARCHDIOCESE OF WASHINGTON, INC.",924 G Street NW,WASHINGTON,DC,20001.0,813110.0,4/12/2020
134833,$2-5 million,CENTER CITY PUBLIC CHARTER SCHOOLS,900 2nd Street Northeast Suite 221,WASHINGTON,DC,20002.0,611110.0,4/15/2020
134834,$2-5 million,"CENTER FOR STRATEGIC AND INTERNATIONAL STUDIES, INC",1616 RHODE ISLAND AVE NW,WASHINGTON,DC,20036.0,541720.0,4/9/2020
134835,$2-5 million,CENTERS LLC,1140 CONN AVE NW,WASHINGTON,DC,20036.0,541611.0,4/13/2020
134836,$2-5 million,CGD HOSPITALITY LLC,3201 NEW MEXICO AVE NW,WASHINGTON,DC,20016.0,722511.0,4/6/2020
134837,$2-5 million,"CGH TECHNOLOGIES, INC.",600 MARYLAND AVE SW Suite 800,WASHINGTON,DC,20024.0,541512.0,4/10/2020
134838,$2-5 million,CHILDREN'S DEFENSE FUND,"840 FIRST STREET NE, STE 300",WASHINGTON,DC,20002.0,813319.0,4/15/2020
134839,$2-5 million,COHEN MILSTEIN SELLERS & TOLL PLLC,1100 NEW YORK AVE NW SUITE 500E,WASHINGTON,DC,20005.0,541110.0,4/13/2020
134840,$2-5 million,"COMMUNITY CONNECTIONS, INC.",801 Pennsylvania Ave. SE No. 201,WASHINGTON,DC,20003.0,624190.0,4/8/2020
134841,$2-5 million,"COMMUNITY OF HOPE, INC.","4 Atlantic Street, SW",WASHINGTON,DC,20032.0,624190.0,4/14/2020
134842,$2-5 million,"COUNCIL FOR AFFORDABLE QUALITY HEALTHCARE, INC.",2020 K St Suite 900,WASHINGTON,DC,20006.0,813990.0,4/30/2020
134843,$2-5 million,CRESA GLOBAL INC.,"1800 M St., NW 0.0",WASHINGTON,DC,20036.0,531210.0,4/14/2020
134844,$2-5 million,"CSSI, INC.",425 3RD ST SUITE 700,WASHINGTON,DC,20024.0,541990.0,4/7/2020
134845,$2-5 million,DCI GROUP AZ LLC,1828 L ST NW,WASHINGTON,DC,20036.0,541990.0,4/14/2020
134846,$2-5 million,DEFENDERS OF WILDLIFE,1130 17th St NW,WASHINGTON,DC,20036.0,813410.0,5/3/2020
134847,$2-5 million,"DKW COMMUNICATIONS, INC",2001 L Street NW Suite 800,WASHINGTON,DC,20036.0,541512.0,4/7/2020
134848,$2-5 million,"DYNAMIC CONCEPTS, INC.",1730 17TH STREET NE,WASHINGTON,DC,20002.0,561210.0,4/15/2020
134849,$2-5 million,EAGLE ACADEMY PUBLIC CHARTER SCHOOL,400 VIRGINIA AVE,WASHINGTON,DC,20024.0,611110.0,4/12/2020
134850,$2-5 million,EDGEWORTH ECONOMICS LLC,1111 19TH ST NW STE 200,WASHINGTON,DC,20036.0,541110.0,4/9/2020
134851,$2-5 million,FOOD &AMP; WATER WATCH,1616 P ST NW,WASHINGTON,DC,20036.0,813319.0,5/3/2020
134852,$2-5 million,FOUNDING FARMERS LLC,1924 PENNSYLVANIA AVE NW,WASHINGTON,DC,20006.0,722511.0,4/27/2020
134853,$2-5 million,GEORGETOWN VISITATION PREPARATORY SCHOOL,"1524 35th Street, N.W.",WASHINGTON,DC,20007.0,611110.0,4/29/2020
134854,$2-5 million,GLOBAL TAPAS LLC,"717 D ST, NW",WASHINGTON,DC,20004.0,722511.0,4/8/2020
134855,$2-5 million,GRANT PARK SNF LLC,5000 Nannie Helen Burroughs Avenue NE,WASHINGTON,DC,20019.0,621112.0,4/29/2020
134856,$2-5 million,GROOM LAW GROUP CHARTERED,"1701 Penn Ave NW, Suite 1200",WASHINGTON,DC,20006.0,541110.0,4/14/2020
134857,$2-5 million,HARBAUGH WASHINGTON CORP,525 New Jersey Avenue N.W.,WASHINGTON,DC,20001.0,721110.0,4/30/2020
