,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,DateApproved
137600,$5-10 million,"CRYSTAL STEEL FABRICATORS, INCORPORATED",9317 Old Racetrack Road,DELMAR,DE,19940.0,332312.0,4/6/2020
137601,$5-10 million,ENSINGER INDUSTRIES INC,103 FOULK RD,WILMINGTON,DE,19803.0,551112.0,4/14/2020
137602,$5-10 million,"FIRST STATE ORTHOPAEDICS, P.A.","211 EXECUTIVE DR, STE 11",NEWARK,DE,19702.0,621111.0,4/7/2020
137603,$5-10 million,"GT USA WILMINGTON, LLC",1 Hausel Road,WILMINGTON,DE,19801.0,561990.0,4/28/2020
137604,$5-10 million,"I. D. GRIFFITH, INC.",735 S. MARKET ST,WILMINGTON,DE,19801.0,238220.0,4/8/2020
137605,$5-10 million,"IRON HILL BREWERY, LLC",2502 W. 6TH ST,WILMINGTON,DE,19805.0,722511.0,4/8/2020
137606,$5-10 million,"M. DAVIS & SONS, INC.",19 Germay Dr,WILMINGTON,DE,19804.0,238220.0,4/7/2020
137607,$5-10 million,"METAL MASTERS FOODSERVICE EQUIPMENT CO., INC.",100 Industrial Boulevard,CLAYTON,DE,19938.0,333241.0,4/13/2020
137608,$5-10 million,NIXON UNIFORM SERVICE INC,500 Centerpoint Blvd,NEW CASTLE,DE,19720.0,812332.0,4/15/2020
137609,$5-10 million,QPS HOLDINGS,3 INNOVATION WAY,NEWARK,DE,19711.0,541714.0,4/15/2020
137610,$5-10 million,SOBIESKI CONSOLIDATED INC,1325 Old Coochs Bridge Road,NEWARK,DE,19713.0,238220.0,4/14/2020
137611,$5-10 million,UNITED ELECTRIC SUPPLY CO INC,10 BELLECOR DR,NEW CASTLE,DE,19720.0,423610.0,4/14/2020
137612,$5-10 million,"WORTH & COMPANY, INC.",6263 Kellers Church Road,PIPERSVILLE,DE,19711.0,236220.0,4/6/2020
137613,$2-5 million,"A-DEL CONSTRUCTION COMPANY, INC",10 A-Del Drive,NEWARK,DE,19702.0,237310.0,4/7/2020
137614,$2-5 million,ALPHA TECHNOLOGIES USA INC,704 N KING ST,WILMINGTON,DE,19801.0,517919.0,4/10/2020
137615,$2-5 million,ANESTHESIA SERVICES PA,2 READS WAY,NEW CASTLE,DE,19720.0,621111.0,4/15/2020
137616,$2-5 million,"APEX PIPING SYSTEMS, INC.",302 FALCO DR,WILMINGTON,DE,19804.0,332999.0,4/7/2020
137617,$2-5 million,"APPLIED CONTROL ENGINEERING, INC.",700 Creek View Road,NEWARK,DE,19711.0,541512.0,4/14/2020
137618,$2-5 million,ATP PROFESSIONALS INC,251 Little Falls Dr.,WILMINGTON,DE,19808.0,611512.0,4/10/2020
137619,$2-5 million,AUTOTEAM DELAWARR,1606 Pennsylvania Avenue,WILMINGTON,DE,19806.0,441110.0,4/15/2020
137620,$2-5 million,BANCROFT CONSTRUCTION COMPANY,1300 GRANT AVE Suite 101,WILMINGTON,DE,19806.0,236220.0,4/7/2020
137621,$2-5 million,"BATTAGLIA ELECTRIC, INC.",11 Industrial Blvd,NEW CASTLE,DE,19720.0,238210.0,4/7/2020
137622,$2-5 million,"BOYS AND GIRLS CLUBS OF DELAWARE, INC.",669 South UNION ST,WILMINGTON,DE,19805.0,925120.0,4/6/2020
137623,$2-5 million,CATHOLIC DIOCESE OF WILMINGTON,1925 Delaware Avenue,WILMINGTON,DE,19806.0,813110.0,4/15/2020
137624,$2-5 million,"CGC CONSULTING, LLC",5400 Limestone Rd.,WILMINGTON,DE,19808.0,237990.0,4/5/2020
137625,$2-5 million,COMMUNITY SYSTEMS INC,2 PENNS WAY,NEW CASTLE,DE,19720.0,623110.0,4/12/2020
137626,$2-5 million,"CORPORATE INTERIORS, INC.",23 Lisa Drive,NEW CASTLE,DE,19720.0,454390.0,4/7/2020
137627,$2-5 million,"DELAWARE HOSPICE, INC.",16 Polly Drummond Center 2nd Floor,NEWARK,DE,19711.0,621610.0,4/14/2020
137628,$2-5 million,DIAMOND MATERIALS LLC,242 N JAMES ST Suite 102,WILMINGTON,DE,19804.0,237310.0,4/15/2020
137629,$2-5 million,"DOCTORS FOR EMERGENCY SERVICE, PA",4051 Ogletown-Stanton Road,NEWARK,DE,19713.0,624190.0,4/15/2020
137630,$2-5 million,"DUMONT AVIATION GROUP, INC",2000 Brett Road,NEW CASTLE,DE,19720.0,481211.0,4/14/2020
137631,$2-5 million,EASTER SEALS DELAWARE & MARYLAND'S EASTERN SHORE INC,61 Corporate Circle,NEW CASTLE,DE,19720.0,624310.0,4/15/2020
137632,$2-5 million,"EDWARD J. DESETA CO., INC.",322 A ST Ste 200,WILMINGTON,DE,19801.0,332322.0,4/4/2020
137633,$2-5 million,"EXCEPTIONAL CARE FOR CHILDREN, INC",11 Independence Way,NEWARK,DE,19713.0,623311.0,4/15/2020
137634,$2-5 million,"FLOORING PAYMASTER, LLC",230 North Dupont Highway,NEWCASTLE,DE,19720.0,423850.0,4/15/2020
137635,$2-5 million,"GEORGE & LYNCH, INC.",150 LAFFERTY LN,DOVER,DE,19901.0,237990.0,4/7/2020
137636,$2-5 million,GOODWILL OF DELAWARE AND DELAWARE COUNTY,300 E LEA BLVD,WILMINGTON,DE,19802.0,624310.0,4/16/2020
137637,$2-5 million,"GREGGO & FERRARA, INC.",4048 NEW CASTLE AVE,NEW CASTLE,DE,19720.0,237310.0,4/10/2020
137638,$2-5 million,"GROTTO PIZZA, INC.",20376 COASTAL HWY,REHOBOTH BEACH,DE,19971.0,722511.0,4/6/2020
137639,$2-5 million,"HIGH 5 GAMES, LLC",2035 Limestone Rd,WILMINGTON,DE,19808.0,541512.0,4/30/2020
137640,$2-5 million,"I.G. BURTON & COMPANY, INC.",793 Bay Road 0.0,MILFORD,DE,19963.0,441110.0,4/9/2020
137641,$2-5 million,IT RESOURCES INC,220 Continental dr 104,NEWARK,DE,19713.0,541512.0,4/14/2020
137642,$2-5 million,JAMESTOWN PAINTING CO.,830 Dawson Dr,NEWARK,DE,19713.0,238320.0,4/7/2020
137643,$2-5 million,"JOHNNY JANOSIK, INC.",11151 Trussum Pond Road,LAUREL,DE,19956.0,442110.0,4/6/2020
137644,$2-5 million,KEYSTONE DIGITAL IMAGING INC,1024 JUSTISON ST,WILMINGTON,DE,19801.0,423420.0,4/7/2020
137645,$2-5 million,"LEON N. WEINER ASSOCIATES, INC.",4 DENNY RD,WILMINGTON,DE,19809.0,531390.0,4/6/2020
137646,$2-5 million,MARLETTE SERVICES INC,1523 CONCORD PIKE STE 201,WILMINGTON,DE,19803.0,522390.0,4/15/2020
137647,$2-5 million,MARON MARVEL BRADLEY ANDERSON &TARDY LLC,1201 N Market St,WILMINGTON,DE,19801.0,541110.0,4/14/2020
137648,$2-5 million,MARTIN NEWARK DEALERSHIP INC,298 E CLEVELAND AVE,NEWARK,DE,19711.0,441110.0,5/3/2020
137649,$2-5 million,"MASON BUILDING GROUP, INC.",35 ALBE DR,NEWARK,DE,19702.0,236220.0,4/8/2020
