,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,DateApproved
181880,$5-10 million,255 COURTLAND TENANT LLC,255 Courtland ST. NE,ATLANTA,GA,30303.0,721110.0,4/10/2020
181881,$5-10 million,"ADVANCED CORE CONCEPTS, LLC",3715 NORTHSIDE PKWY NW,ATLANTA,GA,30327.0,541618.0,4/9/2020
181882,$5-10 million,"AG-PRO, LLC",19595 US HIGHWAY 84,BOSTON,GA,31626.0,333111.0,4/9/2020
181883,$5-10 million,"ALDRIDGE PITE, LLP",3575 PIEDMONT RD NE Suite 500,ATLANTA,GA,30305.0,541110.0,4/8/2020
181884,$5-10 million,"ALIERA COMPANIES, INC","990 Hammond Drive, Suite 700",ATLANTA,GA,30328.0,551112.0,4/8/2020
181885,$5-10 million,ALLOY WHEEL REPAIR SPECIALISTS,3100 MEDLOCK BRIDGE ROAD SUITE 305,NORCROSS,GA,30071.0,811490.0,5/3/2020
181886,$5-10 million,"ALLOY WHEEL REPAIR SPECIALISTS HOLDINGS, LLC",3100 Medlock Bridge Rd. Suite 305,NORCROSS,GA,30071.0,551112.0,4/29/2020
181887,$5-10 million,"ALORA PHARMACEUTICALS, LLC",1880 MCFARLAND PKWY SUITE 110,ALPHARETTA,GA,30005.0,325412.0,4/9/2020
181888,$5-10 million,AND ACTION LLC,541 10TH ST NW #172,ATLANTA,GA,30318.0,512110.0,4/14/2020
181889,$5-10 million,"ANP, L.P.",920 South Powers CT N.W. 0.0,ATLANTA,GA,30327.0,722511.0,4/9/2020
181890,$5-10 million,"APACHE MILLS, INC.",197 Royal Drive,CALHOUN,GA,30701.0,314110.0,4/27/2020
181891,$5-10 million,APRIO LLP,5 Concourse Pkwy Suite #1000,ATLANTA,GA,30328.0,541211.0,4/9/2020
181892,$5-10 million,"ATHENS ORTHOPEDIC CLINIC, PA","1765 Old West Broad St, Bldg 2,Ste 200",ATHENS,GA,30606.0,621111.0,4/6/2020
181893,$5-10 million,"ATLANTA RESTAURANT PARTNERS, LLC",1760 Peachtree Road NW,ATLANTA,GA,30309.0,722511.0,4/10/2020
181894,$5-10 million,AUBREY SILVEY ENTERPRISES INC,371 HAMP JONES RD,CARROLLTON,GA,30117.0,237130.0,4/9/2020
181895,$5-10 million,"AXIOM STAFFING GROUP, INC.",2475 NORTHWINDS PKWY,ALPHARETTA,GA,30009.0,561320.0,4/27/2020
181896,$5-10 million,"BARCO, INC.",3059 Premiere Parkway Suite 400,DULUTH,GA,30097.0,334310.0,4/30/2020
181897,$5-10 million,BENNETT COMMUNICATIONS LLC,13160 VETERANS MEMORIAL HWY,DOUGLASVILLE,GA,30134.0,517919.0,5/3/2020
181898,$5-10 million,"BENNETT THRASHER, LLP",3300 RIVERWOOD PKWY,ATLANTA,GA,30339.0,541219.0,4/4/2020
181899,$5-10 million,"BENTON-GEORGIA, LLC",13031 VETERANS MEMORIAL HWY,DOUGLASVILLE,GA,30134.0,237110.0,4/7/2020
181900,$5-10 million,BRENT SCARBROUGH & COMPANY INC.,155 Robinson Drive,FAYETTEVILLE,GA,30214.0,237130.0,4/27/2020
181901,$5-10 million,"C2 EDUCATIONAL SYSTEMS, INC.",6465 East Johns Crossing Suite 100,DULUTH,GA,30097.0,611691.0,4/10/2020
181902,$5-10 million,CDM LIGHTING DESIGN GROUP LLC,1344 La France Street,ATLANTA,GA,30307.0,541310.0,4/30/2020
181903,$5-10 million,"CHIME SOLUTIONS, INC.",1000 Southlake Cir #201,MORROW,GA,30260.0,561422.0,4/8/2020
181904,$5-10 million,COGNIA INC,9115 WESTSIDE PKWY,ALPHARETTA,GA,30009.0,611710.0,4/14/2020
181905,$5-10 million,COOPER CARRY INC,"191 Peachtree Street, NE Suite 2400",ATLANTA,GA,30303.0,541310.0,4/8/2020
181906,$5-10 million,"COOPERATIVE FOR ASSISTANCE AND RELIEF EVERYWHERE, INC",151 ELLIS ST NE,ATLANTA,GA,30303.0,624230.0,4/11/2020
181907,$5-10 million,CRANE TRANSPORT INC,4125 W WHITE RD,OAKWOOD,GA,30566.0,484121.0,4/9/2020
181908,$5-10 million,CROSSLINK LIFE SCIENCES LLC,1880 BEAVER RIDGE CIR,NORCROSS,GA,30071.0,423450.0,4/8/2020
181909,$5-10 million,"DATAPATH, INC.",2205 Northmont Parkway,DULUTH,GA,30096.0,334290.0,4/6/2020
181910,$5-10 million,"DM LUXURY, LLC",3414 Peachtree Rd NE Ste 480,ATLANTA,GA,30326.0,511120.0,4/7/2020
181911,$5-10 million,DREW CHARTER SCHOOL INC,301 East Boulevard,ATLANTA,GA,30317.0,611110.0,4/14/2020
181912,$5-10 million,"DW RESTAURANT HOLDER, LLC",1815 THE EXCHANGE SE,ATLANTA,GA,30339.0,722511.0,4/6/2020
181913,$5-10 million,ECKARDT ELECTRIC CO.,3690 North Peachtree Road,ATLANTA,GA,30341.0,238210.0,4/15/2020
181914,$5-10 million,EDS SERVICE SOLUTIONS LLC,400 GALLERIA PARKWAY SUITE 1820,ATLANTA,GA,30339.0,561210.0,4/14/2020
181915,$5-10 million,ESHAI CORPORATION,2750 PREMIERE PKWY STE 900,DULUTH,GA,30097.0,484110.0,4/28/2020
181916,$5-10 million,FLORIDA CONCRETE SERVICES LLC,1120 BALL ST,PERRY,GA,31069.0,238110.0,4/28/2020
181917,$5-10 million,"FRAZIER & DEETER, LLC","1230 Peachtree Street, NE Suite 1500",ATLANTA,GA,30309.0,541211.0,4/7/2020
181918,$5-10 million,GEORGIA UROLOGY PA,1930 BRANNAN RD,MCDONOUGH,GA,30253.0,621111.0,4/9/2020
