,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,DateApproved
200171,$2-5 million,"BAYVIEW II, LLC",1227 PALE SAN VITORES RD,TAMUNING,GU,96913.0,721110.0,4/27/2020
200172,$2-5 million,CITY HILL COMPANY (GUAM) LTD.,1328 PALE SAN VITORES RD,TAMUNING,GU,96913.0,721110.0,4/27/2020
200173,$2-5 million,GLOBAL FOOD SERVICES LLC,415 Chalan San Antonio Ste 306,TAMUNING,GU,96913.0,561499.0,4/16/2020
200174,$2-5 million,"GUAM REEF HOTEL, INC.",1317 Pale San Vitores Rd,TAMUNING,GU,96913.0,721110.0,4/30/2020
200175,$2-5 million,HAEVICHI HOSPITALITY GUAM INC.,105 GUN BEACH RD,TAMUNING,GU,96913.0,721110.0,4/30/2020
200176,$2-5 million,LEOPALACE GUAM CORPORATION,245 La Cuesta CR 245 La Cuesta CR,YONA,GU,96915.0,721110.0,6/10/2020
200177,$2-5 million,"TANOTA DEVELOPMENT, LLC",1227 PALE SAN VITORES RD,TAMUNING,GU,96913.0,721110.0,4/27/2020
200178,$1-2 million,"AERO MICRONESIA, INC",24858 PO Box,BARRIGADA,GU,96921.0,481219.0,4/15/2020
200179,$1-2 million,"ASIA PACIFIC HOTELS, INC (GUAM)","801 Pale San Vitores Road,",TAMUNING,GU,96913.0,721110.0,4/12/2020
200180,$1-2 million,CABRAS MARINE CORPORATION,178 INDUSTRIAL AVE,PITI,GU,96915.0,488330.0,4/30/2020
200181,$1-2 million,"CALVO'S INSURANCE UNDERWRITERS, INC.",115 Chalan Santo Papa,HAGATNA,GU,96910.0,524210.0,4/16/2020
200182,$1-2 million,GENERAL CONFERENCE CORP. OF SEVENTH-DAY ADVENTIST,388 Ypao Road,TAMUNING,GU,96913.0,621111.0,4/16/2020
200183,$1-2 million,GUAM X RAY,633 GOV CARLOS G CAMACHO ROAD SUITE 210,TAMUNING,GU,96913.0,621111.0,4/10/2020
200184,$1-2 million,"HARVEST BAPTIST CHURCH OF GUAM, INC.",P.O. Box 23189,BARRIGADA,GU,96921.0,611699.0,4/15/2020
200185,$1-2 million,JCA GUAM LLC,185 South Marine Drive,TAMUNING,GU,96913.0,722511.0,4/14/2020
200186,$1-2 million,LOTTE HOTEL GUAM LLC,185 GUN BEACH RD,TAMUNING,GU,96913.0,721110.0,5/1/2020
