,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,DateApproved
200467,$5-10 million,"COASTAL CONSTRUCTION CO., INC.",1900 HAU ST,HONOLULU,HI,96819.0,236115.0,4/5/2020
200468,$5-10 million,FCH ENTERPRISES INC.,1765 SOUTH KING ST,HONOLULU,HI,96826.0,722310.0,4/3/2020
200469,$5-10 million,HALE MAKUA HEALTH SERVICES,472 KAULANA ST,KAHULUI,HI,96732.0,623110.0,4/10/2020
200470,$5-10 million,"HAWAII CARE AND CLEANING, INC.","4374 Kukui Grove Street, Suite 101",LIHUE,HI,96766.0,721110.0,6/6/2020
200471,$5-10 million,HAWAII PRINCE HOTEL WAIKIKI LLC,100 HOLOMOANA ST,HONOLULU,HI,96815.0,721110.0,4/14/2020
200472,$5-10 million,HAWAIIAN HOST INC,"500 ALAKAWA ST, SUITE 111",HONOLULU,HI,96817.0,311352.0,4/5/2020
200473,$5-10 million,KAUAI VETERANS MEMORIAL HOSPITAL,4643 WAIMEA CANYON DRIVE,WAIMEA,HI,96796.0,622110.0,5/1/2020
200474,$5-10 million,KONA COMMUNITY HOSPITAL,79-1019 HAUKAPILA ST,KEALAKEKUA,HI,96750.0,622110.0,5/1/2020
200475,$5-10 million,"KYO-YA HOTELS & RESORTS, LP",2255 Kalakaua Ave.,HONOLULU,HI,96815.0,721110.0,4/11/2020
200476,$5-10 million,KYO-YA KAILULANI,2255 Kalakaua,HONOLULU,HI,96815.0,721110.0,4/11/2020
200477,$5-10 million,"MCCABE, HAMILTON & RENNY CO., LTD.",210 PO BOX,HONOLULU,HI,96810.0,488320.0,4/10/2020
200478,$5-10 million,MID-PACIFIC INSTITUTE,2445 KAALA STREET,HONOLULU,HI,96822.0,611110.0,4/3/2020
200479,$5-10 million,"NA HOKU, INC.",3049 UALENA ST 12TH FL,HONOLULU,HI,96819.0,448310.0,4/5/2020
200480,$5-10 million,NAVATEK LLC,841 BISHOP ST ST 1110,HONOLULU,HI,96813.0,541710.0,4/6/2020
200481,$5-10 million,"OAHU PUBLICATIONS, INC.",500 ALA MOANA BLVD Suite 7-500,HONOLULU,HI,96813.0,511110.0,4/5/2020
200482,$5-10 million,"REINS INTERNATIONAL (USA) CO., LTD.",307 Lewers St. #210 0.0,HONOLULU,HI,96815.0,722511.0,4/13/2020
200483,$5-10 million,"RESORTTRUST HAWAII, LLC",5000 Kahala Ave,HONOLULU,HI,96816.0,721110.0,4/27/2020
200484,$5-10 million,ROY'S HOLDINGS INC,6600 KALANIANAOLE HWY #110,HONOLULU,HI,96825.0,722511.0,4/4/2020
200485,$5-10 million,TONY HAWAII AUTOMOTIVE GROUP LTD,94-1299 Ka Uka Boulevard,WAIPAHU,HI,96797.0,441110.0,4/9/2020
200486,$5-10 million,"Y. HATA & COMPANY, LIMITED",SAND ISLAND ACCESS RD,HONOLULU,HI,96819.0,424410.0,4/3/2020
200487,$2-5 million,ALOHA AUTO GROUP,2841 N. NIMITZ HIGHWAY,HONOLULU,HI,96819.0,441110.0,4/3/2020
