,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,DateApproved
203695,$5-10 million,"AGRILAND FS, INC.",421 N. 10TH ST,WINTERSET,IA,50273.0,424910.0,4/13/2020
203696,$5-10 million,AGRIVISION EQUIPMENT GROUP LLC,58668 190th St,PACIFIC JUNCTION,IA,51561.0,423820.0,4/13/2020
203697,$5-10 million,"AMERICAN HEALTHCARE MANAGEMENT SERVICES, LLC","1370 NW 114th Street, Suite 100",CLIVE,IA,50325.0,623110.0,4/15/2020
203698,$5-10 million,ANDERSON ERICKSON DAIRY CO.,2420 E UNIVERSITY AVE,DES MOINES,IA,50317.0,311514.0,4/7/2020
203699,$5-10 million,"BERTCH CABINET MFG., INC.",4747 Crestwood Drive,WATERLOO,IA,50702.0,337110.0,4/4/2020
203700,$5-10 million,BROWNELLS INC,3006 Brownells Pkwy,GRINNELL,IA,50112.0,332994.0,4/10/2020
203701,$5-10 million,BUENA VISTA REGIONAL MEDICAL CENTER,1525 W 5TH ST,STORM LAKE,IA,50588.0,622110.0,4/27/2020
203702,$5-10 million,"CEDAR VALLEY MEDICAL SPECIALISTS, P.C.",4150 Kimball Avenue,WATERLOO,IA,50704.0,621111.0,4/5/2020
203703,$5-10 million,"CLYSAR, LLC",2505 CAMANCHE BLVD,CAMANCHE,IA,52732.0,326199.0,5/3/2020
203704,$5-10 million,COOPERATIVE FARMERS ELEVATOR,1508 14th Street,ROCK VALLEY,IA,51247.0,424510.0,4/4/2020
203705,$5-10 million,DELAWARE COUNTY MEMORIAL HOSPITAL,709 West Main Street,MANCHESTER,IA,52057.0,622110.0,4/5/2020
203706,$5-10 million,DOERFER CORPORATION,1801 E BREMER AVE,WAVERLY,IA,50677.0,333999.0,4/10/2020
203707,$5-10 million,ESCO ELECTRIC COMPANY,3450 3RD ST,MARION,IA,52302.0,238210.0,4/8/2020
203708,$5-10 million,GOBERSEN-SMITH CONSTRUCTION COMPANY,5784 State Highway 175,IDA GROVE,IA,51445.0,333120.0,6/15/2020
203709,$5-10 million,GREATER REGIONAL MEDICAL CENTER,1700 West TOWNLINE ST,CRESTON,IA,50801.0,622110.0,4/27/2020
203710,$5-10 million,"HARRISON TRUCK CENTERS, INC.",101 PLAZA DR,ELK RUN HEIGHTS,IA,50707.0,423110.0,4/6/2020
203711,$5-10 million,"ITA GROUP, INC.",4600 WESTOWN PKWY,WEST DES MOINES,IA,50266.0,721199.0,4/14/2020
203712,$5-10 million,KARL CHEVROLET INC,1101 SE ORALABOR RD,ANKENY,IA,50021.0,441110.0,4/11/2020
203713,$5-10 million,KINZE MANUFACTURING INC,2172 M Ave PO Box 806 0.0,WILLIAMSBURG,IA,52361.0,333111.0,4/9/2020
203714,$5-10 million,MAHASKA COUNTY HOSPITAL,1229 C AVE EAST,OSKALOOSA,IA,52577.0,622110.0,4/28/2020
203715,$5-10 million,MCCARTHY-BUSH CORPORATION,5401 VICTORIA AVE,DAVENPORT,IA,52807.0,236220.0,4/8/2020
203716,$5-10 million,"MCI, LC",2937 SIERRA CT SW,IOWA CITY,IA,52240.0,561422.0,4/14/2020
203717,$5-10 million,MI-T-M  CORPORATION,50 MI-T-M DR,PEOSTA,IA,52068.0,333912.0,4/8/2020
203718,$5-10 million,"MITTERA GROUP, INC.","1312 Locust Street, Suite 202",DES MOINES,IA,50309.0,323111.0,4/15/2020
203719,$5-10 million,"MODERN HOLDINGS, INC.",500 Walford Rd SW,CEDAR RAPIDS,IA,52404.0,238220.0,4/3/2020
203720,$5-10 million,MONTGOMERY COUNTY MEMORIAL HOSPITAL,2301 EASTERN AVE,RED OAK,IA,51566.0,622110.0,4/15/2020
203721,$5-10 million,"ORA ORTHOPEDICS, P.C.",2300 53rd St,BETTENDORF,IA,52722.0,621111.0,4/4/2020
203722,$5-10 million,OWEN INDUSTRIES INC,501 AVENUE H,CARTER LAKE,IA,51510.0,332313.0,4/3/2020
203723,$5-10 million,PALMER COLLEGE FOUNDATION,1000 Brady Street,DAVENPORT,IA,52803.0,611310.0,5/9/2020
203724,$5-10 million,"PALMER COMPANIES, INC.",3737 WOODLAND AVE STE 200,WEST DES MOINES,IA,50266.0,561311.0,4/10/2020
203725,$5-10 million,PHARMACISTS MUTUAL INSURANCE COMPANY,808 Highway 18 W,ALGONA,IA,50511.0,524210.0,4/3/2020
203726,$5-10 million,"PHYSICIANS' CLINIC OF IOWA, P.C.",202 10TH ST SE,CEDAR RAPIDS,IA,52403.0,621111.0,4/13/2020
203727,$5-10 million,SCHUMACHER ELEVATOR CO INC,1 SCHUMACHER WAY,DENVER,IA,50622.0,333921.0,4/9/2020
203728,$5-10 million,"SHIVE-HATTERY GROUP, INC.","222 3RD AVE SE, Suite 300",CEDAR RAPIDS,IA,52401.0,541310.0,4/10/2020
203729,$5-10 million,STELLAR INDUSTRIES INC,190 State Street,GARNER,IA,50438.0,336111.0,4/15/2020
203730,$5-10 million,SUKUP MANUFACTURING COMPANY,1555 255th St,SHEFFIELD,IA,50475.0,333111.0,4/10/2020
203731,$5-10 million,"THOMAS L. CARDELLA & ASSOCIATES, INC",3735 QUEEN CT SW,CEDAR RAPIDS,IA,52404.0,561422.0,4/10/2020
203732,$5-10 million,THOMPSON ELECTRIC COMPANY,2300 7th Street,SIOUX CITY,IA,51105.0,238210.0,4/14/2020
203733,$5-10 million,"TRIVISTA COMPANIES, INC.",3311 ADVENTURELAND DR,ALTOONA,IA,50009.0,441110.0,4/6/2020
203734,$5-10 million,VAN METER INC.,850 32ND AVE SW,CEDAR RAPIDS,IA,52404.0,423610.0,4/5/2020
