,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,DateApproved
209631,$5-10 million,ALLIANCE MEDICAL GROUP,10482 W CARLTON BAY DR,GARDEN CITY,ID,83714.0,621111.0,4/14/2020
209632,$5-10 million,"BONNER GENERAL HOSPITAL, INC",520 North Third,SANDPOINT,ID,83864.0,622110.0,4/27/2020
209633,$5-10 million,"COMMERCIAL TIRE, INC.",2095 E. Commercial Street,MERIDIAN,ID,83642.0,441320.0,4/11/2020
209634,$5-10 million,COMPUNET INC,2264 S Bonito Way  Ste 150,MERIDIAN,ID,83642.0,541512.0,4/8/2020
209635,$5-10 million,"CRADLEPOINT, INC.",1111 JEFFERSON ST,BOISE,ID,83702.0,334220.0,4/12/2020
209636,$5-10 million,"DENNIS DILLON AUTO PARK & TRUCK CENTER, INC.",9599 W Faitview Ave 0.0,BOISE,ID,83704.0,441110.0,4/9/2020
209637,$5-10 million,EMPIRE AIRWAYS,11559 N Atlas Rd,HAYDEN,ID,83835.0,481219.0,4/7/2020
209638,$5-10 million,"ENGINEERED STRUCTURES, INC.","3330 E. Louise Dr, Suite 300",MERIDIAN,ID,83642.0,236220.0,4/12/2020
209639,$5-10 million,"HEALTHWISE, INCORPORATED",2601 N. Bogus Basin Rd.,BOISE,ID,83702.0,519190.0,4/10/2020
209640,$5-10 million,"J-U-B ENGINEERS, INC.","250 S. Beechwood Ave., #201",BOISE,ID,83709.0,541330.0,4/12/2020
209641,$5-10 million,RIVERENCE HOLDINGS LLC,Post Office Box 707,FILER,ID,83328.0,112511.0,4/7/2020
209642,$5-10 million,RM MECHANICAL INC,5998 W GOWEN RD,BOISE,ID,83709.0,238220.0,4/6/2020
209643,$5-10 million,"TEANCUM, LLC",9101 W FAIRVIEW AVE,BOISE,ID,83704.0,441110.0,4/4/2020
209644,$5-10 million,THOMAS MANAGEMENT LLC,700 E FRANKLIN RD,MERIDIAN,ID,83642.0,722310.0,4/11/2020
209645,$5-10 million,VALLEY AGRONOMICS LLC,2114 N 20th St,NAMPA,ID,83687.0,115112.0,4/16/2020
209646,$2-5 million,ADVANCED THERMOPLASTIC COMPOSI,1224 N LEAN ST,POST FALLS,ID,83854.0,326199.0,4/6/2020
209647,$2-5 million,"ALL WALL CONTRACTING, INC.",723 South Lochsa Street,POST FALLS,ID,83854.0,561990.0,4/14/2020
209648,$2-5 million,AMERICAN STAFFING INC,440 W PENNWOOD ST ste 160,MERIDIAN,ID,83642.0,561311.0,4/15/2020
209649,$2-5 million,"ANESTHESIA ASSOCIATES OF BOISE, P.A.",2537 W State Street,BOISE,ID,83702.0,621111.0,4/11/2020
209650,$2-5 million,BEST BATH SYSTEMS INC,723 Garber St,CALDWELL,ID,83605.0,326191.0,4/27/2020
209651,$2-5 million,"BETTENCOURT DAIRIES, LLC",2930 South 2300 East,WENDELL,ID,83355.0,112120.0,4/9/2020
209652,$2-5 million,BIG SKY DAIRY,430 E YAKIMA,JEROME,ID,83338.0,112120.0,4/9/2020
209653,$2-5 million,BISH'S RV INC.,3715 E Overland Rd STE 205,MERIDIAN,ID,83642.0,441210.0,4/14/2020
