,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,DateApproved
212944,$5-10 million,3D EXHIBITS INC.,ALBION AVE,SCHAUMBURG,IL,60193.0,561920.0,4/5/2020
212945,$5-10 million,A M CASTLE AND CO,1420 KENSINGTON RD Suite 220,OAK BROOK,IL,60523.0,423510.0,4/27/2020
212946,$5-10 million,"AARETE, INC.",200 E. Randolph Street Suite 3010,CHICAGO,IL,60601.0,541611.0,4/8/2020
212947,$5-10 million,"ABCOM TECHNOLOGY GROUP, INC.",1456 NORWOOD AVE,ITASCA,IL,60143.0,561920.0,4/7/2020
212948,$5-10 million,ACCURATE PERSONNEL LLC,33 S ROSELLE RD,SCHAUMBURG,IL,60193.0,561320.0,4/8/2020
212949,$5-10 million,"ADVANCE MECHANICAL SYSTEMS, INC.",425 E. ALGONQUIN RD,ARLINGTON HEIGHTS,IL,60005.0,238220.0,4/7/2020
212950,$5-10 million,"ADVANCED CLINICAL HOLDINGS, INC.",6 PARKWAY NORTH,DEERFIELD,IL,60015.0,541715.0,4/9/2020
212951,$5-10 million,"AFFINITIV, INC.","300 S Wacker Drive, Suite 900 0.0",CHICAGO,IL,60606.0,541860.0,4/11/2020
212952,$5-10 million,"ALA CARTE ENTERTAINMENT, INC.","2330 HAMMOND DR, SUITE G",SCHAUMBURG,IL,60173.0,722511.0,4/6/2020
212953,$5-10 million,"ALIGNED EQUITY PARTNERS, LLC","28369 Davis Parkway, Suite 407",WARRENVILLE,IL,60555.0,551112.0,4/10/2020
212954,$5-10 million,"ALPHA BAKING CO.,INC",5001 W POLK ST,CHICAGO,IL,60644.0,311812.0,4/13/2020
212955,$5-10 million,"ALTON STEEL, INC.",5 CUT ST,ALTON,IL,62002.0,331221.0,4/10/2020
212956,$5-10 million,AMERICAN ACADEMY OF PEDIATRICS,345 Park Boulevard,ITASCA,IL,60143.0,621999.0,4/10/2020
212957,$5-10 million,"AMERICAN LITHO, INC.",175 Mercedes Dr,CAROL STREAM,IL,60188.0,323111.0,4/5/2020
212958,$5-10 million,"AMOUNT, INC.",222 N LA SALLE ST SUITE 1700,CHICAGO,IL,60601.0,511210.0,4/28/2020
212959,$5-10 million,"ANDY FRAIN SERVICES, INC.",761 Shoreline Dr,AURORA,IL,60504.0,561612.0,4/15/2020
212960,$5-10 million,"ANTARCTIC MECHANICAL SERVICES, INC.",9341 Adam Don Parkway,WOODRIDGE,IL,60517.0,238220.0,4/27/2020
212961,$5-10 million,"ARENDS HOGAN WALKER, LLC",27688 E 3200 N Rd,DWIGHT,IL,60420.0,423820.0,4/5/2020
212962,$5-10 million,"ASCHER BROTHERS CO., INC.",3033 W. Fletcher St.,CHICAGO,IL,60618.0,238160.0,4/7/2020
212963,$5-10 million,"ATF, INC.",3550 W. PRATT AVE,LINCOLNWOOD,IL,60712.0,332722.0,4/5/2020
212964,$5-10 million,"AVANT, LLC","222 N. Lasalle Street, Ste.1700",CHICAGO,IL,60601.0,522291.0,6/1/2020
212965,$5-10 million,"BAIRD & WARNER REAL ESTATE, INC.",120 S LA SALLE ST STE 200,CHICAGO,IL,60603.0,531210.0,4/10/2020
212966,$5-10 million,"BBJ RENTALS, INC.",6125 W HOWARD ST,NILES,IL,60714.0,812331.0,4/27/2020
212967,$5-10 million,BEAR CONSTRUCTION COMPANY,1501 N. Rohlwing Road,ROLLING MEADOWS,IL,60008.0,236220.0,4/8/2020
212968,$5-10 million,BELL FLAVORS &AMP; FRAGRANCES INC,500 Academy Dr,NORTHBROOK,IL,60062.0,325199.0,5/3/2020
