,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,DateApproved
240356,$5-10 million,ABO LEASING CORPORATION,1955 N OAK DR,PLYMOUTH,IN,46563.0,561330.0,4/10/2020
240357,$5-10 million,ACMS GROUP INC,"10769 Broadway, Suite 333",CROWN POINT,IN,46307.0,238990.0,4/27/2020
240358,$5-10 million,"ALBANESE CONFECTIONERY GROUP, INC.",5441 East Lincoln Highway,MERRILLVILLE,IN,46410.0,311340.0,4/8/2020
240359,$5-10 million,AMERICAN LICORICE COMPANY,1914 Happiness Way,LA PORTE,IN,46350.0,311340.0,4/13/2020
240360,$5-10 million,"AMERICAN STRUCTUREPOINT, INC.",9025 River Road,INDIANAPOLIS,IN,46240.0,541330.0,4/7/2020
240361,$5-10 million,"ASH BROKERAGE, LLC",888 S. Harrison Ste. 900 0.0,FORT WAYNE,IN,46802.0,524210.0,4/9/2020
240362,$5-10 million,"ASHLEY INDUSTRIAL MOLDING, INC.",310 WABASH ST,ASHLEY,IN,46705.0,326199.0,4/14/2020
240363,$5-10 million,BEST CHAIRS INCORPARATED,ONE BEST DRIVE,FERDINAND,IN,47532.0,337121.0,4/27/2020
240364,$5-10 million,"BIOANALYTICAL SYSTEMS, INC.",2701 Kent Ave.,WEST LAFAYETTE,IN,47906.0,325412.0,4/13/2020
240365,$5-10 million,BLUE & CO LLC,12800 N MERIDIAN ST,CARMEL,IN,46032.0,541211.0,4/13/2020
240366,$5-10 million,BLUE HORSESHOE SOLUTIONS INC.,"11939 N Meridian St., Ste 300",CARMEL,IN,46032.0,541511.0,4/10/2020
240367,$5-10 million,"BRAVOTAMPA, LLC",4220 EDISON LAKES PKWY,MISHAWAKA,IN,46545.0,722513.0,4/8/2020
240368,$5-10 million,BRC RUBBER & PLASTICS INC,"1029 W State Blvd, Suite A",FORT WAYNE,IN,46808.0,326291.0,4/11/2020
240369,$5-10 million,BTD MANUFACTURING INC,177 Six Pine Ranch Road 0.0,BATESVILLE,IN,47006.0,336370.0,4/10/2020
240370,$5-10 million,"BUCKINGHAM MANAGEMENT, L.L.C.",941 N MERIDIAN ST,INDIANAPOLIS,IN,46204.0,541611.0,4/4/2020
240371,$5-10 million,BYRIDER SALES OF INDIANA S LLC,12802 Hamilton Crossing Blvd,CARMEL,IN,46032.0,441120.0,5/3/2020
240372,$5-10 million,C.A. ADVANCED INC,311 S. indiana Ave,WAKARUSA,IN,46573.0,237130.0,4/5/2020
240373,$5-10 million,CFA INC.,977 State Rt 46 East Suite C,BATESVILLE,IN,47006.0,561320.0,4/16/2020
240374,$5-10 million,CINTEMP INC.,977 State Rt 46 East Suite C,BATESVILLE,IN,47006.0,561320.0,4/28/2020
240375,$5-10 million,CONSOLIDATED FABRICATION AND CONSTRUCTORS INC,3851 Ellsworth Street,GARY,IN,46408.0,236118.0,4/8/2020
240376,$5-10 million,COUNTRYMARK REFINING & LOGISTICS LLC,1200 REFINERY RD,MOUNT VERNON,IN,47620.0,211120.0,4/15/2020
240377,$5-10 million,"CROWN CORR, INC.",7100 W 21st Ave,GARY,IN,46406.0,238160.0,4/11/2020
240378,$5-10 million,CUNNINGHAM RESTAURANT GROUP LLC,530 FULTON ST SUITE 100,INDIANAPOLIS,IN,46202.0,722511.0,4/9/2020
240379,$5-10 million,DECATUR COUNTY MEMORIAL HOSPITAL,720 LINCOLN ST,GREENSBURG,IN,47240.0,622110.0,4/28/2020
240380,$5-10 million,"DIVERSE STAFFING SERVICES, INC.",7135 Waldemar Drive,INDIANAPOLIS,IN,46268.0,561330.0,4/16/2020
240381,$5-10 million,"DRAPER, INC.",411 PEARL ST,SPICELAND,IN,47385.0,337920.0,4/5/2020
240382,$5-10 million,"DUCHARME, MCMILLEN & ASSOCIATES, INC.",828 S HARRISON ST,FORT WAYNE,IN,46802.0,541990.0,4/8/2020
240383,$5-10 million,"ELECTRIC PLUS, INC",173 COUNTY ROAD 525,AVON,IN,46123.0,238210.0,4/10/2020
240384,$5-10 million,"ENVIGO RMS, LLC",8250 Allison Pointe Blvd Suite 400,INDIANAPOLIS,IN,46250.0,541714.0,4/29/2020
240385,$5-10 million,"ENVISTA, LLC",11555 N MERIDIAN ST Ste 300,CARMEL,IN,46032.0,541614.0,4/7/2020
240386,$5-10 million,FLANDERS ELECTRIC MOTOR SERVICE INC,8101 Baumgart Road,EVANSVILLE,IN,47725.0,335312.0,4/29/2020
240387,$5-10 million,FOX CONTRACTORS CORP,5430 W FERGUSON RD,FORT WAYNE,IN,46809.0,237310.0,4/5/2020
240388,$5-10 million,"FUSION ALLIANCE, LLC",301 Pennsylvania Parkway,CARMEL,IN,46280.0,541611.0,4/7/2020
240389,$5-10 million,G.W. BERKHEIMER CO. INC. EMPLOYEE STOCK OWNERSHIP PLAN TRUST,6000 Southport Road 0.0,PORTAGE,IN,46368.0,423730.0,4/10/2020
240390,$5-10 million,"GENESIS PRODUCTS, LLC",2608 ALMAC CT,ELKHART,IN,46514.0,321911.0,4/5/2020
240391,$5-10 million,"GROTE INDUSTRIES, LLC",2600 Lanier Drive,MADISON,IN,47250.0,336320.0,4/14/2020
240392,$5-10 million,"HALL, RENDER, KILLIAN, HEATH & LYMAN, P.C.",500 N. Meridian Street,INDIANAPOLIS,IN,46204.0,541110.0,4/11/2020
240393,$5-10 million,HALLADOR ENERGY COMPANY,1183 E Canvasback Drive,TERRE HAUTE,IN,47802.0,212112.0,4/7/2020
240394,$5-10 million,HARRELL-FISH,2010 W Fountain Drive,BLOOMINGTON,IN,47404.0,238220.0,4/5/2020
240395,$5-10 million,"HEART OF THE HOUSE HOSPITALITY, INC.",2346 S Lynhurst,INDIANAPOLIS,IN,46241.0,561320.0,4/10/2020
240396,$5-10 million,"HIGHPOINT DIGITAL, INC.",300 N. MERIDIAN ST Ste. 1750,INDIANAPOLIS,IN,46204.0,541618.0,4/8/2020
240397,$5-10 million,HKP CORP.,500 East 96th Street,INDIANAPOLIS,IN,46240.0,531120.0,4/13/2020
240398,$5-10 million,HUSE CULINARY INC,101 W Washington St Ste 1250E,INDIANAPOLIS,IN,46204.0,722511.0,4/11/2020
240399,$5-10 million,"HUSTON ELECTRIC, INC.",P.O. Box 904,KOKOMO,IN,46903.0,238210.0,4/8/2020
