,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,DateApproved
252209,$5-10 million,"AMERICAN IMPLEMENT, INC.",2302 E MARY ST,GARDEN CITY,KS,67846.0,423820.0,4/8/2020
252210,$5-10 million,"AMERICAN PIZZA PARTNERS, L.P.",7700 E POLO DR,WICHITA,KS,67206.0,722513.0,4/4/2020
252211,$5-10 million,"AMERICRAFT CARTON, INC.",7400 STATE LINE RD,PRAIRIE VILLAGE,KS,66208.0,322212.0,4/14/2020
252212,$5-10 million,ANESTHESIA ASSOCIATES OF KANSAS CITY PC,8717 W 110th Street suite 600,OVERLAND PARK,KS,66210.0,621111.0,4/4/2020
252213,$5-10 million,"BARTLETT & WEST, INC.",1200 SW EXECUTIVE DR,TOPEKA,KS,66615.0,541330.0,4/7/2020
252214,$5-10 million,BICKFORD SENIOR LIVING GROUP LLC,13795 S Murlen Ste 301,OLATHE,KS,66062.0,623312.0,4/15/2020
252215,$5-10 million,EDP ENTERPRISES INC,11827 W 112ST,OVERLAND PARK,KS,66210.0,722310.0,4/6/2020
252216,$5-10 million,"ERIK HOLDINGS, INC.",5400 Kansas Ave,KANSAS CITY,KS,66106.0,484121.0,4/7/2020
252217,$5-10 million,EXCEL INDUSTRIES INC,200 S. Ridge Road,HESSTON,KS,67062.0,333112.0,4/15/2020
252218,$5-10 million,"GILL STUDIOS, INC.",10800 Lackman Rd,LENEXA,KS,66219.0,323111.0,4/5/2020
252219,$5-10 million,GMRG ACQ 1 LLC,10880 Benson Drive Suite 2320,OVERLAND PARK,KS,66210.0,722513.0,4/7/2020
252220,$5-10 million,"HERITAGE TRACTOR, INC.",915 Industrial Park Rd,BALDWIN CITY,KS,66006.0,423820.0,4/27/2020
252221,$5-10 million,HUTCHINSON CLINIC PA,2101 North WALDRON ST,HUTCHINSON,KS,67502.0,621111.0,4/13/2020
252222,$5-10 million,"ICM HOLDINGS, INC",310 N First Street,COLWICH,KS,67030.0,551112.0,4/5/2020
252223,$5-10 million,INFOSYNC SERVICES LLC,1938 N WOODLAWN ST STE 110,WICHITA,KS,67208.0,541219.0,4/16/2020
