,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,DateApproved
258067,$5-10 million,"AGRI POWER, INC",PO Box 538,HOPKINSVILLE,KY,42241.0,423820.0,4/6/2020
258068,$5-10 million,BIG RIVERS ELECTRIC CORPORATION,201 THIRD STREET,HENDERSON,KY,42420.0,221122.0,4/10/2020
258069,$5-10 million,"BLUE DIAMOND MINING, LLC",3228 SUMMIT SQUARE PL,LEXINGTON,KY,40509.0,212111.0,4/10/2020
258070,$5-10 million,"BRAMCO, INC.",1801 Watterson Trail 0.0,LOUISVILLE,KY,40299.0,423810.0,4/9/2020
258071,$5-10 million,CENTRE COLLEGE OF KENTUCKY,600 W WALNUT ST,DANVILLE,KY,40422.0,611310.0,4/10/2020
258072,$5-10 million,"CHEMICAL & INDUSTRIAL ENGINEERING, INC.",1930 Bishop Lane Suite 800 0.0,LOUISVILLE,KY,40218.0,541330.0,4/9/2020
258073,$5-10 million,CMTA INC,10411 Meeting St,PROSPECT,KY,40059.0,541330.0,4/15/2020
258074,$5-10 million,COAL MAC LLC,4189 Collins Hwy,PIKEVILLE,KY,41501.0,212113.0,4/28/2020
258075,$5-10 million,COLUMBIA HOSPITALITY LLC,740 Centre View Blvd,FT MITCHELL,KY,41017.0,721110.0,4/6/2020
258076,$5-10 million,"COLUMBIA HOSPITALITY MEZZ, LLC",740 Centre View Blvd,FT MITCHELL,KY,41017.0,721110.0,4/7/2020
258077,$5-10 million,CREATION GARDENS INC,2055 Nelson Miller Parkway,LOUISVILLE,KY,40223.0,424480.0,4/27/2020
258078,$5-10 million,CSC HOLDINGS LLC,740 Centre View Blvd,FT MITCHELL,KY,41017.0,721110.0,4/6/2020
258079,$5-10 million,"CTI - CLINICAL TRIAL SERVICES, INC","100 E. RIVERCENTER BLVD, SUITE 1600",COVINGTON,KY,41011.0,541714.0,4/14/2020
258080,$5-10 million,DIOCESE OF COVINGTON,1125 MADISON AVENUE,COVINGTON,KY,41011.0,813110.0,4/16/2020
258081,$5-10 million,DIVISIONS INC,1 RIVERFRONT PL STE 500,NEWPORT,KY,41071.0,561790.0,4/10/2020
258082,$5-10 million,"EAGLE FINANCIAL SERVICES, INC.",7791 Dixie Highway Ste. B,FLORENCE,KY,41042.0,522298.0,4/15/2020
258083,$5-10 million,"EMPLOYEE RESOURCE GROUP, LLC",601 Main Street Suite 102,HAZARD,KY,41701.0,722511.0,4/5/2020
258084,$5-10 million,"FAMILY HEALTH CENTER, INC.",2215 PORTLAND AVE,LOUISVILLE,KY,40212.0,624190.0,4/4/2020
258085,$5-10 million,"GLOBAL AG SOURCE, INC.",306 ANDRUS DR,MURRAY,KY,42071.0,115116.0,4/8/2020
258086,$5-10 million,HARRISON MEMORIAL HOSPITAL,1213 Ky Hwy 36 E,CYNTHIANA,KY,41031.0,813910.0,4/8/2020
258087,$5-10 million,HOME OF THE INNOCENTS INC,1100 E MARKET ST,LOUISVILLE,KY,40206.0,623990.0,4/13/2020
258088,$5-10 million,IKEYLESS LLC,828 E Market St,LOUISVILLE,KY,40206.0,561622.0,4/14/2020
258089,$5-10 million,INLAND MARINE SERVICE,1700 Petersburg Road,HEBRON,KY,41048.0,483211.0,4/28/2020
258090,$5-10 million,"ISCO INDUSTRIES, INC.",100 WITHERSPOON ST,LOUISVILLE,KY,40202.0,326122.0,4/5/2020
258091,$5-10 million,"JAMES MARINE, INC.",4500 CLARKS RIVER RD,PADUCAH,KY,42003.0,336611.0,4/4/2020
258092,$5-10 million,"KENTUCKIANA CURB COMPANY, INC.",2716 Grassland Drive,LOUISVILLE,KY,40299.0,332322.0,5/3/2020
258093,$5-10 million,LIFE SKILLS INC,380 Suwannee Trail,BOWLING GREEN,KY,42103.0,621420.0,4/7/2020
258094,$5-10 million,MCM CPAS & ADVISORS LLP,"462 South 4TH ST, Suite 2600",LOUISVILLE,KY,40202.0,541219.0,4/8/2020
258095,$5-10 million,"MODERN WELDING COMPANY, INC.",2880 NEW HARTFORD RD,OWENSBORO,KY,42303.0,333992.0,4/7/2020
258096,$5-10 million,MOUNTAIN PLUS SERVICES,104 South FRONT AVE,PRESTONSBURG,KY,41653.0,621610.0,4/14/2020
258097,$5-10 million,NATIONAL TOBACCO COMPANY LP,5201 INTERCHANGE WAY,LOUISVILLE,KY,40229.0,453998.0,4/4/2020
258098,$5-10 million,PERFETTI VAN MELLE USA INC.,3645 Turfway Rd,ERLANGER,KY,41018.0,424450.0,4/28/2020
258099,$5-10 million,PRESBYTERIAN CHURCH USA A CORP,100 WITHERSPOON ST,LOUISVILLE,KY,40202.0,813110.0,4/15/2020
