,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,DateApproved
264505,$5-10 million,"ABBEVILLE GENERAL HOSPITAL, INC",118 HOSPITAL DR,ABBEVILLE,LA,70510.0,622110.0,4/8/2020
264506,$5-10 million,ACADIAN CONTRACTORS INC,17102 LA HWY 330,ABBEVILLE,LA,70510.0,332999.0,4/29/2020
264507,$5-10 million,"ACCUTRANS, LLC",2740 Indiana Avenue,KENNER,LA,70062.0,488320.0,4/8/2020
264508,$5-10 million,ADAMS AND REESE LLP,701 Poydras St Ste 4500,NEW ORLEANS,LA,70139.0,541110.0,4/13/2020
264509,$5-10 million,ALLISON MARINE HOLDINGS LLC,9828 Hwy 182 East,MORGAN CITY,LA,70380.0,488330.0,4/9/2020
264510,$5-10 million,"ANALYTIC STRESS RELIEVING, INC.","3118 W Pinhook Rd Ste 202C,",LAFAYETTE,LA,70508.0,238990.0,4/13/2020
264511,$5-10 million,ARGENT FINANCIAL GROUP INC,500  E REYNOLDS DR,RUSTON,LA,71270.0,551112.0,4/13/2020
264512,$5-10 million,AUTO-CHLOR SERVICES LLC,500 DAKIN ST,NEW ORLEANS,LA,70121.0,325611.0,4/9/2020
264513,$5-10 million,BARRIERE CONSTRUCTION CO LLC,1 GALLERIA BLVD,METAIRIE,LA,70001.0,237310.0,4/9/2020
264514,$5-10 million,"BLESSEY MARINE SERVICE, INC.",1515 River Oaks Road East,HARAHAN,LA,70123.0,483211.0,4/29/2020
264515,$5-10 million,CENTURY REHABILITATION OF TEXAS LLC,4703 BLUEBONNET BLVD,BATON ROUGE,LA,70809.0,621340.0,5/1/2020
264516,$5-10 million,"CHET MORRISON CONTRACTORS, LLC",9 BAYOU DULARGE RD,HOUMA,LA,70363.0,213112.0,4/7/2020
264517,$5-10 million,COIL TUBING PARTNERS LLC,2014 PINHOOK RD,LAFAYETTE,LA,70508.0,213112.0,4/14/2020
264518,$5-10 million,COLLEGIATE ACADEMIES,2625 THALIA ST,NEW ORLEANS,LA,70113.0,611110.0,4/10/2020
264519,$5-10 million,"CONRAD INDUSTRIES, INC.",1100 BRASHEAR AVE,MORGAN CITY,LA,70380.0,336611.0,4/11/2020
264520,$5-10 million,"CROSBY ENERGY SERVICES, INC.",14090 MAIN ST,CUT OFF,LA,70345.0,211120.0,4/13/2020
264521,$5-10 million,"CROSBY TUGS, LLC",17771 Highway 3235,GALLIANO,LA,70354.0,483212.0,4/9/2020
264522,$5-10 million,"CTCO BENEFITS SERVICES, LLC",PO Box 2617,HOUMA,LA,70361.0,488330.0,4/29/2020
