,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,DateApproved
273565,$5-10 million,43108175,One Financial Center,BOSTON,MA,2111.0,541110.0,4/9/2020
273566,$5-10 million,A. A. WILL CORP.,145 ISLAND ST,STOUGHTON,MA,2072.0,237990.0,4/14/2020
273567,$5-10 million,ADDED ATTRACTIONS,299 WILLIAMS ST,LONGMEADOW,MA,1106.0,448190.0,4/30/2020
273568,$5-10 million,"AGRIMARK, INC.",40 SHATTUCK RD Suite 301,ANDOVER,MA,1810.0,311511.0,4/14/2020
273569,$5-10 million,"ALL STATES ASPHALT, INC.",112 AMHERST RD,SUNDERLAND,MA,1375.0,324121.0,4/5/2020
273570,$5-10 million,"ALL-PRO ELECTRIC, LLC",640 BOXFORD RD,HAVERHILL,MA,1835.0,238210.0,4/9/2020
273571,$5-10 million,ALLEGHENY CONTRACT FLOORING INC,36 Holton St,WINCHESTER,MA,1890.0,236220.0,4/15/2020
273572,$5-10 million,ALLIED ADVERTISING LIMITED PARTNERSHIP,55 CAMBRIDGE PKWY 200,CAMBRIDGE,MA,2142.0,541810.0,5/1/2020
273573,$5-10 million,AMERICAN BILTRITE INC.,57 River St Suite 302,WELLESLEY HILLS,MA,2481.0,326299.0,5/2/2020
273574,$5-10 million,ARCADIA LEARNING ACADEMY INC,37 EVANS ST,DORCHESTER,MA,2124.0,624410.0,4/30/2020
273575,$5-10 million,ASSUMPTION COLLEGE,500 Salisbury St,WORCESTER,MA,1609.0,611310.0,4/11/2020
273576,$5-10 million,AVID TECHNOLOGY INC,75 NETWORK DR,BURLINGTON,MA,1803.0,333316.0,4/28/2020
273577,$5-10 million,"BARD RAO & ATHANAS CONSULTING ENGINEERS, LLC",10 GUEST ST,BRIGHTON,MA,2135.0,541330.0,4/27/2020
273578,$5-10 million,BARRETT DISTRIBUTION CENTERS INC.,15 Freedom Way,FRANKLIN,MA,2038.0,541614.0,6/9/2020
273579,$5-10 million,BAY STATE MILLING COMPANY,100 Congress Street,QUINCY,MA,2169.0,311211.0,4/28/2020
273580,$5-10 million,BEACON RESIDENTIAL MANAGEMENT LIMITED PARTNERSHIP,"Two Center Plaza, Suite 700",BOSTON,MA,2108.0,484110.0,4/27/2020
273581,$5-10 million,BERKSHIRE COUNTY ARC INC,395 SOUTH ST,PITTSFIELD,MA,1201.0,923120.0,4/28/2020
273582,$5-10 million,BGRP HOLDINGS LLC,53 Old Mil RD,OSTERVILLE,MA,2655.0,523999.0,4/14/2020
273583,$5-10 million,BJ'S SERVICE COMPANY INC,222 Herman Melville Blvd,NEW BEDFORD,MA,2740.0,561320.0,4/14/2020
273584,$5-10 million,BLACK DIAMOND NETWORKS,23 Main Street 3rd Floor,ANDOVER,MA,1810.0,561320.0,4/15/2020
273585,$5-10 million,BOSTON IVF LLC,130 2nd Avenue,WALTHAM,MA,2451.0,621410.0,4/15/2020
273586,$5-10 million,"BREWSTER AMBULANCE SERVICE, INC.",25 MAIN ST,WEYMOUTH,MA,2188.0,621910.0,4/7/2020
273587,$5-10 million,BUCKINGHAM BROWNE & NICHOLS,80 Gerrys Landing Rd,CAMBRIDGE,MA,2138.0,611110.0,4/10/2020
273588,$5-10 million,BURTONS GRILL LLC,300 Brickstone Sq 103,ANDOVER,MA,1810.0,722511.0,4/14/2020
273589,$5-10 million,"CADMUS HOLDING COMPANY, INC.",100 5TH AVENUE,WALTHAM,MA,2451.0,541611.0,4/27/2020
273590,$5-10 million,"CARNEY MANAGEMENT COMPANY, INC.",1626 Worcester Road 0.0,FRAMINGHAM,MA,1702.0,541611.0,4/10/2020
273591,$5-10 million,"CATALANT TECHNOLOGIES, INC.","25 Thomson Place, 3rd Floor",BOSTON,MA,2210.0,541611.0,4/27/2020
273592,$5-10 million,"CENTRAL CEILINGS, INC",36 Norfolk Avenue,SOUTH EASTON,MA,2375.0,238310.0,4/6/2020
273593,$5-10 million,"COLLABORATIVE FOR EDUCATIONAL SERVICES, INC.",97 HAWLEY ST,NORTHAMPTON,MA,1060.0,611110.0,4/28/2020
273594,$5-10 million,"COPYRIGHT CLEARANCE CENTER, INC.",222 Rosewood Drive 0.0,DANVERS,MA,1923.0,519190.0,4/15/2020
273595,$5-10 million,"CORCORAN MANAGEMENT COMPANY, INC",100 GRANDVIEW RD,BRAINTREE,MA,2184.0,531311.0,4/10/2020
273596,$5-10 million,COX ENGINEERING CO INC,21 PACELLA PARK DR,RANDOLPH,MA,2368.0,238220.0,4/11/2020
273597,$5-10 million,CREATIVE FINANCIAL STAFFING INC,One International Place 16/F,BOSTON,MA,2110.0,561311.0,4/27/2020
273598,$5-10 million,DANIEL J QUIRK INC,444 QUINCY AVE,BRAINTREE,MA,2184.0,441110.0,4/15/2020
273599,$5-10 million,"DECK NETWORK, LLC",82 FLANDERS RD,WESTBOROUGH,MA,1581.0,722511.0,4/9/2020
