,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,DateApproved
291817,$5-10 million,A MORTON THOMAS & ASSOCIATES INC,800 KING FARM BLVD,ROCKVILLE,MD,20850.0,541330.0,4/14/2020
291818,$5-10 million,"ACELL, INC.",6640 Eli Whitney Dr. Suite 200,COLUMBIA,MD,21046.0,339112.0,4/15/2020
291819,$5-10 million,"ADFINITAS HEALTH, LLC",7250 Parkway Drive Suite 500,HANOVER,MD,21076.0,621999.0,4/14/2020
291820,$5-10 million,"AMERICAN YOUTH HOSTELS, INC.","8401 COLESVILLE RD, SUITE 600",SILVER SPRING,MD,20910.0,721199.0,4/9/2020
291821,$5-10 million,ARONSON LLC,111 Rockville Pike Ste 600,ROCKVILLE,MD,20850.0,541611.0,4/15/2020
291822,$5-10 million,"ASHLEY, INC.",800 TYDINGS LN,HAVRE DE GRACE,MD,21078.0,623220.0,4/8/2020
291823,$5-10 million,"BOLAND TRANE SERVICES, INC.",30 West Watkins Mill Road,GAITHERSBURG,MD,20878.0,333415.0,4/6/2020
291824,$5-10 million,BUSINESS INTEGRA TECHNOLOGY SOLUTIONS INC,"6550 Rock Spring Dr, Suite 60",BETHESDA,MD,20817.0,541512.0,4/10/2020
291825,$5-10 million,"CAPITAL DIGESTIVE CARE, LLC","12510 Prosperity Dr., Suite 200",SILVER SPRING,MD,20904.0,621111.0,4/14/2020
291826,$5-10 million,CAPREIT OPERATING LIMITED PARTNERSHIP,11200 ROCKVILLE PIKE STE 100,ROCKVILLE,MD,20852.0,531110.0,4/15/2020
291827,$5-10 million,CARE VENTURES INC,157 Baltimore Avenue,CUMBERLAND,MD,21502.0,621498.0,4/15/2020
291828,$5-10 million,"CAREY INTERNATIONAL, INC.",7445 New Technology Way,FREDERICK,MD,21703.0,485320.0,4/11/2020
291829,$5-10 million,"CAREY INTERNATIONAL, INC.",7445 New Technology Way,FREDERICK,MD,21703.0,722310.0,6/30/2020
291830,$5-10 million,CATALYST SOLUTIONS INC,502 South Sharp Street,BALTIMORE,MD,21201.0,541690.0,4/16/2020
291831,$5-10 million,"CHASE BREXTON HEALTH SERVICES, INC.",1111 North Charles Street,BALTIMORE,MD,21201.0,621111.0,4/15/2020
