,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,DateApproved
304736,$5-10 million,"ALCOM, LLC",6 MILLENNIUM DR,WINSLOW,ME,4901.0,336214.0,4/5/2020
304737,$5-10 million,ANDROSCOGGIN HOME HEALTH SERVICES INC,15 Strawberry Avenue,LEWISTON,ME,4240.0,621610.0,4/6/2020
304738,$5-10 million,BAKER NEWMAN & NOYES P.A. LLC,280 FORE ST,PORTLAND,ME,4101.0,541211.0,4/9/2020
304739,$5-10 million,BERRY DUNN MCNEIL & PARKER INC,100 Middle Street,PORTLAND,ME,4101.0,541211.0,4/9/2020
304740,$5-10 million,CONTINUUM HEALTH SERVICES INC,"250 GODDARD RD, UNIT A",LEWISTON,ME,4240.0,623110.0,4/10/2020
304741,$5-10 million,"CROOKER CONSTRUCTION, LLC",103 Lewiston Road,TOPSHAM,ME,4086.0,237310.0,4/6/2020
304742,$5-10 million,DARLINGS,96 Parkway South,BREWER,ME,4412.0,441110.0,4/9/2020
304743,$5-10 million,DIVERSIFIED HOLDINGS CO.,121 Free St.,PORTLAND,ME,4101.0,561920.0,4/27/2020
304744,$5-10 million,HUSSON UNIVERSITY,1 College Circle,BANGOR,ME,4401.0,611310.0,4/14/2020
304745,$5-10 million,"INTERMED, P.A.",100 Gannett Dr Suite C,SOUTH PORTLAND,ME,4106.0,621111.0,4/5/2020
304746,$5-10 million,LEE HOLDING CO.,777 Center St,AUBURN,ME,4212.0,441110.0,4/10/2020
304747,$5-10 million,MOUNT DESERT ISLAND HOSPITAL,10 Wayman Lane,BAR HARBOR,ME,4609.0,622110.0,4/11/2020
304748,$5-10 million,"NEW ENGLAND LIFE CARE, INC.",600 SOUTHBOROUGH DR,SOUTH PORTLAND,ME,4106.0,621610.0,4/6/2020
304749,$5-10 million,PENOBSCOT COMMUNITY HEALTH CENTER,103 Maine Avenue,BANGOR,ME,4401.0,621111.0,4/3/2020
304750,$5-10 million,"SATURN ASSOCIATES, INC.",65 GRAY RD,FALMOUTH,ME,4105.0,722513.0,4/4/2020
304751,$5-10 million,"SOMIC AMERICA, INC.",6 Baker Blvd,BREWER,ME,4412.0,336390.0,4/10/2020
304752,$5-10 million,"SPECTRUM HEALTHCARE PARTNERS, P.A.","324 Gannett Drive,",SOUTH PORTLAND,ME,4106.0,621111.0,4/13/2020
304753,$5-10 million,"V.I.P., INC",24 Harriman Drive,AUBURN,ME,4210.0,441320.0,4/10/2020
304754,$5-10 million,WOODLAND PULP LLC,114 MAIN ST,BAILEYVILLE,ME,4694.0,322110.0,4/9/2020
304755,$2-5 million,"ALLAGASH BREWING COMPANY, INC.",50 Industrial Way,PORTLAND,ME,4103.0,312120.0,4/3/2020
304756,$2-5 million,"AROOSTOOK MENTAL HEALTH SERVICES, INC.",43 Hatch Street,CARIBOU,ME,4736.0,621330.0,4/5/2020
304757,$2-5 million,ARTIST & CRAFTSMAN SUPPLY ESOP,540 Deering Ave,PORTLAND,ME,4103.0,453998.0,4/15/2020
304758,$2-5 million,BANCROFT CONTRACTING CORP.,23 PHILLIPS RD,SOUTH PARIS,ME,4281.0,237990.0,4/3/2020
