,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,DateApproved
307576,$5-10 million,A-LINE STAFFING SOLUTIONS LLC,7529 Auburn Road,UTICA,MI,48317.0,561320.0,6/17/2020
307577,$5-10 million,"ADVANCED RADIOLOGY, PLLC",3264 N Evergreen Dr,GRAND RAPIDS,MI,49525.0,621512.0,4/10/2020
307578,$5-10 million,"ADVANTAGE CONSULTING AND EDUCATIONAL SERVICES, INC","25800 Northwestern Highway, Suite 720",SOUTHFIELD,MI,48075.0,623110.0,4/15/2020
307579,$5-10 million,"AJAX PAVING INDUSTRIES, INC",1957 Crooks Rd,TROY,MI,48084.0,237310.0,4/11/2020
307580,$5-10 million,"AL SERRA, LLC",6201 S SAGINAW RD,GRAND BLANC,MI,48439.0,441120.0,4/9/2020
307581,$5-10 million,ALBION COLLEGE,611 PORTER ST,ALBION,MI,49224.0,611310.0,6/19/2020
307582,$5-10 million,"ALPINE ELECTRONICS OF AMERICA, INC.",1500 ATLANTIC BLVD,AUBURN HILLS,MI,48326.0,423620.0,4/29/2020
307583,$5-10 million,ALTIMETRIK CORP.,1000 Town Center Suite 700,SOUTHFIELD,MI,48075.0,541511.0,4/29/2020
307584,$5-10 million,AMERICAN EAGLE LIFECARE CORPORATION,3819 HAWK CREST RD,ANN ARBOR,MI,48103.0,623110.0,4/28/2020
307585,$5-10 million,"ANDY J. EGAN CO., INC.",2001 WALDORF ST NW,GRAND RAPIDS,MI,49544.0,238220.0,4/7/2020
307586,$5-10 million,"ANESTHESIA PRACTICE CONSULTANTS, P.C.",3333 Evergreen Dr NE,GRAND RAPIDS,MI,49525.0,339112.0,4/12/2020
307587,$5-10 million,ANGELO IAFRATE CONSTRUCTION COMPANY,26300 Sherwood 0.0,WARREN,MI,48091.0,237310.0,4/9/2020
307588,$5-10 million,"ANSARA RESTAURANT GROUP, INC.",23925 Industrial Park Drive,FARMINGTON,MI,48335.0,722511.0,4/7/2020
307589,$5-10 million,AOA MANAGEMENT COMPANY LTD PARTNERSHIP,3801 CAPITOL CITY BLVD,LANSING,MI,48906.0,541850.0,4/15/2020
307590,$5-10 million,ARISTEO CONSTRUCTION COMPANY,12811 Farmington Road,LIVONIA,MI,48150.0,236210.0,4/29/2020
307591,$5-10 million,"BANDIT INDUSTRIES, INC.",6750 Millbrook Rd.,REMUS,MI,49340.0,333991.0,4/28/2020
307592,$5-10 million,BARFLY VENTURES LLC,35 OAKES ST SW STE 400,GRAND RAPIDS,MI,49503.0,722511.0,4/11/2020
307593,$5-10 million,"BELL'S BREWERY, INC.",8938 Krum Avenue,GALESBURG,MI,49503.0,312120.0,4/5/2020
307594,$5-10 million,"BENESYS, INC.","700 Tower Drive, #300",TROY,MI,48098.0,511210.0,4/15/2020
307595,$5-10 million,BENORE LOGISTIC SYSTEMS,2500 ERIE RD,ERIE,MI,48133.0,541614.0,4/14/2020
307596,$5-10 million,"BNP MEDIA II, LLC",2401 W BIG BEAVER RD STE 700,TROY,MI,48084.0,511120.0,4/10/2020
307597,$5-10 million,BRINES REFRIGERATION HEATING & COOLING INC.,26400 Southfield Road,LATHRUP VILLAGE,MI,48076.0,238220.0,4/12/2020
