,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,DateApproved
327547,$5-10 million,3 BRIDGE SOLUTIONS LLC,100 S 5TH ST STE 300,MINNEAPOLIS,MN,55402.0,541511.0,4/10/2020
327548,$5-10 million,"ACTIVAR, INC.",7808 CREEKRIDGE CIRCLE Suite 200,MINNEAPOLIS,MN,55439.0,332999.0,4/10/2020
327549,$5-10 million,"ADAMS COMMUNICATIONS COMPANY, LLC",4095 COON RAPIDS BLVD NW,MINNEAPOLIS,MN,55433.0,511130.0,4/15/2020
327550,$5-10 million,AG PARTNERS COOPERATIVE,721 SAINT CLAIR ST W,CANNON FALLS,MN,55009.0,424510.0,4/10/2020
327551,$5-10 million,AITKIN COMMUNITY HOSPITAL INC,200 Bunker Hill Drive,AITKIN,MN,56431.0,622110.0,4/6/2020
327552,$5-10 million,ALEXANDRIA EXTRUSION CO.,401 County Road 22 NW,ALEXANDRIA,MN,56308.0,331318.0,4/13/2020
327553,$5-10 million,AMERICAN CONSULTING SERVICES INC,550 CLEVELAND AVE N,SAINT PAUL,MN,55114.0,541330.0,4/15/2020
327554,$5-10 million,"AMERICAN MORTGAGE AND EQUITY CONSULTANTS, INC.",7505 Metro Blvd Ste 600,EDINA,MN,55439.0,522310.0,4/9/2020
327555,$5-10 million,AMHERST H WILDER FOUNDATION,451 LEXINGTON PARKWAY NORTH,SAINT PAUL,MN,55104.0,813410.0,5/16/2020
327556,$5-10 million,ANTEA USA INC,5910 Rice Creek Parkway Suite 100,SAINT PAUL,MN,55126.0,541620.0,4/7/2020
327557,$5-10 million,"AQSEPTENCE GROUP, INC.",1950 Old Hwy 8 NW,NEW BRIGHTON,MN,55112.0,332999.0,4/30/2020
327558,$5-10 million,"ARVIG ENTERPRISES, INC.",150 2nd Street SW,PERHAM,MN,56573.0,517312.0,4/14/2020
327559,$5-10 million,ASSOCIATED MILK PRODUCERS INC,315 North Broadway 0.0,NEW ULM,MN,56073.0,311513.0,4/10/2020
327560,$5-10 million,"BBT FOODS, INC.",5570 SMETANA DR,MINNETONKA,MN,55343.0,722310.0,4/9/2020
327561,$5-10 million,"BERG DRYWALL, LLC",118 PEAVEY CIRCLE,CHASKA,MN,55318.0,238310.0,4/9/2020
327562,$5-10 million,"BERGANKDV, LTD.",220 PARK AVE S,SAINT CLOUD,MN,56301.0,541211.0,4/13/2020
327563,$5-10 million,"BERGER TRANSFER & STORAGE, INC.",2950 LONG LAKE RD,SAINT PAUL,MN,55113.0,484110.0,4/9/2020
327564,$5-10 million,"BERNATELLO'S PIZZA, INC.",200 Congress Street PO Box 729,MAPLE LAKE,MN,55358.0,311412.0,4/8/2020
327565,$5-10 million,"BOLTON & MENK, INC.",1960 Premier Drive,MANKATO,MN,56001.0,238990.0,4/15/2020
327566,$5-10 million,BONGARDS' CREAMERIES,250 Lake Drive East,CHANHASSEN,MN,55317.0,311513.0,4/10/2020
327567,$5-10 million,BORDER FOODS INC,5425 Boone Ave N,MINNEAPOLIS,MN,55428.0,722513.0,4/8/2020
327568,$5-10 million,BOWMAN & BROOKE LLP,150 S 5th St Ste 3000,MINNEAPOLIS,MN,55402.0,541110.0,4/4/2020
327569,$5-10 million,BRECK SCHOOL,123 Ottawa Avenue North,MINNEAPOLIS,MN,55422.0,611110.0,4/14/2020
327570,$5-10 million,"CARISCH, INC",681 LAKE ST,WAYZATA,MN,55391.0,722513.0,4/9/2020
327571,$5-10 million,CENTRAL FARM SERVICE,233 WEST CIRO ST,TRUMAN,MN,56088.0,115116.0,4/4/2020
327572,$5-10 million,"CENTRAL SPECIALTIES, INC.",6325 CTY RD 87,ALEXANDRIA,MN,56308.0,237310.0,4/6/2020
327573,$5-10 million,"CHARPS, LLC",453 TOWER ST,CLEARBROOK,MN,56634.0,237120.0,4/5/2020
327574,$5-10 million,CHRISTOPHER & BANKS CORPORATION,2400 XENIUM LN N,MINNEAPOLIS,MN,55441.0,453998.0,5/29/2020
327575,$5-10 million,"CLOW STAMPING COMPANY, INC.",23103 COUNTY ROAD 3,MERRIFIELD,MN,56465.0,332119.0,4/7/2020
