,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,DateApproved
341266,$5-10 million,"4M BUILDING SOLUTIONS, INC.",2827 Clark Avenue,SAINT LOUIS,MO,63103.0,561720.0,6/24/2020
341267,$5-10 million,"ACCENT CONTROLS, INC.",1601 BURLINGTON ST,KANSAS CITY,MO,64116.0,423610.0,4/14/2020
341268,$5-10 million,"APPLE BUS COMPANY, INC.","230 E Main Street, PO Box 155",CLEVELAND,MO,64734.0,484110.0,4/10/2020
341269,$5-10 million,"ARCO DESIGN/BUILD PARENT, INC.",7700 BONHOMME AVE STE 200,SAINT LOUIS,MO,63105.0,541310.0,4/8/2020
341270,$5-10 million,ARMSTRONG TEASDALE LLP,7700 FORSYTH BLVD Suite 1800,SAINT LOUIS,MO,63105.0,541110.0,4/4/2020
341271,$5-10 million,"ARTUR EXPRESS, INC.",4824 Park 370 Boulevard,HAZELWOOD,MO,63042.0,484110.0,4/7/2020
341272,$5-10 million,BARKLEY INC,1740 Main St,KANSAS CITY,MO,64108.0,541810.0,4/5/2020
341273,$5-10 million,BELTSERVICE CORPORATION,4143 RIDER TRL North,EARTH CITY,MO,63045.0,326220.0,4/8/2020
341274,$5-10 million,"BRADFORD AND GALT, INC.",11457 Olde Cabin Road Suite 200,SAINT LOUIS,MO,63141.0,541519.0,4/15/2020
341275,$5-10 million,BREWER SCIENCE INC,2401 BREWER DR,ROLLA,MO,65401.0,334413.0,4/7/2020
341276,$5-10 million,"BUILDER'S BLOC ENTERPRISES, INC.",607 Trade Center Blvd.,CHESTERFIELD,MO,63005.0,236115.0,4/5/2020
341277,$5-10 million,C HAGER & SONS HINGE MANUFACTURING COMPANY,139 VICTOR ST,SAINT LOUIS,MO,63104.0,332510.0,4/6/2020
341278,$5-10 million,CASS REGIONAL MEDICAL CENTER,2800 E Rock Haven Road,HARRISONVILLE,MO,64701.0,622110.0,4/13/2020
341279,$5-10 million,"CCA GLABAL PARTNERS, INC",4301 Earth City Expressway,EARTH CITY,MO,63045.0,442210.0,4/14/2020
