,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,DateApproved
352725,$2-5 million,"ASIA PACIFIC HOTELS, INC",PO Box 501029,SAIPAN,MP,96950.0,721110.0,4/14/2020
352726,$1-2 million,INTERPACIFIC RESORTS (SAIPAN) CORPORATION,502370 PO Box,SAIPAN,MP,96950.0,721110.0,4/27/2020
352727,$1-2 million,MICRONESIA RESORT INC.,5152 PO BOX,SAIPAN,MP,96950.0,721110.0,4/27/2020
352728,$1-2 million,SAIPAN PORTOPIA HOTEL CORPORATION,P.O. Box 5087 CHRB,SAIPAN,MP,96950.0,721110.0,4/15/2020
352729,$1-2 million,"TRIPLE J SAIPAN, INC.",Beach Road Chalan Kanoa,SAIPAN,MP,96950.0,441110.0,4/7/2020
352730,"$350,000-1 million",AC PACIFIC LLC,503842 PO BOX,SAIPAN,MP,96950.0,453220.0,4/28/2020
352731,"$350,000-1 million","ACE HARDWARE CNMI, INC.",500137 PO Box,SAIPAN,MP,96950.0,444130.0,4/30/2020
352732,"$350,000-1 million","GPPC, INC",504357 PO BOX CK,SAIPAN,MP,96950.0,236220.0,4/27/2020
352733,"$350,000-1 million","HERMAN'S MODERN BAKERY, INC.",Tun Herman Pan Road Dandan,SAIPAN,MP,96950.0,311811.0,4/27/2020
352734,"$350,000-1 million",J C TENORIO ENTERPRISES INC,500137 PO BOX,SAIPAN,MP,96950.0,445110.0,4/29/2020
352735,"$350,000-1 million",JCA INC.,P.O. Box 500568,SAIPAN,MP,96950.0,722513.0,4/14/2020
352736,"$350,000-1 million",L&T GROUP OF COMPANIES LTD.,"JP CENTRE, BEACH ROAD",SAIPAN,MP,96950.0,551114.0,4/12/2020
352737,"$350,000-1 million",PACIFIC ORIENTAL INC.,P.O. Box 504930,SAIPAN,MP,96950.0,336413.0,4/12/2020
352738,"$350,000-1 million","PACIFIC RIM LAND DEVELOPMENT, LLC","Ste 409, Marianas Business Plaza",SAIPAN,MP,96950.0,236210.0,4/3/2020
352739,"$350,000-1 million","SAIPAN LAULAU DEVELOPMENT, INC.",10000 PO BOX PMB 1020,SAIPAN,MP,96950.0,713910.0,6/17/2020
