,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,DateApproved
352781,$5-10 million,B & B ELECTRICAL & UTILITY CONTRACTORS,530 SOLDIER COLONY RD,CANTON,MS,39046.0,237130.0,4/7/2020
352782,$5-10 million,"BUTLER SNOW, LLP",1020 HIGHLAND COLONY PKWY,RIDGELAND,MS,39157.0,541110.0,4/8/2020
352783,$5-10 million,"F. L. CRANE & SONS, INC.",508 South Spring Street,FULTON,MS,38843.0,238310.0,4/9/2020
352784,$5-10 million,FRANKLIN CORPORATION,600 FRANKLIN DR,HOUSTON,MS,38851.0,337125.0,4/12/2020
352785,$5-10 million,"GASTROINTESTINAL ASSOCIATES, PA",2510 LAKELAND DR,FLOWOOD,MS,39232.0,621111.0,4/6/2020
352786,$5-10 million,HOL-MAC CORPORATION,2730 HIGHWAY 15,BAY SPRINGS,MS,39422.0,336211.0,4/14/2020
352787,$5-10 million,JINDAL TUBULAR USA LLC,13092 SEA PLANE ROAD,BAY SAINT LOUIS,MS,39520.0,331210.0,4/28/2020
352788,$5-10 million,"MAX HOME, LLC",101 MAX PL,FULTON,MS,38843.0,337121.0,4/12/2020
352789,$5-10 million,"MID RIVER RESTAURANTS, LLC",296 Highland Blvd,NATCHEZ,MS,39122.0,722511.0,4/10/2020
352790,$5-10 million,"NEEL SCHAFFER, INC",125 South Congress St. Suite 1100,JACKSON,MS,39201.0,237990.0,4/15/2020
352791,$5-10 million,PILGRIM CONSTRUCTION CO LLC,2419 HIGHWAY 528,HEIDELBERG,MS,39439.0,237120.0,4/7/2020
352792,$5-10 million,PUCKETT MACHINERY COMPANY,100 CATERPILLAR DR,FLOWOOD,MS,39232.0,811310.0,4/4/2020
352793,$5-10 million,SOUTHERN ELECTRIC CORPORATION OF MISSISSIPPI,4374-A MANGUM DR,FLOWOOD,MS,39232.0,237130.0,4/8/2020
352794,$5-10 million,SOUTHERN TIRE MART LLC,800 HIGHWAY 98 BYP,COLUMBIA,MS,39429.0,326212.0,4/11/2020
352795,$5-10 million,STAFF PRO LLC,238 COURTHOUSE RD,GULFPORT,MS,39507.0,561311.0,4/27/2020
