,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,DateApproved
356671,$5-10 million,BETTER BUSINESS SYSTEMS INC,175 North 27th Street Suite 800,BILLINGS,MT,59101.0,561330.0,4/14/2020
356672,$5-10 million,COMMUNITY HOSPITAL OF ANACONDA,401 W PENNSYLVANIA AVE,ANACONDA,MT,59711.0,622110.0,4/3/2020
356673,$5-10 million,"CONSUMER DIRECT HOLDINGS, INC.",100 Consumer Direct Way,MISSOULA,MT,59808.0,621610.0,4/4/2020
356674,$5-10 million,CTA ARCHITECTS ENGINEERS,13 N 23RD ST,BILLINGS,MT,59101.0,541310.0,4/3/2020
356675,$5-10 million,"MANN MORTGAGE, LLC",1230 Whitefish Stage Rd,KALISPELL,MT,59901.0,522292.0,4/9/2020
356676,$5-10 million,MORRISON-MAIERLE INC,1 Engineering Place,HELENA,MT,59602.0,541330.0,4/13/2020
356677,$5-10 million,RICHARD G ANDERSON,3424 US HWY 12E,HELENA,MT,59601.0,236220.0,4/7/2020
356678,$5-10 million,SIDNEY HEALTH CENTER,216 14TH AVE SW,SIDNEY,MT,59270.0,622110.0,4/27/2020
356679,$5-10 million,WESTERN MONTANA MENTAL HEALTH CENTER,1321 WYOMING ST,MISSOULA,MT,59801.0,813410.0,4/4/2020
356680,$5-10 million,ZOOT ENTERPRISES INC,555 Zoot Enterprises Ln,BOZEMAN,MT,59718.0,522320.0,4/3/2020
356681,$2-5 million,3 RIVERS TELEPHONE COOPERATIVE INC,202 5TH ST S,FAIRFIELD,MT,59436.0,517311.0,4/4/2020
356682,$2-5 million,"A.W.A.R.E., INC.",205 E Park Ave,ANACONDA,MT,59711.0,623210.0,4/27/2020
356683,$2-5 million,ADF INTERNATIONAL INC.,1900 Great Bear Ave.,GREAT FALLS,MT,59401.0,332312.0,4/29/2020
356684,$2-5 million,"ALAMON, INC.",315 West Idaho Street,KALISPELL,MT,59901.0,517919.0,4/4/2020
356685,$2-5 million,ANDERSON ZURMUEHLEN & CO. P.C.,828 Great Northern Blvd,HELENA,MT,59624.0,541211.0,4/10/2020
356686,$2-5 million,AUTOMOTIVE & INDUSTRIAL DISTRIBUTORS OF BILLINGS,900 1st Ave North,BILLINGS,MT,59101.0,441310.0,4/3/2020
356687,$2-5 million,BARRETT HOSPITAL DEVELOPMENT CORPORATION,600 MT Highway 91 S,DILLON,MT,59725.0,622110.0,4/3/2020
356688,$2-5 million,"BRIDGER STEEL, INC.",1558 Amsterdam Rd.,BELGRADE,MT,59714.0,423320.0,4/3/2020
356689,$2-5 million,CARROLL COLLEGE,1601 N. Benton Ave.,HELENA,MT,59625.0,611310.0,4/27/2020
