,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,DateApproved
358867,$5-10 million,"3A COMPOSITES USA, INC","Two Harbour Place, 721 Jetton St Suite 325",DAVIDSON,NC,28036.0,339950.0,4/10/2020
358868,$5-10 million,AC CORPORATION,301 CREEK RIDGE RD,GREENSBORO,NC,27406.0,238220.0,4/9/2020
358869,$5-10 million,"AIR T, INC.",5930 BALSOM RIDGE RD,DENVER,NC,28037.0,532411.0,4/8/2020
358870,$5-10 million,AIRBOSS RUBBER COMPOUNDING (NC) INC.,500 AIRBOSS PKWY,SCOTLAND NECK,NC,27874.0,326291.0,4/30/2020
358871,$5-10 million,AKG NORTH AMERICA INC,7315 OAKWOOD STREET EXT,MEBANE,NC,27302.0,332410.0,4/28/2020
358872,$5-10 million,AKG NORTH AMERICAN OPERATIONS,7315 OAKWOOD STREET EXT,MEBANE,NC,27302.0,333415.0,5/3/2020
358873,$5-10 million,ALLERGY PARTNERS PLLC,1978 Hendersonville Road,ASHEVILLE,NC,28803.0,621111.0,4/30/2020
358874,$5-10 million,"ALLIED STAFF AUGMENTATION PARTNERS, INC.",7421 CARMEL EXECUTIVE PARK DR. #225,CHARLOTTE,NC,28226.0,561499.0,4/12/2020
358875,$5-10 million,"ALPHABEST EDUCATION, INC.",5980 kinney Rd,LEWISVILLE,NC,27023.0,611710.0,4/27/2020
358876,$5-10 million,ANDERSON ASHEVILLE LLC,777 BREVARD RD,ASHEVILLE,NC,28806.0,441110.0,4/10/2020
358877,$5-10 million,"BLUM, INC",7733 OLD PLANK RD,STANLEY,NC,28164.0,332510.0,4/30/2020
358878,$5-10 million,BODDIE-NOELL ENTERPRISES INC,1021 Noell Lane,ROCKY MOUNT,NC,27802.0,722511.0,4/9/2020
358879,$5-10 million,"BOJ OF WNC, LLC",131 Glenn Bridge Rd,ARDEN,NC,28704.0,722513.0,4/13/2020
358880,$5-10 million,BOJANGLES RESTAURANT INC,9432 Southern Pine Blvd,CHARLOTTE,NC,28273.0,722513.0,4/15/2020
358881,$5-10 million,"BRADY TRANE SERVICE, INC.",2025 16TH STREET,GREENSBORO,NC,27405.0,423730.0,4/6/2020
358882,$5-10 million,BROCK & SCOTT PLLC,1315 WESTBROOK PLAZA DR,WINSTON SALEM,NC,27103.0,541110.0,4/8/2020
358883,$5-10 million,CAESARSTONE USA,1401 W. MOREHEAD ST,CHARLOTTE,NC,28208.0,423320.0,5/5/2020
358884,$5-10 million,CAPITAL TALENT PARTNERS INC,831 E MOREHEAD ST STE 660,CHARLOTTE,NC,28202.0,561320.0,4/9/2020
358885,$5-10 million,CAROLINA BIOLOGICAL SUPPLY COMPANY,2700 YORK RD,BURLINGTON,NC,27215.0,454110.0,4/15/2020
358886,$5-10 million,CAROLINA NEUROSURGERY & SPINE ASSOCIATION,225 Baldwin Avenue,CHARLOTTE,NC,28204.0,621111.0,4/9/2020
358887,$5-10 million,"CAROLINA RESTAURANT GROUP, INC",8040 Arrowridge Blvd,CHARLOTTE,NC,28273.0,722513.0,4/15/2020
358888,$5-10 million,CAROLINA SUNROCK LLC,200 HORIZON DR,RALEIGH,NC,27615.0,212319.0,4/15/2020
358889,$5-10 million,CAROLINAS CONSTRUCTION SOLUTIONS,3600 N. TRYON ST,CHARLOTTE,NC,28206.0,561311.0,5/3/2020
358890,$5-10 million,CISA LUBES USA INC,1300 Baxter St,CHARLOTTE,NC,28204.0,811198.0,4/9/2020
358891,$5-10 million,"CV INDUSTRIES, INC.",1000 Perkins RD SE 0.0,VALDESE,NC,28690.0,313210.0,4/9/2020
358892,$5-10 million,DAYMARK RECOVERY SERVICES INC.,2129 Statesville Blvd,SALISBURY,NC,28147.0,621420.0,4/30/2020
358893,$5-10 million,"DP PREISS COMPANY, INC.",1700 HILLSBOROUGH ST,RALEIGH,NC,27605.0,531110.0,4/8/2020
358894,$5-10 million,DUKE SCHOOL,3716 Erwin Road,DURHAM,NC,27705.0,611110.0,4/13/2020
358895,$5-10 million,EAST CAROLINA ANESTHESIA ASSOCIATES PLLC,2080 W Arlington Blvd Ste B,GREENVILLE,NC,27834.0,621111.0,4/10/2020
358896,$5-10 million,EMERGEORTHO P.A.,120 WILLIAM PENN PLZ,DURHAM,NC,27704.0,621111.0,4/29/2020
358897,$5-10 million,"ENDURA PRODUCTS, LLC",8817 West Market Street,COLFAX,NC,27235.0,332321.0,4/29/2020
358898,$5-10 million,"FASTMED URGENT CARE, P.C.","935 Shotwell Rd,Ste108",CLAYTON,NC,27520.0,621111.0,5/12/2020
358899,$5-10 million,FMI CORPORATION,223 S WEST ST Suite 1200,RALEIGH,NC,27603.0,541611.0,4/7/2020
358900,$5-10 million,"FRONTIER YARNS, INC.",1823 Boone Trail Road,SANFORD,NC,27330.0,313310.0,4/9/2020
