,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,DateApproved
375191,$5-10 million,"ACME ELECTRIC MOTOR, INC.",1101 N Washington St,GRAND FORKS,ND,58203.0,423710.0,4/27/2020
375192,$5-10 million,"ADVANCED ENGINEERING AND ENVIRONMENTAL SERVICES, INC.",4050 GARDENVIEW DR Ste 200,GRAND FORKS,ND,58201.0,541330.0,4/4/2020
375193,$5-10 million,ANNE CARLSEN CENTER,701 3rd ST NE,JAMESTOWN,ND,58401.0,623210.0,4/7/2020
375194,$5-10 million,EDGEWOOD OPCO LLC,322 Demers Ave Suite 500,GRAND FORKS,ND,58201.0,623312.0,4/13/2020
375195,$5-10 million,"MILLER INSULATION CO, INC.",3520 E. Century Avenue,BISMARCK,ND,58503.0,236210.0,4/3/2020
375196,$5-10 million,MINN-DAK FARMERS COOPERATIVE,7525 RED RIVER RD,WAHPETON,ND,58075.0,311313.0,4/4/2020
375197,$5-10 million,"NORED, INC.",800 31st AVE SW,MINOT,ND,58701.0,423820.0,4/10/2020
375198,$5-10 million,NORTHERN IMPROVEMENT COMPANY,4000 12TH AVE,FARGO,ND,58102.0,237310.0,4/30/2020
375199,$5-10 million,"STEFFES & SON MANUFACTURING, I",3050 Highway 22 North,DICKINSON,ND,58601.0,333132.0,4/3/2020
375200,$5-10 million,STRATA CORPORATION,1600 N 48TH ST,GRAND FORKS,ND,58203.0,237310.0,4/11/2020
375201,$5-10 million,"TRUENORTH STEEL, INC.",702 13TH AVE,WEST FARGO,ND,58078.0,332312.0,4/3/2020
375202,$5-10 million,VALLEY SENIOR LIVING,2900 14th Ave S,GRAND FORKS,ND,58201.0,623110.0,4/13/2020
375203,$5-10 million,W.W. WALLWORK INC,900 35TH ST,FARGO,ND,58102.0,423110.0,4/6/2020
375204,$5-10 million,"WYOMING CASING SERVICE, INC.",198 40th St E,DICKINSON,ND,58601.0,213112.0,4/4/2020
375205,$2-5 million,4 BEARS CASINO & LODGE,202 Frontage Rd,NEW TOWN,ND,58763.0,721120.0,4/27/2020
375206,$2-5 million,ALL FINISH CONCRETE,801 CHRISTIANSON DR,WEST FARGO,ND,58078.0,238110.0,4/8/2020
375207,$2-5 million,"ALLEGIANCE FUNDRAISING GROUP, LLC",3064 49TH ST S,FARGO,ND,58104.0,518210.0,4/7/2020
375208,$2-5 million,"APPAREO SYSTEMS, LLC",1810 NDSU RESEARCH CIR N,FARGO,ND,58102.0,336413.0,4/4/2020
375209,$2-5 million,"APPLE CORE ENTERPRISES, INC",509 30th Ave NW,MINOT,ND,58703.0,722511.0,4/3/2020
375210,$2-5 million,"B & G ROUSTABOUT SERVICE, LLC",PO BOX 818,WILLISTON,ND,58802.0,213112.0,4/6/2020
375211,$2-5 million,BAKER BOY,170 GTA DR,DICKINSON,ND,58601.0,311812.0,4/3/2020
375212,$2-5 million,"BAKER CONSULTING, LLC",2802 102nd Ave NW,MANDAREE,ND,58757.0,213112.0,4/3/2020
375213,$2-5 million,"BEMOBILE, INC.","2100 S. Columbia Road, STE 214",GRAND FORKS,ND,58201.0,443142.0,4/6/2020
375214,$2-5 million,"BLACK GOLD FARMS,INC",4320 18TH AVE S,GRAND FORKS,ND,58201.0,111211.0,4/10/2020
375215,$2-5 million,"BORDER STATES PAVING, INC",4101 32ND ST N,FARGO,ND,58102.0,237310.0,4/10/2020
375216,$2-5 million,"BROSZ ENGINEERING, INC.",109 S Main St,BOWMAN,ND,58623.0,541330.0,4/6/2020
375217,$2-5 million,BUSHEL INC,508 7th Street N,FARGO,ND,58102.0,541511.0,4/9/2020
375218,$2-5 million,"CDI SERVICES, INC.",2100 15TH ST N,WAHPETON,ND,58075.0,339999.0,4/6/2020
375219,$2-5 million,"CLIFTY GROUP, LLC",13212 26th St NW,ARNEGARD,ND,58835.0,237120.0,4/4/2020
375220,$2-5 million,CLOVERDALE FOODS COMPANY,3015 34TH ST,MANDAN,ND,58554.0,311612.0,4/6/2020
375221,$2-5 million,"COMMUNITY OPTIONS FOR RESIDENTIAL AND EMPLOYMENT SERVICES, INC.",4909 SHELBURNE ST,BISMARCK,ND,58503.0,624120.0,4/9/2020
375222,$2-5 million,CONSOLIDATED TELCOM,507 South Main,DICKINSON,ND,58601.0,517311.0,4/3/2020
375223,$2-5 million,CRUZ ENERGY SERVICES LLC,10944 109E AVE SW,DICKINSON,ND,58601.0,238990.0,5/6/2020
375224,$2-5 million,"CS WELDING, LLC",1101 4th St SE Suite 206,STANLEY,ND,58784.0,213112.0,4/7/2020
375225,$2-5 million,DACOTAH PAPER CO,3940 15TH AVE,FARGO,ND,58102.0,424120.0,4/9/2020
375226,$2-5 million,DAKOTA BOYS AND GIRLS RANCH,PO Box 5007,MINOT,ND,58702.0,624110.0,4/10/2020
375227,$2-5 million,DAKOTA DRIVE LLC,104 20th AVe SW Ste 1,MINOT,ND,58701.0,722513.0,4/4/2020
375228,$2-5 million,DAKOTA MAGIC CASINO,16849 102nd St SE,HANKINSON,ND,58041.0,722410.0,4/28/2020
375229,$2-5 million,DAKOTA PETROLEUM SERVICES LLC,112 CENTRAL AVE,KILLDEER,ND,58640.0,484220.0,4/7/2020
375230,$2-5 million,DEVELOPMENT HOMES INC,3880 COLUMBIA RD,GRAND FORKS,ND,58201.0,623220.0,4/5/2020
375231,$2-5 million,DFC COMPANY,1110 25TH AVE N,FARGO,ND,58102.0,238990.0,4/9/2020
375232,$2-5 million,DTN STAFFING INC.,1200 Collins Avenue Suite 1,MANDAN,ND,58554.0,561311.0,4/13/2020
375233,$2-5 million,"E & M SERVICES, LLC",305 12th St,WATFORD CITY,ND,58854.0,213112.0,4/4/2020
375234,$2-5 million,ENTREC CRANES & HEAVY HAUL INC,3193 HIGHWAY 22 N,DICKINSON,ND,58601.0,532412.0,4/14/2020
375235,$2-5 million,ESTVOLD OILFIELD SERVICES INC,8449 39TH ST NW,NEW TOWN,ND,58763.0,213112.0,4/15/2020
375236,$2-5 million,FAMILY HEALTHCARE CENTER,301 NP Ave,FARGO,ND,58102.0,621111.0,4/4/2020
375237,$2-5 million,FINANCIAL BUSINESS SYSTEMS,3415 39th St. S.,FARGO,ND,58104.0,511210.0,4/3/2020
375238,$2-5 million,G-STYLE TRANSPORT LLC,5033 Jackson Street,WILLISTON,ND,58801.0,484220.0,4/14/2020
375239,$2-5 million,GENERAL EQUIPMENT & SUPPLIES INC,4300 MAIN AVE,FARGO,ND,58103.0,423810.0,4/5/2020
375240,$2-5 million,GOOD SAMARITAN HOSPITAL ASSOCIATION,800 S Main Ave,RUGBY,ND,58368.0,622110.0,4/8/2020
375241,$2-5 million,"HEARTLAND AUTOMOTIVE, LLC",501 South 38th St,FARGO,ND,58103.0,441120.0,4/3/2020
375242,$2-5 million,"HIGH POINT NETWORKS, LLC",728 E. Beaton Dr. Suite 200,WEST FARGO,ND,58078.0,423430.0,4/3/2020
375243,$2-5 million,"HOLLAND ENTERPRISES, INC.",500 CARL OLSEN ST,MAPLETON,ND,58059.0,484121.0,4/3/2020
375244,$2-5 million,HOSPICE OF THE RED RIVER VALLEY,1701 38th Street So Suite 101,FARGO,ND,58103.0,621610.0,4/6/2020
375245,$2-5 million,"HOUSTON ENGINEERING, INC.",1401 21ST AVE N.,FARGO,ND,58102.0,541330.0,4/28/2020
375246,$2-5 million,"INDUSTRIAL BUILDERS, INC.",1307 County Rd 17 N.,FARGO,ND,58104.0,237990.0,4/5/2020
375247,$2-5 million,JOHNSON & LAFFEN,124 North 3rd Street,GRAND FORKS,ND,58203.0,541310.0,4/6/2020
375248,$2-5 million,"KILLDEER MOUNTAIN MANUFACTURING, INC.",233 RODEO DR P.O. Box 450,KILLDEER,ND,58640.0,334418.0,4/13/2020
375249,$2-5 million,LAHAISE MANAGEMENT LLC,1705 19TH AVE N STE 210,FARGO,ND,58102.0,722511.0,4/5/2020
375250,$2-5 million,LOCHEND ENERGY SERVICES INC.,14472 Commerce Park Blvd,WILLISTON,ND,58801.0,333132.0,4/10/2020
375251,$2-5 million,LUTHERAN CHARITY ASSOCIATION,2422  20TH ST,JAMESTOWN,ND,58401.0,622110.0,4/13/2020
375252,$2-5 million,LUTHERAN SOCIAL SERVICES OF NORTH DAKOTA,3911 20th Ave. S.,FARGO,ND,58104.0,624190.0,4/7/2020
375253,$2-5 million,MAGNUM ELECTRIC INC,471 Christianson Dr,WEST FARGO,ND,58078.0,238210.0,4/3/2020
375254,$2-5 million,MARTIN CONSTRUCTION INC,3685 116th Ave SW,DICKINSON,ND,58601.0,237310.0,4/3/2020
375255,$2-5 million,"MCKENZIE COUNTY HEALTHCARE SYSTEMS, INC.",709 4TH AVE NE,WATFORD CITY,ND,58854.0,531110.0,4/4/2020
375256,$2-5 million,MINOT VOCATIONAL ADJUSTMENT WO,605 27TH ST SE,MINOT,ND,58701.0,623210.0,4/10/2020
375257,$2-5 million,MISSOURI SLOPE LUTHERAN CARE CENTER INC,2425 Hillview Avenue,BISMARCK,ND,58501.0,623110.0,4/15/2020
375258,$2-5 million,"MOORE ENGINEERING, INC.",925 10TH AVE,WEST FARGO,ND,58078.0,541330.0,4/5/2020
375259,$2-5 million,"ND ENERGY SERVICES MANAGEMENT, INC.",103 5th Street SE,DICKINSON,ND,58601.0,213112.0,4/4/2020
375260,$2-5 million,NORTH DAKOTA GUARANTY & TITLE COMPANY,314 THAYER AVE,BISMARCK,ND,58501.0,541191.0,4/3/2020
375261,$2-5 million,NORTHWEST CONTRACTING INC.,2840 Valley Forge St,BISMARCK,ND,58503.0,236210.0,4/4/2020
375262,$2-5 million,NORTHWEST TIRE INC,1615 Bismarck Expy,BISMARCK,ND,58506.0,441320.0,4/5/2020
375263,$2-5 million,"NORWOOD SALES, INC",11202 38th St S,HORACE,ND,58047.0,333111.0,4/3/2020
375264,$2-5 million,"OK TIRE STORE, INC.",2224 MAIN AVE,FARGO,ND,58103.0,441320.0,4/5/2020
375265,$2-5 million,"PETROLEUM EXPERIENCE, INC.",1003 24TH ST W,WILLISTON,ND,58801.0,213112.0,4/10/2020
375266,$2-5 million,"PLAINS AG, LLC",3484 I-94 Business Loop East,DICKINSON,ND,58601.0,423820.0,4/3/2020
375267,$2-5 million,PRAIRIE KNIGHTS CASINO,7932 HIGHWAY 24,FORT YATES,ND,58538.0,721120.0,4/27/2020
375268,$2-5 million,"PRIDE, INC.",1200 MISSOURI AVE,BISMARCK,ND,58504.0,624310.0,5/3/2020
375269,$2-5 million,RDO TRUCK CENTER,3401 38th St S,FARGO,ND,58104.0,532120.0,4/9/2020
375270,$2-5 million,"RED RIVER COMMODITIES, INC.",501 42nd Street North,FARGO,ND,58102.0,311224.0,4/27/2020
375271,$2-5 million,RED RIVER HUMAN SERVICES FOUNDATION,2506  35TH AVE S Suite A,FARGO,ND,58104.0,624190.0,4/11/2020
375272,$2-5 million,RED RIVER VALLEY & WESTERN RAILROAD COMPANY,209 DAKOTA AVE,WAHPETON,ND,58075.0,482111.0,4/6/2020
375273,$2-5 million,RESERVATION TELEPHONE COOPERATIVE,24 N MAIN ST PO BOX 68,PARSHALL,ND,58770.0,517311.0,4/4/2020
375274,$2-5 million,"ROMMESMO COMPANIES, INC.",702  13TH AVE,WEST FARGO,ND,58078.0,551112.0,4/3/2020
375275,$2-5 million,"RYDELL AUTO CENTER, INC.",2700 South Washington Street,GRAND FORKS,ND,58201.0,441110.0,4/9/2020
375276,$2-5 million,SFH INC.,3802 20TH ST N,FARGO,ND,58102.0,441228.0,4/3/2020
375277,$2-5 million,SKY DANCER RESORT AND CASINO,3965 Sky Dancer Way NE,BELCOURT,ND,58316.0,721120.0,4/13/2020
375278,$2-5 million,"SM FENCING & ENERGY SERVICES, INC.",11074 32E ST SW,DICKINSON,ND,58601.0,213112.0,4/15/2020
375279,$2-5 million,SPIRIT LAKE TRIBE,7889 HIGHWAY 57 S,SAINT MICHAEL,ND,58370.0,921150.0,4/8/2020
375280,$2-5 million,"TFC, INC.",301 38TH ST,FARGO,ND,58103.0,441120.0,4/5/2020
375281,$2-5 million,THE VILLAGE FAMILY SERVICE CENTER,1201 25th Street South,FARGO,ND,58103.0,624190.0,4/10/2020
375282,$2-5 million,TMI CORPORATION,50 S  3RD AVE W,DICKINSON,ND,58601.0,337212.0,4/3/2020
375283,$2-5 million,TRIANGLE ELECTRIC INC,2644 1ST AVE E,WILLISTON,ND,58801.0,238210.0,4/6/2020
375284,$2-5 million,TRUE NORTH EQUIPMENT CO.,4325 18th South,GRAND FORKS,ND,58201.0,423820.0,4/5/2020
375285,$2-5 million,TURTLE MOUNTAIN COMMUNITY COLLEGE,PO BOX 340,BELCOURT,ND,58316.0,611210.0,4/29/2020
375286,$2-5 million,UNITED QUALITY COOPERATIVE,99 coop st,NEW TOWN,ND,58763.0,493130.0,4/4/2020
375287,$2-5 million,UNIVERSITY OF JAMESTOWN,6088 COLLEGE LN,JAMESTOWN,ND,58405.0,611310.0,4/7/2020
375288,$2-5 million,"WCCO BELTING, INC.",1998 N 9th St,WAHPETON,ND,58075.0,326220.0,4/8/2020
375289,$2-5 million,WEISGRAM METAL FAB INC.,822 5th St NE,WEST FARGO,ND,58078.0,332999.0,4/3/2020
375290,$2-5 million,WEST RIVER REGIONAL MEDICAL CENTER,1000 HIGHWAY 12,HETTINGER,ND,58639.0,622110.0,4/5/2020
375291,$2-5 million,WESTLIE MOTOR COMPANY,500 South Broadway,MINOT,ND,58701.0,441110.0,4/4/2020
375292,$2-5 million,YMCA OF CASS AND CLAY COUNTIES,400 1ST AVE,FARGO,ND,58103.0,713940.0,4/8/2020
375293,$1-2 million,3803 HOSPITALITY LLC,3803 13TH AVE S,FARGO,ND,58103.0,721110.0,4/3/2020
375294,$1-2 million,ABLE INCORPORATED,1951 1st ST W,DICKINSON,ND,58601.0,623220.0,4/28/2020
375295,$1-2 million,"ADVANCED BUSINESS METHODS, INC.",1515 13th Ave East,WEST FARGO,ND,58078.0,423420.0,4/13/2020
375296,$1-2 million,"AGRI INDUSTRIES, INC",3105 2nd St W,WILLISTON,ND,58801.0,237110.0,4/9/2020
375297,$1-2 million,AGRI-COVER INCORPORATED,3000 HIGHWAY 281 SE,JAMESTOWN,ND,58401.0,811310.0,4/8/2020
375298,$1-2 million,"ALTENDORF TRUCKING, INC.",105 7th Street,MINTO,ND,58261.0,484122.0,4/6/2020
375299,$1-2 million,AMERICAN SPORTS OUTFITTERS LLC,2249 Main Ave E,WEST FARGO,ND,58078.0,441210.0,4/3/2020
375300,$1-2 million,"ANCHOR INGREDIENTS CO., LLC",4876 Rocking Horse Circle,FARGO,ND,58104.0,311111.0,4/7/2020
375301,$1-2 million,APEX ENGINEERING GROUP INC,4733 AMBER VALLEY PARKWAY,FARGO,ND,58104.0,541330.0,4/6/2020
375302,$1-2 million,APPLIED ENGINEERING INCORPORATED,3300 Fiechtner Dr S,FARGO,ND,58104.0,541330.0,4/5/2020
375303,$1-2 million,ASHLEY MEDICAL CENTER,612 Center Ave N,ASHLEY,ND,58413.0,622110.0,4/5/2020
375304,$1-2 million,"BARANKO BROTHERS, INC.",3048 Hwy 22 N,DICKINSON,ND,58601.0,237310.0,4/3/2020
375305,$1-2 million,"BASIN CONCRETE, INC.",9 32ND AVE SW,WILLISTON,ND,58802.0,484110.0,4/6/2020
375306,$1-2 million,"BERGSTROM AUTOMOTIVE MANAGEMENT, INC",123 5th St NE,DEVILS LAKE,ND,58301.0,441110.0,4/3/2020
375307,$1-2 million,BERGSTROM ELECTRIC INC,3100 N Washington st,GRAND FORKS,ND,58203.0,238210.0,4/12/2020
375308,$1-2 million,BETHEL LUTHERAN NURSING & REHABILITATION CENTER,1515 2ND AVE W,WILLISTON,ND,58801.0,623110.0,5/14/2020
375309,$1-2 million,BEULAH COMMUNITY NURSING HOME,118 22ND ST NE,BEULAH,ND,58523.0,623110.0,4/7/2020
375310,$1-2 million,BISMARCK MOTOR COMPANY,1100 57th Ave. NE,BISMARCK,ND,58503.0,441110.0,4/7/2020
375311,$1-2 million,"BOB'S OILFIELD SERVICE, INC.",HIGHWAY 85,BELFIELD,ND,58622.0,213112.0,4/6/2020
375312,$1-2 million,"BORSHEIM CRANE SERVICE, LLC",8 48th Ave West,WILLISTON,ND,58801.0,237990.0,4/4/2020
375313,$1-2 million,BRAUN TRUCKING,115 BENSON ST NW,TIOGA,ND,58852.0,484220.0,4/3/2020
375314,$1-2 million,"BUILDING SYSTEMS HOLDINGS, INC.","2201 12th Street N, Suite E",FARGO,ND,58102.0,541330.0,4/11/2020
375315,$1-2 million,"C&D OILFIELD SERVICES, INC.",4673 HIGHWAY 85,BELFIELD,ND,58622.0,213112.0,4/4/2020
375316,$1-2 million,"CAPEX OILFIELD SERVICES, INC",8509 OIL AVE,WILLISTON,ND,58801.0,213112.0,4/15/2020
375317,$1-2 million,"CC MOTOR SALES, LLC",3202 36th Street South,FARGO,ND,58104.0,441110.0,4/11/2020
375318,$1-2 million,CC MOTORS LLC,3302 36th Street SW,FARGO,ND,58104.0,441110.0,4/11/2020
375319,$1-2 million,CENTRAL DAKOTA FRONTIER COOPERATIVE,94 Broadway PO BOX 300,NAPOLEON,ND,58561.0,115116.0,4/9/2020
375320,$1-2 million,CHRISTIAN UNITY HOSPITAL CORPORATION,164 W 13th Street,GRAFTON,ND,58237.0,622110.0,4/8/2020
375321,$1-2 million,CMTM HOLDINGS INC.,10 South Broadway,MINOT,ND,58701.0,442110.0,4/4/2020
375322,$1-2 million,COAL COUNTRY COMMUNITY HEALTH CENTER,1312 HIGHWAY 49 N,BEULAH,ND,58523.0,621111.0,4/7/2020
375323,$1-2 million,COLE PAPERS,1300 38th St N,FARGO,ND,58102.0,424130.0,4/10/2020
375324,$1-2 million,"COMMUNITY EXTENDED NUCLEAR TRANSITIONAL RESIDENCE FOR EX-OFFENDERS, INC.",3501 WESTRAC DR S,FARGO,ND,58103.0,541990.0,4/9/2020
375325,$1-2 million,"COMSTOCK CONSTRUCTION, INC.",280 S 11th ST,WAHPETON,ND,58075.0,236210.0,4/8/2020
375326,$1-2 million,"CONSTRUCTION ENGINEERS, INC",200 N 69th St,GRAND FORKS,ND,58203.0,237990.0,4/5/2020
375327,$1-2 million,CORWIN BROTHERS LLC,217 38th ST S,FARGO,ND,58103.0,441120.0,4/6/2020
375328,$1-2 million,CRAFT ELECTRIC INC,2808 S MAIN ST,MINOT,ND,58701.0,238210.0,4/3/2020
375329,$1-2 million,DAKOTA BOYS AND GIRLS RANCH FOUNDATION,6301 19th Avenue NW,MINOT,ND,58702.0,813319.0,4/13/2020
375330,$1-2 million,DAKOTA EYE INSTITUTE P.C.,200 5TH ST,BISMARCK,ND,58504.0,621111.0,4/3/2020
375331,$1-2 million,"DAKOTA SPECIALTY MILLING, INC.",4014 15TH AVE,FARGO,ND,58102.0,311211.0,4/15/2020
375332,$1-2 million,"DAKOTA, MISSOURI VALLEY AND WESTERN RAILROAD, INC.",3501 East Rosser Ave,BISMARCK,ND,58501.0,482112.0,4/4/2020
