,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,DateApproved
377369,$5-10 million,"21ST CENTURY EQUIPMENT, LLC",601   5TH AVE,SCOTTSBLUFF,NE,69361.0,811310.0,4/3/2020
377370,$5-10 million,ALL NATIVE MANAGED SERVICES COMPANY,1 Mission Drive,WINNEBAGO,NE,68071.0,541611.0,4/13/2020
377371,$5-10 million,"ATLASMEDSTAFF, LLC",11159 Mill Valley Road,OMAHA,NE,68154.0,561320.0,4/27/2020
377372,$5-10 million,AURORA COOPERATIVE ELEVATOR COMPANY,2225 Q ST,AURORA,NE,68818.0,325193.0,4/27/2020
377373,$5-10 million,BUILDERTREND SOLUTIONS INC.,11818 I St,OMAHA,NE,68137.0,511210.0,4/6/2020
377374,$5-10 million,"BUSCO, INC.",4220 S 52nd Street,OMAHA,NE,68117.0,485510.0,4/28/2020
377375,$5-10 million,BWS LEASING INC,1801 S 54TH ST,OMAHA,NE,68106.0,561330.0,4/27/2020
377376,$5-10 million,"CHEYENNE COUNTY HOSPITAL ASSOCIATION, INC",1000 Pole Creek Crossing,SIDNEY,NE,69162.0,622110.0,4/4/2020
377377,$5-10 million,"COOPERATIVE PRODUCERS, INC.",265 N Showboat,HASTINGS,NE,68901.0,424910.0,4/13/2020
377378,$5-10 million,"DATA SYSTEMS, INC.",6515 S 118TH ST,OMAHA,NE,68137.0,423430.0,4/9/2020
377379,$5-10 million,"DRM, INC.",5324 N 134th Ave,OMAHA,NE,68164.0,722513.0,4/4/2020
377380,$5-10 million,E&N INC,1408 VETERANS DR Suite 202,ELKHORN,NE,68022.0,722513.0,4/10/2020
377381,$5-10 million,FBG SERVICE CORPORATOIN,407 S 27th Ave,OMAHA,NE,68127.0,561720.0,4/28/2020
377382,$5-10 million,FLAGSHIP RESTAURANT GROUP LLC,14450 Eagle Run Drive Suite 100,OMAHA,NE,68116.0,722511.0,4/3/2020
377383,$5-10 million,"FREMONT CONTRACT CARRIERS, INC.",865 S BUD BLVD,FREMONT,NE,68025.0,484121.0,4/3/2020
377384,$5-10 million,"FUSION HOLDINGS, INC.","11808 Grant St, Suite 100",OMAHA,NE,68164.0,561320.0,4/27/2020
377385,$5-10 million,HCI MANAGEMENT SERVICES COMPANY,1 Mission Drive,WINNEBAGO,NE,68071.0,541611.0,4/13/2020
377386,$5-10 million,HERITAGE HOLDINGS L.P.,16934 Frances St #200,OMAHA,NE,68130.0,623311.0,4/10/2020
377387,$5-10 million,"JET LINX AVIATION, LLC",13030 Pierce Street Suite 100,OMAHA,NE,68144.0,481211.0,4/7/2020
377388,$5-10 million,"KEARNEY REGIONAL MEDICAL CENTER, LLC",804 22ND AVE,KEARNEY,NE,68845.0,622110.0,4/13/2020
377389,$5-10 million,"LANDMARK IMPLEMENT, INC",915 BREWSTER RD,HOLDREGE,NE,68949.0,423820.0,4/8/2020
377390,$5-10 million,LUTZ & COMPANY PC,13616 California St STE 300,OMAHA,NE,68154.0,541211.0,4/9/2020
377391,$5-10 million,MAINELLI MECHANICAL CONTRACTORS INC.,8701 N 29th St,OMAHA,NE,68112.0,238220.0,4/9/2020
377392,$5-10 million,NEBRASKA ORTHOPAEDIC HOSPITAL LLC,2808 S 143rd Plaza,OMAHA,NE,68144.0,622310.0,4/8/2020
377393,$5-10 million,"ONESTAFF MEDICAL, LLC",11718 NICHOLAS ST STE 101,OMAHA,NE,68154.0,621399.0,4/14/2020
377394,$5-10 million,"ONEWORLD COMMUNITY HEALTH CENTERS, INC",4920 S. 30th Street,OMAHA,NE,68107.0,621498.0,4/7/2020
377395,$5-10 million,"PRIME TIME HEALTH CARE, LLC",15380 WEIR ST,OMAHA,NE,68137.0,561311.0,4/14/2020
377396,$5-10 million,REGIONAL WEST PHYSICIANS CLINIC,"2 West 42nd Street, Suite 2600",SCOTTSBLUFF,NE,69361.0,621111.0,4/10/2020
377397,$5-10 million,"REHAB VISIONS, INC",11623 Arbor Street,OMAHA,NE,68144.0,621340.0,4/27/2020
377398,$5-10 million,"ROTELLA'S ITALIAN BAKERY, INC.",6949 S 108th,LA VISTA,NE,68128.0,311812.0,4/4/2020
377399,$5-10 million,"SAMPSON CONSTRUCTION CO., INC.",5825 S 14th St,LINCOLN,NE,68512.0,236220.0,4/3/2020
377400,$5-10 million,"SOJERN, INC.",18135 BURKE ST SUITE 300,ELKHORN,NE,68022.0,541613.0,4/10/2020
377401,$5-10 million,"SPREETAIL, LLC",2021Transformation Dr 0.0,LINCOLN,NE,68521.0,454110.0,4/9/2020
377402,$5-10 million,STANDARD NUTRITION COMPANY,"11823 Arbor Street, Suite 100 PO BOX 3844",OMAHA,NE,68103.0,311119.0,4/5/2020
377403,$5-10 million,THE JAMES SKINNER CO.,4651 F ST,OMAHA,NE,68117.0,311813.0,5/30/2020
377404,$5-10 million,TSL COMPANY HOLDINS LTD,10001 S 152nd,OMAHA,NE,68138.0,484121.0,4/10/2020
377405,$2-5 million,"A.A.I., INC.",3201 YANKEE HILL RD,LINCOLN,NE,68516.0,441110.0,4/3/2020
377406,$2-5 million,ADAMS LAND & CATTLE LLC,327 South 1st Ave,BROKEN BOW,NE,68822.0,112112.0,4/11/2020
377407,$2-5 million,"AG VALLEY COOPERATIVE, NON-STOCK",72133 North Highway 136 PO Box 68,EDISON,NE,68936.0,424910.0,4/12/2020
377408,$2-5 million,ALLIED OIL AND TIRE COMPANY,2209 S 24TH ST,OMAHA,NE,68108.0,424720.0,4/6/2020
377409,$2-5 million,"ALN MEDICAL MANAGEMENT, LLC",3401 Village Drive Suite 200,LINCOLN,NE,68516.0,541219.0,4/5/2020
377410,$2-5 million,"ALVINE AND ASSOCIATES, INC.",1201 Cass St,OMAHA,NE,68102.0,541330.0,4/7/2020
377411,$2-5 million,"ASSOCIATED ANESTHESIOLOGISTS, P.C.","2900 South 70th Street, Suite 450",LINCOLN,NE,68506.0,551112.0,4/4/2020
377412,$2-5 million,"ASSOCIATED STAFFING, INC",820 N WEBB RD,GRAND ISLAND,NE,68803.0,561311.0,4/6/2020
377413,$2-5 million,"AYARS & AYARS, INC.",2436 N 48th Street,LINCOLN,NE,68504.0,236220.0,4/3/2020
377414,$2-5 million,"BADLANDS TANK LINE, TEXAS, LLC",2211 South 156th Circle Suite 2B,OMAHA,NE,68130.0,484121.0,4/28/2020
377415,$2-5 million,BAIRD HOLM LLP,1700 FARNAM ST STE 1500,OMAHA,NE,68102.0,541110.0,4/14/2020
