,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,DateApproved
381548,$5-10 million,AIR GENERAL INC,403 The Hill,PORTSMOUTH,NH,3801.0,481112.0,5/3/2020
381549,$5-10 million,ANDROSCOGGIN VALLEY HOSPITAL INC.,59 PAGE HILL ROAD,BERLIN,NH,3570.0,622110.0,4/28/2020
381550,$5-10 million,"CONCORD REGIONAL VISITING NURSE ASSOCIATION, INC.",30 Pillsbury Street,CONCORD,NH,3301.0,621610.0,4/7/2020
381551,$5-10 million,"EASTERN PROPANE GAS, INC.",28 industrial way,ROCHESTER,NH,3867.0,447110.0,4/11/2020
381552,$5-10 million,HUGGINS HOSPITAL,240 South Main St.,WOLFEBORO,NH,3884.0,622110.0,4/28/2020
381553,$5-10 million,MENTAL HEALTH CENTER GREATER MANCHESTER,"401 CYPRESS STREET 2 WALL STREET, SUITE 300",MANCHESTER,NH,3103.0,621420.0,4/11/2020
381554,$5-10 million,"MICRODESK, INC",10 Tara Blvd,NASHUA,NH,3062.0,541512.0,4/6/2020
381555,$5-10 million,"NAPOLI PSC SERIES, LLC",5 OVERLOOK DR,AMHERST,NH,3031.0,722513.0,4/6/2020
381556,$5-10 million,"NEW ENGLAND FINISH SYSTEMS, LLC",1 DELAWARE DR,SALEM,NH,3079.0,238310.0,4/10/2020
381557,$5-10 million,"PLANESENSE, INC.",115 Flightline Road,PORTSMOUTH,NH,3801.0,481219.0,4/8/2020
381558,$5-10 million,"RIVERBEND COMMUNITY MENTAL HEALTH, INC.",278 PLEASANT ST,CONCORD,NH,3302.0,621420.0,4/12/2020
381559,$5-10 million,"SELECT DEMO SERVICES, LLC",40 Lowell Road,SALEM,NH,3079.0,238910.0,4/10/2020
381560,$5-10 million,SPEARE MEMORIAL HOSPITAL,16 HOSPITAL RD,PLYMOUTH,NH,3264.0,622110.0,4/9/2020
381561,$5-10 million,"THE GRANITE GROUP WHOLESALERS, LLC",6 STORRS ST,CONCORD,NH,3301.0,423620.0,4/8/2020
381562,$2-5 million,"2 PERCENT HOSPITALITY, LLC",379 MAIN ST,JAFFREY,NH,3452.0,721191.0,4/30/2020
381563,$2-5 million,ADVANCED POWER AND CONTROL LLC,5 Eastpoint Drive 3,HOOKSETT,NH,3032.0,238220.0,4/27/2020
381564,$2-5 million,AIRMAR TECHNOLOGY CORP.,35 MEADOWBROOK DR,MILFORD,NH,3055.0,334419.0,4/10/2020
381565,$2-5 million,"ALENE CANDLES, LLC",51 SCARBOROUGH LANE,MILFORD,NH,3055.0,339999.0,4/10/2020
381566,$2-5 million,"AMP UNITED, LLC",50 Sheffield Dr Ste 104,DOVER,NH,3820.0,336611.0,4/6/2020
381567,$2-5 million,AREA AGENCY OF GREATER NASHUA INC,144 Canal Street,NASHUA,NH,3064.0,624120.0,4/29/2020
381568,$2-5 million,ATHENIUM LLC,1 WASHINGTON ST,DOVER,NH,3820.0,511210.0,4/27/2020
381569,$2-5 million,"AUTOFAIR 1477, LP",200 KELLER ST,MANCHESTER,NH,3103.0,441110.0,4/3/2020
381570,$2-5 million,AUTOMOTIVE SUPPLY ASSOCIATES INC,129 Manchester St,CONCORD,NH,3301.0,423120.0,5/3/2020
381571,$2-5 million,"BANKS CHEVROLET-CADILLAC, LLC",137 Manchester Street,CONCORD,NH,3301.0,441110.0,4/3/2020
381572,$2-5 million,"BEHAVIORAL HEALTH & DEVELOPMENTAL SERVICES OF STRAFFORD COUNTY, INC. UNDO",1113 crosby road,DOVER,NH,3820.0,621420.0,4/10/2020
381573,$2-5 million,"BELLETETE'S, INC.",51 PETERBOROUGH ST,JAFFREY,NH,3452.0,441310.0,4/11/2020
381574,$2-5 million,"BID2WIN SOFTWARE, INC.",99 BOW ST Ste 500,PORTSMOUTH,NH,3801.0,541511.0,4/6/2020
381575,$2-5 million,"C SQUARED SYSTEMS, LLC",65 Dartmouth Drive,AUBURN,NH,3032.0,541512.0,4/11/2020
381576,$2-5 million,CANOBIE LAKE PARK CORPORATION,85 NORTH POLICY ST,SALEM,NH,3079.0,713110.0,4/6/2020
381577,$2-5 million,"CHARLES GEORGE COMPANIES, INC.",209 Nashua Road,LONDONDERRY,NH,3053.0,562920.0,4/11/2020
381578,$2-5 million,CIRTRONICS CORPORATION,528 ROUTE 13 S,MILFORD,NH,3055.0,334412.0,4/6/2020
381579,$2-5 million,"CLEARCHOICEMD MSO, PLLC",74 Pleasant St Suite 204,NEW LONDON,NH,3257.0,621493.0,4/6/2020
381580,$2-5 million,COASTAL SPECIALTY FOREST PRODUCTS INC.,660 River Rd,BOW,NH,3304.0,423310.0,4/8/2020
381581,$2-5 million,COLBY-SAWYER COLLEGE,541 MAIN ST,NEW LONDON,NH,3257.0,611310.0,4/6/2020
381582,$2-5 million,COLONIAL IMPORTS CORP,10 MARMON DR,NASHUA,NH,3060.0,441110.0,4/10/2020
381583,$2-5 million,COMMUNITY BRIDGES INC,70 PEMBROKE RD,CONCORD,NH,3301.0,624120.0,4/27/2020
