,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,DateApproved
384989,$5-10 million,A-V SERVICES INC,99 Fairfield Road,FAIRFILED,NJ,7004.0,541512.0,4/15/2020
384990,$5-10 million,A. P. CONSTRUCTION INC.,915 S. Black Horse Pike,BLACKWOOD,NJ,8012.0,237310.0,4/14/2020
384991,$5-10 million,"ABOVE AND BEYOND - BUSINESS TOOLS AND SERVICES FOR ENTREPRENEURS, INC.",902 CARNEGIE CTR Suite 160,PRINCETON,NJ,8540.0,522320.0,4/9/2020
384992,$5-10 million,ACCU REFERENCE MEDICAL LAB LIMITED LIABILITY COMPANY,1901 E Linden Ave,LINDEN,NJ,7036.0,621511.0,4/27/2020
384993,$5-10 million,"ACENDA, INC.",42 SOUTH DELSEA DRIVE,GLASSBORO,NJ,8028.0,624110.0,4/14/2020
384994,$5-10 million,AERDUX INC,240 BENIGNO BLVD,BELLMAWR,NJ,8031.0,238390.0,4/13/2020
384995,$5-10 million,"AIR GROUP, LLC",1 PRINCE RD,WHIPPANY,NJ,7981.0,238220.0,4/12/2020
384996,$5-10 million,"AJS ACQUISITIONS, LLC",67A Mountain Boulevard Extension,WARREN,NJ,7059.0,523910.0,4/14/2020
384997,$5-10 million,"ALBIREO ENERGY, LLC",3 Ethel Road 0.0,EDISON,NJ,8817.0,238290.0,4/14/2020
384998,$5-10 million,ALLAN BRITEWAY ELECTRICAL UTILITY CONTRACTORS INC,130 ALGONQUIN PKWY,WHIPPANY,NJ,7981.0,238210.0,4/15/2020
384999,$5-10 million,"ALLAN INDUSTRIES, INC.",270 US Highway 46,ROCKAWAY,NJ,7866.0,561720.0,4/13/2020
385000,$5-10 million,ALLIANCE SHIPPERS INC,516 SYLVAN AVE,ENGLEWOOD CLIFFS,NJ,7632.0,488510.0,4/13/2020
385001,$5-10 million,"ALLSTATE SALES GROUP, INC.",670 North Beers Street,HOLMDEL,NJ,7733.0,238210.0,4/13/2020
