,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,DateApproved
406847,$5-10 million,ARTESIA GENERAL HOSPTIAL,702 N 13th,ARTESIA,NM,88210.0,622110.0,4/11/2020
406848,$5-10 million,"B&D INDUSTRIES, INC.",9720 Bell Ave SE,ALBUQUERQUE,NM,87123.0,238210.0,4/28/2020
406849,$5-10 million,"BAM! PIZZA MANAGEMENT, INC.",1114 SOUTH UNION AVE,ROSWELL,NM,88203.0,722511.0,4/14/2020
406850,$5-10 million,BEN ARCHER HEALTH CENTER,1600 THORPE RD,LAS CRUCES,NM,88012.0,621111.0,4/10/2020
406851,$5-10 million,CHASE ENERGY SERVICES LLC,PO BOX 1832,ARTESIA,NM,88211.0,213112.0,4/9/2020
406852,$5-10 million,"DREAMSTYLE REMODELING, INC.",1460 N RENAISSANCE BLVD NE,ALBUQUERQUE,NM,87107.0,236118.0,4/8/2020
406853,$5-10 million,DUGAN PRODUCTION CORPORATION,709 E MURRAY DRIVE,FARMINGTON,NM,87401.0,211111.0,5/3/2020
406854,$5-10 million,GILA REGIONAL MEDICAL CENTER,1313 East 32nd Street,SILVER CITY,NM,88061.0,622110.0,4/10/2020
406855,$5-10 million,"LA CLINICA DE FAMILIA, INC",385 CALLE DE ALEGRA,LAS CRUCES,NM,88005.0,621111.0,5/21/2020
406856,$5-10 million,LOVELACE RESPIRATORY RESEARCH INSTITUTE,2425 Ridgecrest Dr SE,ALBUQUERQUE,NM,87108.0,541714.0,5/2/2020
406857,$5-10 million,"MEOW WOLF, INC.",1352 Rufina Circle 0.0,SANTA FE,NM,87507.0,713990.0,4/11/2020
406858,$5-10 million,NOR-LEA HOSPITAL DISTRICT,1600 N MAIN AVE,LOVINGTON,NM,88260.0,622110.0,4/28/2020
406859,$5-10 million,"PROCESS EQUIPMENT & SERVICE COMPANY, INC.",5680 US 64,FARMINGTON,NM,87401.0,333132.0,4/7/2020
406860,$5-10 million,RMCHCS INC,1901 Red Rock Dr,GALLUP,NM,87301.0,622110.0,4/15/2020
406861,$5-10 million,SANDIA CASINO,30 RAINBOW RD NE,ALBUQUERQUE,NM,87113.0,713210.0,4/29/2020
406862,$5-10 million,"TLC COMPANY, INC.","5000 EDITH BLVD, NE",ALBUQUERQUE,NM,87107.0,531390.0,4/9/2020
406863,$5-10 million,"WEST STATES ENERGY CONTRACTORS, INC.",5001 Holmes Drive,FARMINGTON,NM,87402.0,213112.0,4/9/2020
406864,$2-5 million,A-TECH CORPORATION,1300 BRITT ST SE,ALBUQUERQUE,NM,87123.0,541715.0,4/11/2020
406865,$2-5 million,"A. R. FOREMAN CONSTRUCTION, LLC",1503 Commerce Dr,CARLSBAD,NM,88220.0,213112.0,4/6/2020
406866,$2-5 million,ACOMA BUSINESS ENTERPRISES,7 SKY CITY DRIVE,PUEBLO OF ACOMA,NM,87034.0,551112.0,5/3/2020
406867,$2-5 million,"ADVANCED NETWORK MANAGEMENT, INC.",4001 JEFFERSON PLZ,ALBUQUERQUE,NM,87109.0,541512.0,4/8/2020
406868,$2-5 million,"ALBUQUERQUE ACADEMY, INC.",6400 WYOMING BLVD NE,ALBUQUERQUE,NM,87109.0,611110.0,4/10/2020
406869,$2-5 million,ARIES WELL SERVICE INC,PO BOX 784,HOBBS,NM,88241.0,213112.0,4/10/2020
406870,$2-5 million,"AUI, INC",7420 READING AVE SE,ALBUQUERQUE,NM,87105.0,237990.0,4/8/2020
406871,$2-5 million,"AZTEC WELL SERVICING, CO.",300 LEGION RD,AZTEC,NM,87410.0,213112.0,4/3/2020
406872,$2-5 million,"BRIDGES & PAXTON CONSULTING ENGINEERS, INC.",4600 Montgomery Blvd NE Ste C,ALBUQUERQUE,NM,87109.0,541330.0,4/7/2020
406873,$2-5 million,BROKEN ARROW COMMUNICATIONS INC,4455 ANAHEIM AVE NE,ALBUQUERQUE,NM,87113.0,237130.0,4/14/2020
406874,$2-5 million,"BUFFALO THUNDER, INC.",30 Buffalo Thunder Trail,SANTA FE,NM,87506.0,721120.0,4/28/2020
406875,$2-5 million,BUILDERS SOURCE APPLIANCE LIQU,308 MENAUL BLVD NE,ALBUQUERQUE,NM,87107.0,443141.0,4/6/2020
