,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,DateApproved
409849,$5-10 million,"ALLISON, CURTIS, KINGSLEY, MEOZ, MICHAEL, & SANCHEZ, PROF. CORP","400 N Stephanie St, Suite 300",HENDERSON,NV,89014.0,621498.0,4/15/2020
409850,$5-10 million,"CCLV LUXURY HOTEL HOLDING, LLC",3752 LAS VEGAS BLVD S,LAS VEGAS,NV,89158.0,721110.0,4/9/2020
409851,$5-10 million,"CONNOR GROUP, INC.","3700 Barron Way, Suite 2",RENO,NV,89511.0,541618.0,4/30/2020
409852,$5-10 million,DIVERSIFIED PROTECTION CORPORATION,"8020 South Rainbow Boulevard, Suite 100-530",LAS VEGAS,NV,89139.0,541990.0,4/29/2020
409853,$5-10 million,"GOLDEN GATE BELL, LLC",3225-A SOUTH RAINBOW RD SUITE 102,LAS VEGAS,NV,89146.0,722513.0,4/6/2020
409854,$5-10 million,MED- SMART INC.,3185 SAINT ROSE PKWY,HENDERSON,NV,89052.0,621399.0,4/13/2020
409855,$5-10 million,NEVADA RESTAURANT SERVICES,3645 LOSEE RAOD,NORTH LAS VEGAS,NV,89030.0,722410.0,5/8/2020
409856,$5-10 million,NEVADA SALES LIMITED,1621 East Sunset Road,LAS VEGAS,NV,89119.0,236220.0,4/30/2020
409857,$5-10 million,NG WASHINGTON II,2026 Montessouri St.,LAS VEGAS,NV,89147.0,713210.0,4/27/2020
409858,$5-10 million,OPPORTUNITY VILLAGE ASSOCIATION FOR RETARDED CITIZENS,6050 S. Buffalo Drive,LAS VEGAS,NV,89113.0,813212.0,4/14/2020
409859,$5-10 million,"PANORAMA MORTGAGE GROUP, LLC","350 S. RAMPART BLVD, STE 310",LAS VEGAS,NV,89145.0,522292.0,5/21/2020
409860,$5-10 million,PEREIRA & ASSOCIATES LLP,8942 SPANISH RIDGE AVE,LAS VEGAS,NV,89148.0,541110.0,4/27/2020
409861,$5-10 million,"PERI & SONS FARMS, INC.",102 McLeod Street,YERINGTON,NV,89447.0,111219.0,4/13/2020
409862,$5-10 million,Q&D CONSTRUCTION LLC,1050 South 21st St,SPARKS,NV,89431.0,236220.0,4/7/2020
409863,$5-10 million,"R&R PARTNERS, INC.",900 S. PAVILION CENTER DR Suite 100,LAS VEGAS,NV,89144.0,541810.0,4/27/2020
409864,$5-10 million,RBG LLC,950 MESQUITE ROAD,MESQUITE,NV,89027.0,721120.0,4/28/2020
409865,$5-10 million,"ROMAN CATHOLIC BISHOP OF LAS VEGAS AND HIS SUCCESSORS, A CORPORATION SOLE",336 Cathedral Way,LAS VEGAS,NV,89109.0,813110.0,4/14/2020
409866,$5-10 million,"SIERRA NEVADA CONSTRUCTION, INC.",2055 EAST GREG ST,SPARKS,NV,89431.0,236116.0,4/4/2020
409867,$5-10 million,SILVER STATE BELL LLC,3225A S Rainbow Blvd Ste 102,LAS VEGAS,NV,89146.0,999990.0,5/3/2020
409868,$5-10 million,"SWIFT COMMUNICATIONS, INC.",580 MALLORY WAY,CARSON CITY,NV,89701.0,519130.0,4/6/2020
409869,$5-10 million,"TERRIBLE HERBST, INC.",5195 LAS VEGAS BLVD.,SOUTH LAS VEGAS,NV,89119.0,447110.0,4/28/2020
409870,$5-10 million,THE NATHAN ADELSON HOSPICE,4141 University Center Drive,LAS VEGAS,NV,89119.0,623110.0,4/14/2020
409871,$5-10 million,WASHOE BARTON MEDICAL CLINIC,1107 US HIGHWAY 395,GARDNERVILLE,NV,89410.0,622110.0,4/14/2020
409872,$5-10 million,WBF MANAGEMENT LLC,1775 N Martin L King Blvd,LAS VEGAS,NV,89106.0,722513.0,4/29/2020
