,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,DateApproved
462279,$5-10 million,50 X 20 HOLDING COMPANY,2715 Wise Ave NW,CANTON,OH,44708.0,236115.0,4/10/2020
462280,$5-10 million,ADENA CORPORATION,1310 WEST 4TH ST,ONTARIO,OH,44906.0,236220.0,4/9/2020
462281,$5-10 million,"AG-PRO OHIO, LLC",1660 US HIGHWAY 42,LONDON,OH,43140.0,333111.0,4/9/2020
462282,$5-10 million,"ALFRED NICKLES BAKERY, INC.",26 Main Street N,NAVARRE,OH,44662.0,311811.0,4/11/2020
462283,$5-10 million,"ALLIANCE SOLUTIONS GROUP, LLC",6161 Oak Tree Blvd,INDEPENDENCE,OH,44131.0,484110.0,4/13/2020
462284,$5-10 million,ALLIED MACHINE & ENGINEERING CORP,120 Deeds Drive 0.0,DOVER,OH,44622.0,333515.0,4/10/2020
462285,$5-10 million,ALLIED MINERAL PRODUCTS HOLDING INC,2700 SCIOTO PKWY,COLUMBUS,OH,43221.0,327110.0,4/15/2020
462286,$5-10 million,"AMERATHON, LLC","671 Ohio Pike, Suite K",CINCINNATI,OH,45245.0,621511.0,4/27/2020
462287,$5-10 million,AMERICAN BREAD COMPANY LLC,8905 Lake Ave,CLEVELAND,OH,44102.0,722511.0,4/11/2020
462288,$5-10 million,"AMERICHEM, INC.",2000 Americhem Way,CUYAHOGA FALLS,OH,44221.0,325211.0,4/8/2020
462289,$5-10 million,"ANCHOR HOCKING, LLC","1600 DUBLIN RD East Building, Suite 200",COLUMBUS,OH,43215.0,327212.0,4/29/2020
462290,$5-10 million,ARC INDUSTRIES INC. OF FRANKLIN COUNTY OHIO,2780 Airport Drive Suite 450,COLUMBUS,OH,43219.0,624120.0,4/8/2020
462291,$5-10 million,"AREA ENERGY & ELECTRIC, INC.",2001 COMMERCE DR,SIDNEY,OH,45365.0,238210.0,4/30/2020
462292,$5-10 million,ATLAS INDUSTRIAL HOLDINGS LLC,5275 SINCLAIR RD,COLUMBUS,OH,43229.0,238990.0,4/6/2020
462293,$5-10 million,AVI FOODSYSTEMS INC.,2590 Elm Rd NE 0.0,WARREN,OH,44483.0,722310.0,4/15/2020
462294,$5-10 million,BEAR DIVERSIFIED INC,4580 East 71st Street 0.0,CUYAHOGA HEIGHTS,OH,44125.0,336370.0,4/8/2020
462295,$5-10 million,"BENESCH, FRIEDLANDER, COPLAN & ARONOFF LLP",200 PUBLIC SQUARE,CLEVELAND,OH,44114.0,541110.0,4/8/2020
462296,$5-10 million,BLUE CHIP 2000 COMMERCIAL CLEANING INC.,7250 Edington Drive,CINCINNATI,OH,45249.0,561720.0,4/3/2020
462297,$5-10 million,BREWSTER CHEESE COMPANY,800 Wabash Ave S,BREWSTER,OH,44613.0,311513.0,4/16/2020
462298,$5-10 million,BRUNER CORPORATION,3637 Lacon Road,HILLIARD,OH,43026.0,238910.0,4/9/2020
462299,$5-10 million,BUCA RESTAURANTS 2 INC,343 N FRONT ST,COLUMBUS,OH,43215.0,722511.0,4/14/2020
462300,$5-10 million,"BURGESS & NIPLE, LTD.",5085 REED RD,COLUMBUS,OH,43220.0,541330.0,4/8/2020
462301,$5-10 million,BUTECH BLISS,550 S. Ellsworth Ave.,SALEM,OH,44460.0,333519.0,4/11/2020
462302,$5-10 million,BWI NORTH AMERICA INC,3100 Research Blvd,KETTERING,OH,45420.0,336211.0,4/28/2020
462303,$5-10 million,CAD CPAPITAL LLC,3900 East Market St,WARREN,OH,44484.0,722513.0,4/8/2020
462304,$5-10 million,CADLE LLC,3900 East Market St,WARREN,OH,44484.0,722513.0,4/8/2020
462305,$5-10 million,"CALIMIRA, LLC",390 W. Nationwide Blvd.,COLUMBUS,OH,43215.0,722511.0,4/10/2020
462306,$5-10 million,"CAMERON MITCHELL RESTAURANTS, LLC",390 W. Nationwide Blvd,COLUMBUS,OH,43215.0,722511.0,4/10/2020
462307,$5-10 million,"CANDLE-LITE COMPANY, LLC",10521 MILLINGTON CT,BLUE ASH,OH,45242.0,339999.0,4/30/2020
462308,$5-10 million,"CAPITAL CITY GROUP, INC.",2299 Performance Way 0.0,COLUMBUS,OH,43207.0,532412.0,4/13/2020
462309,$5-10 million,"CARDINAL SERVICES, INC.",1688 Woodlands,MAUMEE,OH,43537.0,561311.0,4/11/2020
462310,$5-10 million,CCF OPCO LLC,5165 EMERALD PARKWAY SUITE 100,DUBLIN,OH,43017.0,,5/3/2020
462311,$5-10 million,"CCU COAL AND CONSTRUCTION, LLC",8341 Whisper Trace,DELAWARE,OH,43015.0,212111.0,4/8/2020
462312,$5-10 million,"CENTRAL OHIO PRIMARY CARE PHYSICIANS, INC.",655 Africa Road,WESTERVILLE,OH,43082.0,621111.0,4/15/2020
462313,$5-10 million,CHAMPLAIN ENTERPRISES LLC,24950 Country Club Blvd Ste 300,NORTH OLMSTED,OH,44070.0,481111.0,5/3/2020
462314,$5-10 million,"CINCINNATI, INC.",7420 Kilby Road,HARRISON,OH,45030.0,333249.0,4/8/2020
462315,$5-10 million,CLARK SCHAEFER HACKETT & CO,10100 INNOVATION DR STE 400,MIAMISBURG,OH,45342.0,541211.0,4/10/2020
462316,$5-10 million,"CNP EMP, LLC",4700 Ashwood Drive Suite 200,BLUE ASH,OH,45211.0,722310.0,4/27/2020
462317,$5-10 million,"COHEN & COMPANY, LTD.",1350 EUCLID AVE,CLEVELAND,OH,44115.0,541211.0,4/9/2020
462318,$5-10 million,"COHEN HOLDINGS, INC",1520 14th Ave 0.0,MIDDLETOWN,OH,45044.0,423930.0,4/9/2020
462319,$5-10 million,COMPLETE GENERAL CONSTRUCTION COMPANY,1221 E Fifth Avenue,COLUMBUS,OH,43219.0,237310.0,4/3/2020
462320,$5-10 million,COMPONENT REPAIR TECHNOLOGIES INC,8507 TYLER BLVD,MENTOR,OH,44060.0,488190.0,4/8/2020
462321,$5-10 million,"CONCEPT REHAB, INC.",7150 GRANITE CIR STE 200,TOLEDO,OH,43617.0,621340.0,4/13/2020
462322,$5-10 million,"CONRAD'S TIRE SERVICE, INC.",14577 Lorain Ave,CLEVELAND,OH,44111.0,811111.0,4/6/2020
462323,$5-10 million,CONSTANT AVIATION LLC,355 RICHMOND RD,CLEVELAND,OH,44143.0,336411.0,4/14/2020
462324,$5-10 million,"CONTINUING HEALTHCARE SOLUTIONS, INC.",7261 ENGLE RD Suite 200,MIDDLEBURG HEIGHTS,OH,44130.0,623110.0,4/14/2020
462325,$5-10 million,COVELLI FAMILY LIMITED PARTNERSHIP II,3900 East Market St,WARREN,OH,44484.0,722513.0,4/8/2020
462326,$5-10 million,CROWN BATTERY MANUFACTURING COMPANY,1445 MAJESTIC DR,FREMONT,OH,43420.0,335911.0,4/14/2020
462327,$5-10 million,"D.E. FOXX &#X26; ASSOCIATES, INC",324 W NINTH ST,CINCINNATI,OH,45202.0,,5/3/2020
462328,$5-10 million,DALCAN LLC,3900 East Market St,WARREN,OH,44484.0,722513.0,4/8/2020
462329,$5-10 million,DAN BOWERS,55 ROBERT WRIGHT DR,BROOKVILLE,OH,45309.0,336390.0,5/3/2020
462330,$5-10 million,"DAYTON PHYSICIANS, LLC","6680 POE AVE, Suite 200",DAYTON,OH,45414.0,621111.0,4/14/2020
462331,$5-10 million,DAYTON SUPERIOR CORPORATION,1125 Byers Rd,MIAMISBURG,OH,45342.0,333249.0,4/15/2020
462332,$5-10 million,"DAYTON-PHOENIX GROUP, INC.",250 Northwoods Blvd.,VANDALIA,OH,45377.0,336510.0,4/14/2020
462333,$5-10 million,DBM HOLDING COMPANY,1321 INDUSTRIAL PKWY Suite 500,BRUNSWICK,OH,44212.0,327332.0,4/10/2020
462334,$5-10 million,DECEUNINCK NORTH AMERICA LLC,351 N Garver Rd,MONROE,OH,45050.0,326121.0,4/29/2020
462335,$5-10 million,DOVE INVESTMENTS INC,2200 State Route 119,FORT RECOVERY,OH,45846.0,339999.0,4/6/2020
