,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,DateApproved
492015,$5-10 million,"ACME CONSTRUCTION SUPPLY CO., INC.",4040 DOUGLAS WAY,LAKE OSWEGO,OR,97035.0,423710.0,4/14/2020
492016,$5-10 million,"CHARTER MECHANICAL CONTRACTORS, INC.",7940 SW Hunziker Rd,PORTLAND,OR,97223.0,238220.0,4/27/2020
492017,$5-10 million,"CHRISTENSON ELECTRIC, INC.",17201 NE Sacramento St,PORTLAND,OR,97230.0,561499.0,4/15/2020
492018,$5-10 million,COLLINS PINE COMPANY,29100 SW Town Center Loop,WILSONVILLE,OR,97070.0,321113.0,6/22/2020
492019,$5-10 million,"COLUMBIA STEEL CASTING CO., INC.",10425 N Bloss Ave,PORTLAND,OR,97203.0,331210.0,4/11/2020
492020,$5-10 million,CONSOLIDATED SUPPLY CO.,7337 SW Kable Ln,PORTLAND,OR,97224.0,423710.0,4/11/2020
492021,$5-10 million,"DEACON CONSTRUCTION, LLC","901 NE Glisan Street, Suite 100",PORTLAND,OR,97232.0,236116.0,4/14/2020
492022,$5-10 million,"DESCHUTES BREWERY, INC",901 SW Simpson Ave,BEND,OR,97702.0,312120.0,4/9/2020
492023,$5-10 million,"DWFRITZ AUTOMATION, INC.",9600 SW Boeckman Road,WILSONVILLE,OR,97070.0,313310.0,4/13/2020
492024,$5-10 million,ERICKSON INCORPORATED,"5550 SW Macadam Ave, Suite 200",PORTLAND,OR,97239.0,336413.0,4/28/2020
492025,$5-10 million,FRERES LUMBER CO. INC.,141 14th St PO Box 276,LYONS,OR,97358.0,321212.0,4/27/2020
492026,$5-10 million,"FRI-M, LLC",9400 SW Gemini Drive,BEAVERTON,OR,97008.0,722511.0,4/9/2020
492027,$5-10 million,GALT FOUNDATION,"2405 Front Street NE, Suite 220",SALEM,OR,97301.0,813319.0,5/5/2020
492028,$5-10 million,GENERAL SHEET METAL,16345 SE Evelyn St,CLACKAMAS,OR,97015.0,238220.0,4/7/2020
492029,$5-10 million,HERBERT MALARKEY ROOFING COMPANY,3131 N Columbia Blvd,PORTLAND,OR,97217.0,324122.0,4/28/2020
492030,$5-10 million,INTERFACE ENGINEERING INC,100 SW MAIN ST Ste 1600,PORTLAND,OR,97204.0,541330.0,4/9/2020
492031,$5-10 million,K & E EXCAVATING INC,3871 Langley St SE,SALEM,OR,97317.0,212321.0,4/8/2020
492032,$5-10 million,LAKE HEALTH DISTRICT,700 South J Street,LAKEVIEW,OR,97630.0,622110.0,4/14/2020
492033,$5-10 million,"MCMENAMINS'S, INC.",430 N. KILLINGSWORTH ST,PORTLAND,OR,97217.0,722511.0,4/7/2020
492034,$5-10 million,MERCY CORPS,45 SW ANKENY ST,PORTLAND,OR,97204.0,813311.0,4/15/2020
492035,$5-10 million,METRO WEST AMBULANCE SERVICE INC.,5475 NE DAWSON CREEK DR,HILLSBORO,OR,97124.0,621910.0,4/10/2020
492036,$5-10 million,MLF GROUP LLC,86776 MCVAY HIGHWAY,EUGENE,OR,97405.0,492210.0,4/8/2020
492037,$5-10 million,MMNW HOLDING COMPANY,5611 NE COLUMBIA BLVD,PORTLAND,OR,97218.0,531120.0,4/5/2020
492038,$5-10 million,"MURRAYSMITH, INC.","888 SW 5th Avenue, Suite 1170 0.0",PORTLAND,OR,97204.0,541330.0,4/9/2020
492039,$5-10 million,"NORTH BEND MEDICAL CENTER, INC.",1900 Woodland Dr.,COOS BAY,OR,97420.0,621111.0,4/12/2020
492040,$5-10 million,OCHIN INC.,1881 SW Naito Parkway,PORTLAND,OR,97201.0,518210.0,4/16/2020
492041,$5-10 million,OREGON ANESTHESIOLOGY GROUP PC,707 SW Washington St #700,PORTLAND,OR,97205.0,621112.0,4/27/2020
492042,$5-10 million,OREGON SHAKESPEARE FESTIVAL ASSOCIATION,15 S. Pioneer Street,ASHLAND,OR,97520.0,711110.0,4/11/2020
492043,$5-10 million,"OSF INTERNATIONAL, INC.",0715 SW Bancroft Street,PORTLAND,OR,97239.0,722511.0,4/14/2020
492044,$5-10 million,"OTAK, INC.",808 SW 3RD AVE STE 800,PORTLAND,OR,97204.0,541310.0,4/27/2020
492045,$5-10 million,PACIFIC COAST FRUIT COMPANY,201 NE 2ND AVE,PORTLAND,OR,97232.0,445230.0,4/13/2020
492046,$5-10 million,PACIFIC OFFICE AUTOMATION INC.,14747 NW Greenbrier Pkwy,BEAVERTON,OR,97006.0,517911.0,4/16/2020
