,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,DateApproved
501239,$5-10 million,"1125 SIR FRANCIS DRAKE BOULEVARD OPERATING COMPANY, LLC",4600 LENA DR,MECHANICSBURG,PA,17055.0,622310.0,4/15/2020
501240,$5-10 million,"2ND AVE, LLC",4136 BLANCHE RD,BENSALEM,PA,19020.0,454110.0,4/11/2020
501241,$5-10 million,"A.T. CHADWICK CO., INC.",100 Dunksferry Road,BENSALEM,PA,19020.0,238220.0,4/15/2020
501242,$5-10 million,"ACCUWEATHER, INC.",385 Science Park Rd,STATE COLLEGE,PA,16803.0,541990.0,4/5/2020
501243,$5-10 million,ACUTEC PRECISION MACHINING INC,13555 BROADWAY,MEADVILLE,PA,16335.0,336412.0,4/12/2020
501244,$5-10 million,"ADVANCED CALL CENTER TECHNOLOGIES, LLC",1235  Westlakes Drive Suite 160,BERWYN,PA,19312.0,561421.0,4/15/2020
501245,$5-10 million,"ADVERTISING SPECIALTY INSTITUTE, INC",4800 Street Road,TREVOSE,PA,19053.0,323120.0,4/8/2020
501246,$5-10 million,AIRLINE HYDRAULICS CORPORATION,3557 Progress Drive,BENSALEM,PA,19020.0,333249.0,4/30/2020
501247,$5-10 million,ALEX E. PARIS CONTRACTING COMPANY INC.,1595 Smith Twp. State Road,ATLASBURG,PA,15004.0,213112.0,4/7/2020
501248,$5-10 million,ALLEGHENY COLLEGE,"520 N MAIN ST,# W",MEADVILLE,PA,16335.0,611310.0,4/14/2020
501249,$5-10 million,ALLIED RESOURCES GROUP LLC,135 DOWLIN FORGE RD,EXTON,PA,19341.0,561320.0,4/7/2020
501250,$5-10 million,ALVERNIA UNIVERSITY,400 Saint Bernardine Street,READING,PA,19607.0,923110.0,4/28/2020
501251,$5-10 million,"AMERICAN COLLEGE OF PHYSICIANS, INC",190 INDEPENDENCE MALL WEST,PHILADELPHIA,PA,19106.0,611430.0,4/10/2020
501252,$5-10 million,"AMERICAN REFINING GROUP, INC.",55 ALPHA DR WEST,PITTSBURGH,PA,15238.0,324110.0,4/8/2020
501253,$5-10 million,"ANTHONY D. CONSTRUCTION, INC.",109 DARK HOLLOW RD,OAKMONT,PA,15139.0,237310.0,4/7/2020
501254,$5-10 million,"ARCHWAY CHARTER SCHOOL OF CHESTER, INC.",214 E. 5th Street,CHESTER,PA,19013.0,611699.0,4/13/2020
501255,$5-10 million,ARMADA PARTNERS LP,641 Alpha Drive,PITTSBURGH,PA,15238.0,541614.0,4/14/2020
501256,$5-10 million,ATLANTIC SOLUTIONS GROUP INC.,27 West Lemon Street,LANCASTER,PA,17603.0,561320.0,4/27/2020
501257,$5-10 million,AUTOMATED FINANCIAL SYSTEMS INC,123 SUMMIT DR STE 2,EXTON,PA,19341.0,541511.0,4/10/2020
501258,$5-10 million,AVALOTIS CORP,400 JONES ST,VERONA,PA,15147.0,238320.0,4/13/2020
501259,$5-10 million,"BABST CALLAND CLEMENTS & ZOMNIR, P.C.",603 Stanwix St,PITTSBURGH,PA,15222.0,541110.0,4/9/2020
501260,$5-10 million,"BARNHART FAMILY ENTERPRISES, INC.",500 Tee Box Road,DUNCANSVILLE,PA,16635.0,323111.0,4/9/2020
501261,$5-10 million,"BEST LINE LEASING, INC",2582 Gateway Drive,STATE COLLEGE,PA,16801.0,532490.0,4/6/2020
501262,$5-10 million,BRAYMAN CONSTRUCTION CORPORATION,1000 JOHN ROEBLING WAY,SAXONBURG,PA,16056.0,237310.0,4/8/2020
501263,$5-10 million,BRENTWOOD INDUSTRIES INC,500 Spring Ridge Drive,READING,PA,19610.0,326199.0,4/15/2020
501264,$5-10 million,BRUCE-MERRILEES ELECTRIC COMPANY,930 Cass Street,NEW CASTLE,PA,16101.0,238210.0,4/12/2020
501265,$5-10 million,BRYN MAWR MEDICAL SPECIALISTS ASSOCIAITON,"825 Old Lancaster Road, Suite 320",BRYN MAWR,PA,19010.0,621111.0,4/6/2020
501266,$5-10 million,BUCA RESTAURANTS INC,260 E LANCASTER AVE,WYNNEWOOD,PA,19096.0,722511.0,4/14/2020
501267,$5-10 million,C F MARTIN & CO INC,510 SYCAMORE ST,NAZARETH,PA,18064.0,339992.0,4/13/2020
501268,$5-10 million,"CAMPBELL TRANSPORTATION COMPANY, INC.",201 S. JOHNSON RD Suite 303,HOUSTON,PA,15342.0,483211.0,4/3/2020
501269,$5-10 million,CAMPUS APARTMENTS LLC,4043 WALNUT ST,PHILADELPHIA,PA,19104.0,531110.0,4/11/2020
501270,$5-10 million,"CARDIOLOGY CONSULTANTS OF PHILADELPHIA, PC","207 N. Broad Street, Suite 300",PHILADELPHIA,PA,19107.0,621111.0,4/10/2020
501271,$5-10 million,CENTERS FOR ADVANCED UROLOGY LLC,211 S gulph Rd Suite 200,KING OF PRUSSIA,PA,19406.0,621111.0,4/8/2020
501272,$5-10 million,CHARTWELL STAFFING SERVICES INC.,"245 CENTERVILLE RD, Suite 10",LANCASTER,PA,17603.0,561311.0,4/30/2020
501273,$5-10 million,"CIPRIANI & WERNER, P.C.",650 WASHINGTON RD STE 700,PITTSBURGH,PA,15228.0,541110.0,4/7/2020
501274,$5-10 million,CITY OF PHILA ACTING BY THE BRD OF DIR OF CITY TRUSTS,840 WALNUT ST FL 15,PHILADELPHIA,PA,19107.0,622310.0,4/15/2020
501275,$5-10 million,CLAIR GLOBAL CORPORATION,1 Ellen Ave,LITITZ,PA,17543.0,334310.0,4/7/2020
501276,$5-10 million,COLLEGIUM CHARTER SCHOOL,436 CREAMERY WAY STE 300,EXTON,PA,19341.0,611110.0,5/15/2020
501277,$5-10 million,"COLONIAL ELECTRIC SUPPLY COMPANY, THE",201 W Church Rd,KING OF PRUSSIA,PA,19406.0,423610.0,4/28/2020
501278,$5-10 million,COMPUTER ENTERPRISES INC,1000 OMEGA DR,PITTSBURGH,PA,15205.0,541519.0,4/15/2020
501279,$5-10 million,CONCURRENT TECHNOLOGIES CORPORATION,100 CTC Drive,JOHNSTOWN,PA,15904.0,541330.0,4/5/2020
501280,$5-10 million,CONNECT AMERICA.COM LLC,ONE BELMONT AVE 12th Floor,BALA CYNWYD,PA,19004.0,561621.0,4/14/2020
501281,$5-10 million,CONNELLY CHIROPRACTIC INC,695 N. LEWIS,LIMERICK,PA,19468.0,523930.0,5/5/2020
501282,$5-10 million,"CONSTRUCTURAL DYNAMICS, INC",355 NEWBOLD RD,FAIRLESS HILLS,PA,19030.0,327320.0,4/16/2020
501283,$5-10 million,CURRY SUPPLY HOLDINGS INC,7324 Woodbury Pike,ROARING SPRING,PA,16673.0,551112.0,4/15/2020
501284,$5-10 million,"DALE CONSTRUCTION CO., INC.",70 Limekiln Pike,GLENSIDE,PA,19038.0,238310.0,4/10/2020
501285,$5-10 million,DATA SYSTEMS ANALYSTS INC.,8 Neshaminy Interplex Ste. 209,FEASTERVILLE TREVOSE,PA,19053.0,541512.0,4/8/2020
501286,$5-10 million,DECISIONONE CORPORATION,640 LEE RD,WAYNE,PA,19087.0,811212.0,6/10/2020
501287,$5-10 million,"DEER COUNTRY FARM & LAWN, INC.",2710 Mount Joy Rd,MANHEIM,PA,17545.0,423820.0,4/14/2020
501288,$5-10 million,DELAWARE VALLEY UNIVERSITY,700 E Butler Ave,DOYLESTOWN,PA,18901.0,611310.0,4/13/2020
501289,$5-10 million,DELTA T GROUP INC,950 Haverford Rd,BRYN MAWR,PA,19010.0,561499.0,4/14/2020
501290,$5-10 million,"DEVELOPMENT DIMENSIONS INTERNATIONAL, INC.",1225 WASHINGTON PIKE,BRIDGEVILLE,PA,15017.0,541990.0,4/9/2020
501291,$5-10 million,"DICKIE, MCCAMEY & CHILCOTE P.C.",2 PPG PL STE 400,PITTSBURGH,PA,15222.0,541110.0,4/4/2020
501292,$5-10 million,"DOYLESTOWN ANESTHESIA ASSOCIATES, INC.",595 W STATE ST,DOYLESTOWN,PA,18901.0,621111.0,4/8/2020
501293,$5-10 million,DUCTMATE INDUSTRIES INC,210 5TH ST,CHARLEROI,PA,15022.0,332322.0,4/6/2020
501294,$5-10 million,DURA-BOND INDUSTRIES INC,5790 KENNEDY AVE,EXPORT,PA,15632.0,331210.0,4/7/2020
501295,$5-10 million,EASLEY & RIVERS INC,207 TOWNSEND DR,MONROEVILLE,PA,15146.0,238310.0,4/8/2020
501296,$5-10 million,EASTON COACH COMPANY,1200 Conroy Place,EASTON,PA,18040.0,485510.0,4/15/2020
501297,$5-10 million,"EAT'N PARK HOSPITALITY, INC.",285 E Waterfront Dr,HOMESTEAD,PA,15120.0,722511.0,4/3/2020
501298,$5-10 million,ECORE INTERNATIONAL INC,715 Fountain Avenue 0.0,LANCASTER,PA,17601.0,326299.0,4/10/2020
501299,$5-10 million,EDWIN L HEIM CO,1918 Greenwood St,HARRISBURG,PA,17104.0,238210.0,4/15/2020
501300,$5-10 million,"ELITE SPORTSWEAR, L.P.",2136 N 13th St,READING,PA,19604.0,315990.0,4/10/2020
501301,$5-10 million,EMERGENCY CARE RESEARCH INSTITUTE,5200 BUTLER PIKE,PLYMOUTH MEETING,PA,19462.0,621493.0,4/12/2020
501302,$5-10 million,"EMPIRE EDUCATION GROUP, INC.",396 Pottsville- St Clair Highway,POTTSVILLE,PA,17901.0,611511.0,4/8/2020
501303,$5-10 million,EMPIRE GROUP OF READING PA INC,1440 CARBON ST,READING,PA,19601.0,562112.0,4/10/2020
501304,$5-10 million,"EQUIPMENT & CONTROLS, INC.",2 PARK DR,LAWRENCE,PA,15055.0,334513.0,4/27/2020
501305,$5-10 million,ESSINTIAL ENTERPRISE SOLUTIONS LLC,"100 STERLING PKWY, Suite 307",MECHANICSBURG,PA,17050.0,541513.0,4/10/2020
501306,$5-10 million,EWING COLE INC,100 N 6th Street,PHILADELPHIA,PA,19106.0,541310.0,4/9/2020
501307,$5-10 million,FAMILY PRACTICE CENTER PC,3040 N Susquehanna Trail,SHAMOKIN DAM,PA,17876.0,621111.0,4/9/2020
501308,$5-10 million,FAZIO MECHANICAL SERVICES INC,300 S Main St,PITTSBURGH,PA,15215.0,238220.0,4/10/2020
501309,$5-10 million,FORMS AND SURFACES INC,30 PINE ST,PITTSBURGH,PA,15223.0,332323.0,4/4/2020
501310,$5-10 million,"G.R. SPONAUGLE & SONS, INC.",4391 CHAMBERS HILL RD,HARRISBURG,PA,17111.0,238220.0,4/3/2020
501311,$5-10 million,GALLIKER DAIRY COMPANY,159 PO BOX,JOHNSTOWN,PA,15907.0,311511.0,4/13/2020
501312,$5-10 million,GLOBEL TUNGSTEN & POWDERS CORP,1 HAWES ST,TOWANDA,PA,18848.0,332117.0,4/15/2020
501313,$5-10 million,"GOODWAY GROUP, INC.","261 York Rd., #930",JENKINTOWN,PA,19046.0,541810.0,4/14/2020
501314,$5-10 million,GOODWILL OF SOUTHWESTERN PENNSYLVANIA,118 52nd Street,PITTSBURGH,PA,15201.0,624110.0,4/12/2020
501315,$5-10 million,GREATER PHILADELPHIA HEALTH ACTION INCORPORATED,1401 S. 31st Street,PHILADELPHIA,PA,19147.0,621498.0,4/16/2020
501316,$5-10 million,GREENLEAF CORPORATION,18695 Greenleaf Drive,SAEGERTOWN,PA,16433.0,333515.0,4/10/2020
501317,$5-10 million,GROFF TRACTOR HOLDINGS LLC,6779 Carlisle Pike,MECHANICSBURG,PA,17050.0,532412.0,4/8/2020
501318,$5-10 million,"GROUNDWATER AND ENVIRONMENTAL SERVICES, INC.",440 CREAMERY WAY SUITE 500,EXTON,PA,19341.0,541612.0,4/15/2020
501319,$5-10 million,GWYNEDD MERCY UNIVERSITY,1325 Sumneytown Pike,GWYNEDD VALLEY,PA,19437.0,611310.0,4/30/2020
