,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,DateApproved
527334,$5-10 million,CARIBBEAN RESTAURANTS LLC,5 Carr Km 6 Hm 2 Barrio Amelia,GUAYNABO,PR,968.0,722513.0,4/8/2020
527335,$5-10 million,CARIBBEAN TEMPORARY SERVICES LLC,PONCE DE LEON 1431 SUITE 701,SANTURCE,PR,907.0,561320.0,4/28/2020
527336,$5-10 million,CENTRO MEDICO DEL TURABO INC.,100 AVE. LUIS MUNOZ MARIN,CAGUAS,PR,725.0,622110.0,4/27/2020
527337,$5-10 million,ENCANTO RESTAURANTS INC,9615 AVE LOS ROMEROS 200 Montehiedra Office Centre,SAN JUAN,PR,926.0,722513.0,4/8/2020
527338,$5-10 million,"GENESIS SECURITY SERVICES, INC.",5900 AVE. ISLA VERDE L2 PMB,CAROLINA,PR,979.0,561612.0,4/27/2020
527339,$5-10 million,GFR MEDIA,50 CARR 165 SECTOR BUCHANAN PARQUE INDUSTRIAL AMELIA,GUAYNABO,PR,968.0,511110.0,4/11/2020
527340,$5-10 million,"INTERNATIONAL RESTAURANT SERVICES, INC.",Barrio Palmas Royal Industrial Edificio K Carretera 869 Km 1,CATANO,PR,962.0,722511.0,4/15/2020
527341,$5-10 million,SOUTH AMERICAN RESTAURANTS CORP.,"35 Diana St, Amelia Industrial Park",GUAYNABO,PR,969.0,722513.0,4/12/2020
527342,$5-10 million,UNIVERSAL INSURANCE COMPANY,"Metro Office Park Street #1, Lot #10",GUAYNABO,PR,969.0,524126.0,4/10/2020
527343,$5-10 million,WENDCO OF PUERTO RICO INC,1155 Ave Ponce de Leon,SAN JUAN,PR,907.0,722513.0,4/11/2020
527344,$2-5 million,ABARCA HEALTH LLC,"650 Ave Munoz Rivera, Suite 701",SAN JUAN,PR,918.0,541611.0,4/27/2020
527345,$2-5 million,AIRPORT SHOPPES CORP,Luis Munoz Marin International Airport Carolina,CAROLINA,PR,983.0,722310.0,4/14/2020
527346,$2-5 million,"ANTILLES CLEANING SERVICES, INC","103 AVE, CONQUISTADORES",CATANO,PR,962.0,561720.0,4/28/2020
527347,$2-5 million,AUTOGERMANA INC,298 Chardon Corner Cesar Gonzalez,SAN JUAN,PR,918.0,441110.0,4/13/2020
527348,$2-5 million,"B. FERNANDEZ & HNOS, INC.","B. FERNANDEZ & HNOS, INC.",BAYAMON,PR,961.0,424490.0,4/15/2020
527349,$2-5 million,BAHIA BEACH CH DEVELOPMENT LLC,7000 BAHIA BEACH BOULEVARD,RIO GRANDE,PR,745.0,721110.0,5/3/2020
527350,$2-5 million,BALLESTER HERMANOS INC.,"West Gate Industrial Park, Carretera 869, Calle 3, Barrio Palmas",CATANO,PR,962.0,424820.0,4/11/2020
527351,$2-5 million,BDO PUERTO RICO PSC,1302 AVE PONCE DE LEON,SAN JUAN,PR,907.0,541211.0,4/14/2020
527352,$2-5 million,BELLA INTERNATIONAL & ESTEVES 30,Calle Bechara Esq. Segarra Lote C-1 Pueblo Viejo,SAN JUAN,PR,920.0,423110.0,4/12/2020
527353,$2-5 million,"BLUEWATER DEFENSE, INC.",Bo. Cibuco Road 159 Km 13.5,COROZAL,PR,783.0,315210.0,4/8/2020
527354,$2-5 million,"CABRERA GRUPO AUTOMOTRIZ, LLC","PR 493, Km 2 Bo. Carizales",ARECIBO / PR,PR,659.0,441110.0,4/7/2020
527355,$2-5 million,"CAPITOL SECURITY POLICE, INC.",CALLE VICTOR LOPEZ,SAN JUAN,PR,910.0,561612.0,4/30/2020
527356,$2-5 million,"CARIBBEAN LUMBER & HARDWARE, INC.","AVE ROBERTO SANCHEZ VILELLA 246 ESQUINA, URB COUNTRY CLUB",CAROLINA,PR,982.0,444130.0,6/10/2020
527357,$2-5 million,"CCHPR HOSPITALITY, LLC","Sheraton Convention Center, 200 Blvd Convention Center",SAN JUAN,PR,936.0,721120.0,4/29/2020
527358,$2-5 million,CESAR CASTILLO LLC,1 RD KM21.1 La Muda Ward Guayabo,GUAYNABO,PR,966.0,424210.0,4/12/2020
527359,$2-5 million,COMPANIA CERVECERA DE PUERTO RICO INC,100 Boulevard Alfonso Valdes,MAYAGUEZ,PR,680.0,312120.0,4/12/2020
527360,$2-5 million,"CONDADO DUO LA CONCHA SPV, LLC",1077 AVE. ASHFORD,SAN JUAN,PR,907.0,721120.0,4/27/2020
527361,$2-5 million,"CONDADO DUO VANDERBILT SPV, LLC",1055 AVE. ASHFORD,SAN JUAN,PR,907.0,721110.0,4/27/2020
527362,$2-5 million,CPM PR LLC,Corporate Office Park CPM Plaza Suite 201,GUAYNABO,PR,966.0,561110.0,4/14/2020
527363,$2-5 million,CSA ARCHITECTS AND ENGINEERS LLP,"1511 Ponce de Leon Avenue,Suite 23",SAN JUAN,PR,909.0,541310.0,4/12/2020
