,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,DateApproved
529275,$5-10 million,"ARDEN ENGINEERING CONSTRUCTORS, LLC",505 Narragansett Park Dr,PAWTUCKET,RI,2861.0,238220.0,4/29/2020
529276,$5-10 million,BROWN EMERENCY MEDICINE,125 WHIPPLE ST 3RD FLOOR,PROVIDENCE,RI,2908.0,813410.0,4/4/2020
529277,$5-10 million,BROWN MEDICINE,110 ELM ST,PROVIDENCE,RI,2903.0,621111.0,4/9/2020
529278,$5-10 million,CARDI CORPORATION,400 LINCOLN AVE,WARWICK,RI,2888.0,237310.0,4/8/2020
529279,$5-10 million,"COASTAL MEDICAL, INC.",10 Davol Square Suite 300,PROVIDNCE,RI,2903.0,621111.0,5/3/2020
529280,$5-10 million,EAST COAST INTERIORS CORP.,17 Minnesota Ave,WARWICK,RI,2888.0,236220.0,4/13/2020
529281,$5-10 million,GREYSTONE OF LINCOLN INC,7 WELLINGTON RD,LINCOLN,RI,2865.0,332710.0,4/10/2020
529282,$5-10 million,"H. CARR & SONS, INC.",100 Royal Little Drive,PROVIDENCE,RI,2904.0,238310.0,4/12/2020
529283,$5-10 million,KVH INDUSTRIES INC,50 Enterprise Ctr,MIDDLETOWN,RI,2842.0,334220.0,5/3/2020
529284,$5-10 million,PET FOOD EXPERTS INC.,175 MAIN ST,PAWTUCKET,RI,2860.0,424490.0,4/7/2020
529285,$5-10 million,"RHODE ISLAND MEDICAL IMAGING, INC.",125 METRO CENTER BLVD,WARWICK,RI,2886.0,621111.0,4/11/2020
529286,$5-10 million,TACO INC,1160 CRANSTON ST,CRANSTON,RI,2920.0,333414.0,4/27/2020
529287,$5-10 million,"TECHNIC, INC.",47 Molter Street 0.0,CRANSTON,RI,2910.0,325998.0,4/10/2020
529288,$5-10 million,"UNIVERSITY ORTHOPEDICS, INC.",1 Kettle Point Avenue,EAST PROVIDENCE,RI,2914.0,621111.0,4/4/2020
529289,$2-5 million,"ACHIEVEMENT FIRST RHODE ISLAND, INC",370 HARTFORD AVE,PROVIDENCE,RI,2909.0,611110.0,4/8/2020
