,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,DateApproved
531728,$5-10 million,"ACM FATZ VII, LLC",198 ROPER MOUNTAIN ROAD EXT STE B,GREENVILLE,SC,29615.0,722511.0,4/13/2020
531729,$5-10 million,AGY HOLDING CORPORATION,2556 WAGENER ROAD,AIKEN,SC,29801.0,313210.0,5/3/2020
531730,$5-10 million,BEVERAGE SOUTH INC,751 STATE PARK RD,GREENVILLE,SC,29609.0,312111.0,4/10/2020
531731,$5-10 million,"BGI, LLC",1141 BOWMAN ROAD STE 101,MOUNT PLEASANT,SC,29464.0,488190.0,4/11/2020
531732,$5-10 million,"BONITZ, INC.",645 ROSEWOOD DR,COLUMBIA,SC,29201.0,111110.0,4/13/2020
531733,$5-10 million,"BOOMTOWN ROI, LLC",1505 KING STREET EXT Suite 101,NORTH CHARLESTON,SC,29405.0,541511.0,4/11/2020
531734,$5-10 million,CALHOUN MANAGEMENT CORPORATION,108 Elm St. PO Box 1767,CLEMSON,SC,29631.0,722513.0,4/11/2020
531735,$5-10 million,"CAPITAL VACATIONS, LLC",9654 N Kings Highway suite 101,MYRTLE BEACH,SC,29572.0,721110.0,4/3/2020
531736,$5-10 million,"CHIPTON-ROSS STAFFING, INC.",6926 RIVERS AVE,NORTH CHARLESTON,SC,29406.0,561311.0,5/3/2020
531737,$5-10 million,CMAC INC.,845 Briarwood Dr,MYRTLE BEACH,SC,29572.0,722511.0,4/9/2020
531738,$5-10 million,COMMERCIAL FOOD SERVICE REPAIR INC,410 E WASHINGTON ST,GREENVILLE,SC,29601.0,811310.0,4/11/2020
531739,$5-10 million,"ELDECO, INC",5751 AUGUSTA RD,GREENVILLE,SC,29605.0,238210.0,4/15/2020
531740,$5-10 million,ESP ASSOCIATES INC.,3475 Lakemont Boulevard,FORT MILL,SC,29708.0,541330.0,4/15/2020
531741,$5-10 million,ESSENTIAL CABINETRY HOLDINGS INC.,2838 Grandview Drive,SIMPSONVILLE,SC,29680.0,337110.0,4/6/2020
531742,$5-10 million,FARMERSTELEPHONE COOPERATIVE INC,1101 E Main Street,KINGSTREE,SC,29556.0,517911.0,4/28/2020
531743,$5-10 million,GITI TIRE MANUFACTURING (USA) LTD,1000 GITI DR,RICHBURG,SC,29729.0,326211.0,4/14/2020
531744,$5-10 million,HKA ENTERPRISES LLC,337 SPARTANGREEN BLVD,DUNCAN,SC,29334.0,541330.0,4/15/2020
531745,$5-10 million,HUMAN TECHNOLOGIES INC,105 N Spring St,GREENVILLE,SC,29601.0,561320.0,4/9/2020
531746,$5-10 million,"INFRASTRUCTURE CONSULTING & ENGINEERING, PLLC",1021 BRIARGATE CIR,COLUMBIA,SC,29210.0,541330.0,4/11/2020
531747,$5-10 million,INMAN MILLS,300 Park Rd,INMAN,SC,29349.0,314999.0,4/15/2020
531748,$5-10 million,"INVESTSOUTH IHC, LLC",16 Hyland Rd,GREENVILLE,SC,29615.0,621610.0,4/11/2020
531749,$5-10 million,"JOHNSON & JOHNSON, INC.",200 WINGO WAY STE 200,MOUNT PLEASANT,SC,29464.0,524298.0,4/10/2020
531750,$5-10 million,MB KAHN CONSTRUCTION CO INC,101 FLINTLAKE RD,COLUMBIA,SC,29223.0,236220.0,4/15/2020
531751,$5-10 million,"MOTLEY RICE, LLC",28 BRIDGESIDE BLVD,MOUNT PLEASANT,SC,29464.0,541110.0,4/27/2020
531752,$5-10 million,NEXSEN PRUET LLC,1230 MAIN ST STE 700,COLUMBIA,SC,29201.0,541110.0,4/16/2020
531753,$5-10 million,PALMETTO PRIMARY CARE PHYSICIANS LLC,2500 Elms Center Rd,CHARLESTON,SC,29406.0,621111.0,4/9/2020
531754,$5-10 million,"S. B. PHILLIPS CO., INC.",55 East Camperdown Way,GREENVILLE,SC,29601.0,561320.0,6/29/2020
531755,$5-10 million,"SEIBELS SERVICES GROUP, INC.",1501 LADY ST,COLUMBIA,SC,29201.0,524292.0,4/14/2020
531756,$5-10 million,SOUTHEASTERN PAPER GROUP INC,50 OLD BLACKSTOCK RD,SPARTANBURG,SC,29301.0,424130.0,4/14/2020
531757,$5-10 million,"SPARTANBURG STEEL PRODUCTS, INC.",1290 NEW CUT RD,SPARTANBURG,SC,29303.0,332111.0,4/28/2020
531758,$5-10 million,"THE SEFA GROUP, INC.",217 CEDAR RD,LEXINGTON,SC,29072.0,327999.0,4/27/2020
531759,$5-10 million,"THE SUNSHINE HOUSE, INC.",12 INTERCHANGE BLVD,GREENVILLE,SC,29607.0,611710.0,4/27/2020
531760,$5-10 million,THOMPSON INDUSTRIAL SERVICES LLC,104 N MAIN ST,SUMTER,SC,29150.0,562998.0,4/15/2020
531761,$2-5 million,3V SIGMA USA INC,888 Woodstock St,GEORGETOWN,SC,29440.0,325998.0,4/12/2020
531762,$2-5 million,"98 HOLDINGS, INC.",556 PERRY AVENUE Suite B 106,GREENVILLE,SC,29611.0,484110.0,4/7/2020
531763,$2-5 million,ABBEVILLE AREA MEDICAL CENTER,420 Thomson Circle,ABBEVILLE,SC,29620.0,622110.0,4/28/2020
531764,$2-5 million,ADAPT FORWARD LLC,5895 CORE AVE STE 416,NORTH CHARLESTON,SC,29406.0,541512.0,5/3/2020
531765,$2-5 million,"AE ENTERPRISES NORTH AMERICA, INC.",250 COMMONWEALTH DRIVE,GREENVILLE,SC,29615.0,541330.0,4/12/2020
531766,$2-5 million,"AIKEN ELECTRIC COOPERATIVE, INC",2790 WAGENER ROAD,AIKEN,SC,29801.0,221122.0,4/27/2020
531767,$2-5 million,ALFMEIER FRIEDRICH & RATHS LLC,120 ELLCON DRIVE,GREENVILLE,SC,29605.0,336310.0,4/15/2020
531768,$2-5 million,ALTERNATIVE STAFFING INC,1505 A REMOUNT ROAD,NORTH CHARLESTON,SC,29406.0,561320.0,5/3/2020
531769,$2-5 million,"ARBORGEN, INC",2011 Broadbank Ct,RIDGEVILLE,SC,29472.0,115310.0,5/3/2020
531770,$2-5 million,ASHLEY HALL FOUNDATION,172 RUTLEDGE AVE,CHARLESTON,SC,29403.0,611110.0,4/9/2020
531771,$2-5 million,ASSOCIATED MECHANICAL ERECTORS CO,121 East Close St,FORT MILL,SC,29715.0,238990.0,4/7/2020
531772,$2-5 million,"ATLAS TECHNOLOGIES, INC.",5416 Rivers Ave Suite A,NORTH CHARLESTON,SC,29406.0,541512.0,4/15/2020
531773,$2-5 million,AUGUSTA TEMPORARIES INC.,"101 BROADUS AVENUE,",GREENVILLE,SC,29601.0,339999.0,4/30/2020
531774,$2-5 million,"AVANTECH, INC",2050 AMERICAN ITALIAN WAY,COLUMBIA,SC,29209.0,541330.0,4/10/2020
531775,$2-5 million,AVOCET HOSPITALITY GROUP INC,174 E BAY ST STE 202,CHARLESTON,SC,29401.0,721110.0,5/3/2020
531776,$2-5 million,BANKS CONSTRUCTION COMPANY,4902 Banco Rd,NORTH CHARLESTON,SC,29418.0,237310.0,4/14/2020
531777,$2-5 million,"BEAUFORT JASPER HAMPTON COMPREHENSIVE HEALTH SERVICES, INC.",721 Okatie Highway,OKATIE,SC,29909.0,621498.0,4/30/2020
531778,$2-5 million,BISHOP GADSEN EPISCOPAL RETIREMENT COMMUNITY,1 Bishop Gadsen Way,CHARLESTON,SC,29412.0,623110.0,4/8/2020
531779,$2-5 million,BISHOP OF CHARLESTON,901 ORANGE GROVE RD,CHARLESTON,SC,29407.0,813110.0,4/11/2020
531780,$2-5 million,"BMS, INC",330 WOODRUFF RD,GREENVILLE,SC,29607.0,441110.0,4/10/2020
531781,$2-5 million,BOMAG AMERICAS INC.,125 Blue Granite Parkway,RIDGEWAY,SC,29130.0,333120.0,4/15/2020
531782,$2-5 million,"BRAVE NEW WORLD SERVICES, LLC",556 College Park Road,LADSON,SC,29456.0,561311.0,4/13/2020
531783,$2-5 million,BURNSTEIN VON SEELEN PRECISION CASTINGS CORPORATION,608 CARWELLYN RD,ABBEVILLE,SC,29620.0,331523.0,4/14/2020
531784,$2-5 million,"BURROUGHS & CHAPIN TRS, INC",8800 MARINA PKWY,MYRTLE BEACH,SC,29572.0,531390.0,4/9/2020
531785,$2-5 million,"CAP YARNS, LLC",401 GUINN ST,CLOVER,SC,29710.0,313310.0,4/27/2020
531786,$2-5 million,CAROLINA CANNERS INC,300 HIGHWAY 1 S,CHERAW,SC,29520.0,312111.0,4/11/2020
531787,$2-5 million,CAROLINA EASTERN INC,1820 Savannah Highway,CHARLESTON,SC,29407.0,111998.0,4/13/2020
531788,$2-5 million,"CAROLINA FRANCHISE HOLDINGS, LLC",108 SPYGLASS DR,GREENWOOD,SC,29649.0,722513.0,4/15/2020
531789,$2-5 million,CAROLINA INTERNATIONAL TRUCKS INC,1619 BLUFF RD,COLUMBIA,SC,29201.0,532490.0,4/5/2020
531790,$2-5 million,"CHARLESTON ENT ASSOCIATES, LLC",2295 Henry Tecklenburg Drive,CHARLESTON,SC,29414.0,621111.0,4/9/2020
531791,$2-5 million,"CHARLESTON ONCOLOGY, P.A.",2085 HENRY TECKLENBURG DR 2nd Floor,CHARLESTON,SC,29414.0,621111.0,4/28/2020
531792,$2-5 million,"CHESTNUT HILL MENTAL HEALTH CENTER, INC.",1 HAVENWOOD LANE,TRAVELERS REST,SC,29690.0,622210.0,4/28/2020
531793,$2-5 million,CHRIST CHURCH EPISCOPAL SCHOOL,245 Cavalier Drive,GREENVILLE,SC,29607.0,813110.0,4/11/2020
531794,$2-5 million,CITADEL ELECTRIC LLC,23 Tillinghast Circle,BLUFFTON,SC,29910.0,221118.0,5/4/2020
531795,$2-5 million,CLAFLIN UNIVERSITY,400 Magnolia St,ORANGEBURG,SC,29115.0,611310.0,4/15/2020
531796,$2-5 million,"CLARY HOOD & ASSOCIATES, INC.",150 CONWAY BLACK RD,SPARTANBURG,SC,29307.0,238910.0,4/13/2020
531797,$2-5 million,"CLELAND SITE PREP, INC",426 RED OAKS LN,RIDGELAND,SC,29936.0,238910.0,4/11/2020
531798,$2-5 million,CLIFFS CLUB SERVICES LLC,3851 SC HIGHWAY 11,TRAVELERS REST,SC,29690.0,722511.0,4/10/2020
531799,$2-5 million,COASTAL PEDIATRIC ASSOCIATES PA,4975 LACROSS RD,CHARLESTON,SC,29406.0,621111.0,4/13/2020
531800,$2-5 million,"COASTAL STATES AUTOMOTIVE GROUP MANAGEMENT, LLC",265 DRIVERS WAY,HARDEEVILLE,SC,29927.0,441110.0,4/5/2020
531801,$2-5 million,COKER UNIVERSITY,300 E COLLEGE AVE,HARTSVILLE,SC,29550.0,611310.0,4/7/2020
531802,$2-5 million,COLONIAL PRACTICE MANAGEMENT LLC,220 BROAD ST,SUMTER,SC,29150.0,551114.0,4/8/2020
