,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,DateApproved
539343,$5-10 million,COCA-COLA BOTTLING COMPANY HIGH COUNTRY,2150 COCA COLA LN,RAPID CITY,SD,57702.0,312111.0,4/15/2020
539344,$5-10 million,"DAKOTA PROVISIONS, LLC",40253 US Highway 14,HURON,SD,57350.0,311615.0,4/27/2020
539345,$5-10 million,"EMPIRICAL FOODS, INC.",891 TWO RIVERS DR,DAKOTA DUNES,SD,57049.0,311612.0,4/27/2020
539346,$5-10 million,HARMS OIL COMPANY,337 22ND AVE S,BROOKINGS,SD,57006.0,424720.0,4/9/2020
539347,$5-10 million,MUTH ELECTRIC INC,1717 N Sanborn Blvd,MITCHELL,SD,57301.0,238210.0,4/6/2020
539348,$5-10 million,"PETE LIEN & SONS, INC",P.O. Box 440,RAPID CITY,SD,57709.0,327410.0,4/8/2020
539349,$5-10 million,REGENCY MIDWEST VENTURES LIMITED PARTNERSHIP,"122 South Phillips Avenue, Suite 230",SIOUX FALLS,SD,57104.0,531110.0,4/28/2020
539350,$5-10 million,SHOWPLACE WOOD PRODUCTS,1 Enterprise St,HARRISBURG,SD,57032.0,337110.0,4/8/2020
539351,$5-10 million,SONIFI SOLUTIONS INC,3900 W Innovation St,SIOUX FALLS,SD,57107.0,512110.0,5/3/2020
539352,$2-5 million,16 HOTEL PROPERTIES,2011 8TH AVE NE,ABERDEEN,SD,57401.0,721110.0,4/7/2020
539353,$2-5 million,ADAMS THERMAL SYSTEMS INC.,47920 5th St,CANTON,SD,57013.0,336390.0,4/9/2020
539354,$2-5 million,"AGRONOMY SCIENCES, LLC",47504 252nd Street,BALTIC,SD,57003.0,424910.0,4/9/2020
539355,$2-5 million,BELL PAPER BOX INC,617 W. Algonquin St.,SIOUX FALLS,SD,57104.0,322212.0,4/3/2020
539356,$2-5 million,BIG D OIL COMPANY,3685 STURGIS ROAD,RAPID CITY,SD,57709.0,447110.0,4/6/2020
539357,$2-5 million,"BIG STONE THERAPIES, INC.",500 CROSS ST,BIG STONE CITY,SD,57216.0,621112.0,4/6/2020
539358,$2-5 million,"BILLION G, INC",600 West 41st Street,SIOUX FALLS,SD,57105.0,441110.0,4/10/2020
539359,$2-5 million,BLACK HILLS ORTHOPEDIC & SPINE CENTER PC,7220 Mount Rushmore Road,RAPID CITY,SD,57702.0,621111.0,4/6/2020
539360,$2-5 million,BLACK HILLS WORKSHOP & TRAININ,717 E ANAMOSA ST,RAPID CITY,SD,57709.0,813219.0,4/9/2020
539361,$2-5 million,BUILDING PRODUCTS INC.,405 1st Ave N E,WATERTOWN,SD,57201.0,423310.0,4/5/2020
539362,$2-5 million,"CARSFORSALE.COM, INC.",2500 s westlake dr,SIOUX FALLS,SD,57106.0,541890.0,4/3/2020
539363,$2-5 million,CHILDREN'S HOME SOCIETY OF SOUTH DAKOTA,801 N Sycamore Ave,SIOUX FALLS,SD,57110.0,813219.0,4/6/2020
539364,$2-5 million,CITY OF BROOKINGS,300 22nd Ave,BROOKINGS,SD,57006.0,622110.0,4/27/2020
539365,$2-5 million,CLIFF VIESSMAN INC,"215 1st Avenue P.O, Box 175",GARY,SD,57237.0,484220.0,4/15/2020
539366,$2-5 million,"CNOS, PC",575 SIOUX POINT RD,NORTH SIOUX CITY,SD,57049.0,621111.0,4/6/2020
539367,$2-5 million,COMPONENT MANUFACTURING COMPANY,4104 N 4th Ave,SIOUX FALLS,SD,57104.0,321211.0,4/6/2020
539368,$2-5 million,CONGREGATION OF THE PRIESTS OF THE SACRED HEART OF SOUTH DAKOTA,1301 N Main St,CHAMBERLAIN,SD,57325.0,813219.0,4/3/2020
