,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,DateApproved
541287,$5-10 million,"99 RESTAURANTS HOLDINGS, LLC",3038 SIDCO DR,NASHVILLE,TN,37204.0,722511.0,4/4/2020
541288,$5-10 million,AAC HOLDINGS INC,200 Powell Pl 2nd Fl,BRENTWOOD,TN,37027.0,621498.0,5/3/2020
541289,$5-10 million,ADMAN ELECTRIC INC.,2311 E. 28th Street,CHATTANOOGA,TN,37404.0,238210.0,4/15/2020
541290,$5-10 million,AUBREY'S INC,5401 Kingston Pike Bldg 1 Ste 280,KNOXVILLE,TN,37919.0,722511.0,4/3/2020
541291,$5-10 million,"BARGE DESIGN SOLUTIONS, INC.",615 3RD AVE S. Stev 700,NASHVILLE,TN,37210.0,541330.0,4/9/2020
541292,$5-10 million,"BASS, BERRY & SIMS PLC",150 3RD AVE S STE 2800,NASHVILLE,TN,37201.0,541110.0,4/10/2020
541293,$5-10 million,BEST AMERICAN HOSPITALITY CORP,1717 ELM HILL PIKE STE B1,NASHVILLE,TN,37210.0,524210.0,5/3/2020
541294,$5-10 million,BLACKBERRY FARM LLC,1471 WEST MILLERS COVE RD,WALLAND,TN,37886.0,721110.0,4/8/2020
541295,$5-10 million,BUILDING PLASTICS INC,SHARPE AVE,MEMPHIS,TN,38111.0,423310.0,4/15/2020
541296,$5-10 million,"BURGER MANAGEMENT SYSTEMS WASHINGTON, INC.",7135 Charlotte Pike,NASHVILLE,TN,37209.0,722513.0,4/11/2020
541297,$5-10 million,"CABINETS TO GO, LLC",2350 WO SMITH DR,LAWRENCEBURG,TN,38464.0,444190.0,4/6/2020
541298,$5-10 million,"CAMPBELL CLINIC PC HOLDINGS, P.C.",1400 S GERMANTOWN RD,GERMANTOWN,TN,38138.0,551112.0,4/13/2020
541299,$5-10 million,"CAREHERE MANAGEMENT, PLLC","5141 VIRGINIA WAY, SUITE 350",BRENTWOOD,TN,37027.0,621610.0,4/28/2020
541300,$5-10 million,"CHARTER CENTRAL, LLC",1111 GATEWAY SERVICE PARK RD,MORRISTOWN,TN,37813.0,722513.0,4/6/2020
541301,$5-10 million,"CHARTER FOODS NORTH, LLC",1111 GATEWAY SERVICE PARK RD,MORRISTOWN,TN,37813.0,722513.0,4/6/2020
541302,$5-10 million,"CHARTER FOODS, INC.",1111 Gateway Service Park Rd,MORRISTOWN,TN,37813.0,722513.0,4/6/2020
541303,$5-10 million,CHURCHILL MORTGAGE CORPORATION,1749 MALLORY LN Suite 100,BRENTWOOD,TN,37027.0,522310.0,4/9/2020
541304,$5-10 million,"CLK MULTI FAMILY MANAGEMENT, LLC","5545 Murray Avenue, 3rd Floor",MEMPHIS,TN,38119.0,531210.0,4/13/2020
541305,$5-10 million,"CONNER CONCEPTS, INC.",10911 TURKEY DR,KNOXVILLE,TN,37934.0,722511.0,4/9/2020
541306,$5-10 million,COPPER CELLER CORPORATION,"3001 Industrial Parkway E P.O. Box 50370, Knoxville, TN 37950",KNOXVILLE,TN,37921.0,722511.0,4/6/2020
