,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,DateApproved
604706,$5-10 million,ALLISON BAVER ENTERTAINMENT LLC,6219 S. Saunter Lane,SALT LAKE CITY,UT,84123.0,512110.0,4/27/2020
604707,$5-10 million,"ASSOCIATED BRIGHAM CONTRACTORS, INC.",75 N 900 W,BRIGHAM CITY,UT,84302.0,236220.0,4/10/2020
604708,$5-10 million,BARNEY TRUCKING INCORPORATED,235  S STATE ROAD 24,SALINA,UT,84654.0,484110.0,4/16/2020
604709,$5-10 million,"BH, INC.",826 South 1500 East,VERNAL,UT,84078.0,238210.0,4/8/2020
604710,$5-10 million,C&R MANAGEMENT,8289 South 4300 West,WEST JORDAN,UT,84088.0,722513.0,4/8/2020
604711,$5-10 million,"CASTLE & COOKE MORTGAGE, LLC",13751 South Wadsworth Park Drive,DRAPER,UT,84020.0,522292.0,6/30/2020
604712,$5-10 million,CENTRAL UTAH CLINIC PC,1055 North 500 West,PROVO,UT,84604.0,622110.0,5/3/2020
604713,$5-10 million,CONNEXION POINT LLC,9490 South 300 West,SANDY,UT,84070.0,561410.0,4/10/2020
604714,$5-10 million,"CONSULNET, LLC",10813 S. River Front Pkwy,SOUTH JORDAN,UT,84095.0,484110.0,4/13/2020
604715,$5-10 million,DANVILLE SERVICES CORPORATION,"7351 S. Union Park Ave., #200",MIDVALE,UT,84047.0,624120.0,6/18/2020
604716,$5-10 million,"DHI COMPUTING SERVICE, INC",1525 west 820 north,PROVO,UT,84601.0,518210.0,4/12/2020
604717,$5-10 million,"GRANGER MEDICAL CLINIC, PC",7181 S CAMPUS VIEW DRIVE.,WEST JORDAN,UT,84084.0,621111.0,4/27/2020
604718,$5-10 million,"GREAT BASIN INDUSTRIAL, LLC",1284 Flint Meadow Dr,KAYSVILLE,UT,84037.0,236210.0,4/13/2020
604719,$5-10 million,"HARRIS & HART, INC.",1759 West 1200 South,OGDEN,UT,84404.0,238220.0,4/11/2020
604720,$5-10 million,"HB BOYS, L.C.",2280 South Main Street,SALT LAKE CITY,UT,84115.0,722513.0,4/13/2020
604721,$5-10 million,"INTERIORWORX, LLC",723 Pacific Ave Suite 100,SALT LAKE CITY,UT,84104.0,238290.0,4/27/2020
604722,$5-10 million,"INTERMOUNTAIN EMPLOYMENT SERVICE, INC.",450 East 900 North,NORTH SALT LAKE,UT,84054.0,561320.0,4/30/2020
604723,$5-10 million,"JACKSON GROUP PETERBILT, INC.",1910 S. 5500 W.,SALT LAKE CITY,UT,84104.0,423110.0,4/10/2020
604724,$5-10 million,"JAS. D. EASTON, INC.","2150 S 1300 E, Ste 450",SALT LAKE CITY,UT,84106.0,339920.0,4/8/2020
604725,$5-10 million,KNDRS LLC,971 South Automall Drive,AMERICAN FORK,UT,84003.0,722513.0,4/11/2020
604726,$5-10 million,"MASTERCONTROL, INC",6350 S 3000 E,SALT LAKE CITY,UT,84121.0,511210.0,4/13/2020
604727,$5-10 million,"MLSC HOLDING CO., INC.",1505 W 130 S,OREM,UT,84058.0,423720.0,4/10/2020
604728,$5-10 million,NATURE'S SUNSHINE PRODUCTS INC,2901 W Bluegrass Blvd Ste 100,LEHI,UT,84043.0,311999.0,4/14/2020
604729,$5-10 million,"NICHOLAS &AMP; CO., INC.",5520 West Harold Gatty Drive,SALT LAKE CITY,UT,84116.0,423440.0,5/3/2020
604730,$5-10 million,OGDEN CLINIC PROFESSIONAL CORPORATION,1491 East Ridgeline Drive,OGDEN,UT,84405.0,621111.0,4/9/2020
604731,$5-10 million,"PACKSIZE INTERNATIONAL, LLC",3760 W. Smart Pack Way 0.0,SALT LAKE CITY,UT,84104.0,425120.0,4/10/2020
604732,$5-10 million,PARSONS BEHLE & LATIMER,201 South Main Street Suite 1800,SALT LAKE CITY,UT,84111.0,541110.0,4/5/2020
604733,$5-10 million,"RBM SERVICES,  INC.",1515 RIVERSIDE AVE,PROVO,UT,84604.0,454390.0,4/8/2020
604734,$5-10 million,SHIPEX INC.,376 E 400 S,SALT LAKE CITY,UT,84111.0,484110.0,4/13/2020
604735,$5-10 million,"SIZZLING CAESARS, LLC",348 E WINCHESTER ST,SALT LAKE CITY,UT,84107.0,722513.0,4/9/2020
604736,$5-10 million,"SIZZLING PLATTER, LLC",348 E WINCHESTER ST,SALT LAKE CITY,UT,84107.0,722513.0,4/9/2020
604737,$5-10 million,"SPARTAN COMPANIES 300, LLC",116 West 100,RICHMOND,UT,84333.0,237120.0,4/3/2020
604738,$5-10 million,TANNER MEMORIAL CLINIC,2121 N 1700 W,LAYTON,UT,84041.0,621111.0,5/19/2020
604739,$5-10 million,"UTAH NAVAJO HEALTH SYSTEM, INC.",1478 E Highway 162,MONTEZUMA CREEK,UT,84534.0,621498.0,4/10/2020
604740,$5-10 million,"WESTECH ENGINEERING, INC",3665 South West Temple,SALT LAKE CITY,UT,84115.0,541330.0,4/16/2020
604741,$5-10 million,WESTMINSTER COLLEGE,1840 South 1300 East,SALT LAKE CITY,UT,84105.0,611310.0,4/15/2020
604742,$5-10 million,WHITAKER CONSTRUCTION CO INC.,1050 W 44 S,BRIGHAM CITY,UT,84302.0,237120.0,5/3/2020
604743,$5-10 million,"XANT, INC.","1712 S. East Bay Blvd., Suite 200",PROVO,UT,84606.0,511210.0,4/16/2020
604744,$5-10 million,YOUNIQUE LLC,3400 Mayflower Ave 0.0,LEHI,UT,84043.0,446120.0,4/9/2020
604745,$5-10 million,ZAGG INC,910 West Legacy Center Way,MIDVALE,UT,84047.0,423690.0,4/11/2020
604746,$5-10 million,"ZULLAS, L.C.",460 W Universal Circle 0.0,SANDY,UT,84070.0,722513.0,4/15/2020
604747,$2-5 million,"A&K RAILROAD MATERIALS, INC.",1505 S Redwood Road,SALT LAKE CITY,UT,84104.0,423990.0,4/10/2020
604748,$2-5 million,ACCESS VG LLC,1012 W Beardsley PL,SALT LAKE CITY,UT,84119.0,561312.0,4/13/2020
604749,$2-5 million,"ACCESSDATA GROUP, INC.",Timpanogos Circle,OREM,UT,84097.0,511210.0,4/13/2020
604750,$2-5 million,ACE DISPOSAL INC.,2274 S. TECHNOLOGY DR,WEST VALLEY CITY,UT,84119.0,562111.0,4/15/2020
604751,$2-5 million,ACTION TARGET INC.,3411 MOUNTAIN VISTA PKWY,PROVO,UT,84606.0,713990.0,4/10/2020
604752,$2-5 million,"AGILITY ENERGY, INC.",9875 S 500 W,SANDY,UT,84070.0,484220.0,4/5/2020
604753,$2-5 million,ALTERNATIVE BEHAVIOR STRATEGIES LLC,515 S 700 STE 2A,SALT LAKE CITY,UT,84102.0,611710.0,4/27/2020
604754,$2-5 million,"AMERICAN CRAFTS, L.C.",588 West 400 South,LINDON,UT,84042.0,423920.0,4/13/2020
604755,$2-5 million,"AMERICAN EQUIPMENT, LLC",451 WEST 3440 SOUTH,SALT LAKE CITY,UT,84115.0,423830.0,5/1/2020
604756,$2-5 million,AMSCO WINDOWS,1880 South 1045 West,SALT LAKE CITY,UT,84104.0,332321.0,4/14/2020
604757,$2-5 million,"ANDRUS TRANSPORTATION SERVICES, INC.",3185 E Deseret Dr,SAINT GEORGE,UT,84790.0,484121.0,4/5/2020
604758,$2-5 million,"ANTHONY WADE, INC.",150 West Hilton Drive,SAINT GEORGE,UT,84770.0,441110.0,4/6/2020
604759,$2-5 million,ANY HOUR INC,1374 WEST 130 SOUTH,OREM,UT,84058.0,238220.0,4/14/2020
604760,$2-5 million,"APPLE MOUNTAIN, LLC",VINE ST,SALT LAKE CITY,UT,84121.0,722513.0,4/8/2020
604761,$2-5 million,ARIIX LLC,563 W 500 S Ste 340,BOUNTIFUL,UT,84010.0,454390.0,5/3/2020
604762,$2-5 million,ARROWHEAD DENTAL INC.,11170 South State Street,SANDY,UT,84070.0,339116.0,4/11/2020
604763,$2-5 million,ASEA LLC,1488 W Pleasant View Dr,PLEASANT GROVE,UT,84062.0,446191.0,4/16/2020
604764,$2-5 million,"AURALCARE HEARING CENTERS OF AMERICA, LLC.",8941 S. 700 E.,SANDY,UT,84070.0,423450.0,4/12/2020
604765,$2-5 million,AUTONOMOUS SOLUTIONS INC.,990 N 8000 W,MENDON,UT,84325.0,541330.0,4/4/2020
604766,$2-5 million,"AVIACODE, INC.",136 East South Temple Suite 1400,SALT LAKE CITY,UT,84111.0,561499.0,4/15/2020
604767,$2-5 million,"BAILEY'S HOLDING COMPANY, INC.",400 N 700 W,NORTH SALT LAKE,UT,84054.0,484121.0,4/7/2020
604768,$2-5 million,"BLUE MOUNTAIN ENERGY, INC.",10714 South Jordan Gateway,SOUTH JORDAN,UT,84095.0,212111.0,4/15/2020
604769,$2-5 million,"BLUE RAVEN SOLAR HOLDINGS, LLC",1403 N Research Way 0.0,OREM,UT,84097.0,551112.0,4/15/2020
604770,$2-5 million,BLUEFIN CORPORATION,165 W 2950 S,SALT LAKE CITY,UT,84115.0,722511.0,4/15/2020
604771,$2-5 million,BODELL CONSTRUCTION COMPANY,586 Fine Drive,SALT LAKE CITY,UT,84115.0,236220.0,4/11/2020
604772,$2-5 million,"BOMAN & KEMP MANUFACTURING, INC.",2393 S. 1900 W. 0.0,OGDEN,UT,84401.0,238120.0,4/10/2020
604773,$2-5 million,"BOX ELEMENTS, INC","3401 N THANKSGIVING WAY, SUITE 300",LEHI,UT,84043.0,541511.0,4/28/2020
604774,$2-5 million,BRADY TRUCKING INC.,5130 South 5400 East,VERNAL,UT,84078.0,484122.0,4/8/2020
604775,$2-5 million,"BRAINSTORM, INC.",10 SOUTH CENTER ST,AMERICAN FORK,UT,84003.0,541613.0,4/10/2020
604776,$2-5 million,BRIDGE LOCATIONS LLC,3158 S MAIN ST,SALT LAKE CITY,UT,84115.0,517312.0,4/13/2020
604777,$2-5 million,"BRIGHTSTAR WIRELESS, INC.",888 S Main St Ste 101,BRIGHAM CITY,UT,84302.0,517911.0,4/14/2020
604778,$2-5 million,"BRONCO UTAH OPERATIONS, LLC",South HWY 10 550 W Consol Rd,EMERY,UT,84522.0,212112.0,4/14/2020
604779,$2-5 million,BULLFROG INTERNATIONAL LC,7017 WEST 11800 SOUTH,HERRIMAN,UT,84096.0,423990.0,4/14/2020
604780,$2-5 million,"BURT BROTHERS, LLC",737 N 400 W,NORTH SALT LAKE,UT,84054.0,441320.0,4/3/2020
604781,$2-5 million,BURTON LUMBER & HARDWARE CO.,1170 S 4400 W,SALT LAKE CITY,UT,84104.0,444190.0,4/8/2020
604782,$2-5 million,"C & E FINANCIAL GROUP, INC.",777 East 4500 South #220,SALT LAKE CITY,UT,84107.0,523930.0,4/30/2020
604783,$2-5 million,"CADENCE INNOVATIONS GROUP, INC.",10855 S River Front Parkway,SOUTH JORDAN,UT,84095.0,524128.0,4/13/2020
604784,$2-5 million,"CANOPY TAX, INC.",4100 N Chapel Ridge Road,LEHI,UT,84043.0,541512.0,4/12/2020
604785,$2-5 million,CANYON LAND DEVELOPMENT I LP,1 Kayenta Road,CANYON POINT,UT,84741.0,721110.0,4/27/2020
604786,$2-5 million,"CANYON VIEW MEDICAL GROUP, LC",325 W Center St,SPANISH FORK,UT,84660.0,621111.0,4/13/2020
604787,$2-5 million,"CASCADE HOLDINGS, LLC",352 GOLD TIP DR,OREM,UT,84058.0,236220.0,4/6/2020
604788,$2-5 million,CENTRAL VALLEY MEDICAL CENTER,48 W 1500 N,NEPHI,UT,84648.0,622110.0,4/4/2020
604789,$2-5 million,CHILDREN'S MIRACLE NETWORK,205 West 700 South,SALT LAKE CITY,UT,84101.0,813211.0,4/3/2020
604790,$2-5 million,"CHRISTOPHERSON ANDAVO TRAVEL, LP",5588 South Green Street,SALT LAKE CITY,UT,84123.0,561510.0,4/11/2020
604791,$2-5 million,CLASSIC AVIATION HOLDINGS LLC,1010 N 500 E #200,NORTH SALT LAKE,UT,84054.0,621910.0,4/13/2020
604792,$2-5 million,COLT BUILDERS CORP.,211 West 4860 South,SALT LAKE CITY,UT,84107.0,236220.0,4/4/2020
604793,$2-5 million,"COMMUNITY HEALTH CENTERS, INC.",2621 S 3270 W,WEST VALLEY CITY,UT,84119.0,621111.0,4/16/2020
604794,$2-5 million,COMPETITIVE STAFFING LLC,8965 S 1300 W,WEST JORDAN,UT,84088.0,561320.0,4/13/2020
604795,$2-5 million,CREDIT CORP SERVICES US COLLECTIONS INC,121 WEST ELECTION RD SUITE 200,DRAPER,UT,84020.0,999990.0,5/3/2020
604796,$2-5 million,CV HOLDINGS LC,3451 N Triumph Blvd Ste 105,LEHI,UT,84043.0,722513.0,4/15/2020
604797,$2-5 million,"D&D MANAGEMENT ENTERPRISES, LLC",81 W 3300 ST Suite B,SALT LAKE CITY,UT,84115.0,722513.0,4/7/2020
604798,$2-5 million,"DAVIS BEHAVIORAL HEALTH, INC",934 South Main St,LAYTON,UT,84041.0,621420.0,4/15/2020
604799,$2-5 million,"DAW CONSTRUCTION GROUP, LLC",12552 South 125 West Suite 100,DRAPER,UT,84020.0,238310.0,5/3/2020
604800,$2-5 million,DESERET GENERATION & TRANSMISSION CO-OPERATIVE,10714 South Jordan Gateway,SOUTH JORDAN,UT,84095.0,221111.0,4/16/2020
604801,$2-5 million,DISRUPTIVE ADVERTISING INC.,384 S 400 W ste 200,LINDON,UT,84042.0,541890.0,4/15/2020
604802,$2-5 million,"DOPPELMAYR USA, INC.",3160 West 500 South,SALT LAKE CITY,UT,84104.0,336999.0,4/13/2020
604803,$2-5 million,DOUG SMITH AUTOPLEX INC,501 West Main Street 0.0,AMERICAN FORK,UT,84003.0,441110.0,4/13/2020
604804,$2-5 million,"DURHAM JONES & PINEGAR, P.C.",111 South Main Street,SALT LAKE CITY,UT,84111.0,541110.0,4/10/2020
604805,$2-5 million,DYNATRONICS LASER CORP.,7030 Park Center Drive,SALT LAKE CITY,UT,84121.0,423450.0,4/28/2020
604806,$2-5 million,"ECHO KILO MANAGEMENT, LLC",160 W Canyon Crest Rd,ALPINE,UT,84004.0,484110.0,4/11/2020
604807,$2-5 million,"ECOBRITE SERVICES, LLC.",425 E 1600 N Ste 9,OREM,UT,84058.0,561720.0,4/15/2020
604808,$2-5 million,"EXPERTVOICE, INC.",9 Exchange Place STE 1000,SALT LAKE CITY,UT,84111.0,541611.0,4/12/2020
604809,$2-5 million,"EXPRESSTECH HOLDING, INC.",580 E Technology Ave STE C-1100,OREM,UT,84097.0,236220.0,4/12/2020
604810,$2-5 million,"FABIAN & CLENDENIN, A PROFESSIONAL CORPORATION",215 South State Street,SALT LAKE CITY,UT,84111.0,541110.0,4/11/2020
604811,$2-5 million,FETZERS INC,6223 W Double Eagle Circle,SALT LAKE CITY,UT,84118.0,337211.0,4/7/2020
604812,$2-5 million,"FIRE ENGINEERING COMPANY, INC.",4717 South 500 West,SALT LAKE CITY,UT,84123.0,238220.0,4/6/2020
604813,$2-5 million,FIRE PROTECTION SERVICE CORPORATION,4155 HARRISON BLVD,OGDEN,UT,84403.0,561621.0,4/10/2020
604814,$2-5 million,"FLUENT HOME, LLC",3400 North 1200 West,LEHI,UT,84043.0,812990.0,4/10/2020
604815,$2-5 million,"FOCUS SERVICES, LLC",4102 S. 1900 W.,ROY,UT,84067.0,561422.0,4/28/2020
604816,$2-5 million,FORELAND REFINING CORPORATION,1582 WEST 2600 SOUTH,WOODS CROSS,UT,84087.0,324110.0,4/28/2020
604817,$2-5 million,FRED A MORETON & COMPANY,101 S 200 E,SALT LAKE CITY,UT,84111.0,524210.0,4/15/2020
604818,$2-5 million,"FTA TRANSPORT, INC",5745 W 300 S,SALT LAKE CITY,UT,84104.0,488510.0,5/1/2020
604819,$2-5 million,"GARFF-WARNER DODGE, LLC",4175 West 3500 South 0.0,WEST VALLEY CITY,UT,84120.0,441110.0,4/10/2020
604820,$2-5 million,"GENERAL DISTRIBUTING COMPANY, THE",5350 West Amelia Earhart Drive,SALT LAKE CITY,UT,84116.0,424810.0,4/8/2020
604821,$2-5 million,"GOENGINEER, INC.",1787 E FORT UNION BLVD Ste 100,SALT LAKE CITY,UT,84121.0,334614.0,4/14/2020
604822,$2-5 million,"GOLD CROSS SERVICES, INC.",1717 S REDWOOD RD,SALT LAKE CITY,UT,84104.0,621910.0,4/13/2020
604823,$2-5 million,"GREAT SALT LAKE ELECTRIC, INC",8540 SANDY PKWY,SANDY,UT,84070.0,238210.0,4/14/2020
