,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,DateApproved
611443,$5-10 million,"ABC IMAGING OF WASHINGTON, INC.",5290 SHAWNEE RD,ALEXANDRIA,VA,22312.0,323111.0,4/6/2020
611444,$5-10 million,"ADAMS COMMUNICATION &AMP; ENGINEERING TECHNOLOGY, INC.",10740 Parkridge Blvd Ste 700,RESTON,VA,20191.0,541512.0,5/3/2020
611445,$5-10 million,AIRLINE TARIFF PUBLICHING CO,45005 Aviation Drive,STERLING,VA,20166.0,518210.0,4/15/2020
611446,$5-10 million,AIRLINES REPORTING CORPORATION,"3000 Arlington Blvd, Suite 300",ARLINGTON,VA,22201.0,481111.0,4/14/2020
611447,$5-10 million,"AMERICAN DIABETES ASSOCIATION, INC.","2451 Crystal Drive, Ste. 900",ARLINGTON,VA,22202.0,813920.0,4/15/2020
611448,$5-10 million,"APPLE EIGHT HOSPITALITY MANAGEMENT, INC.",814 E Main St,RICHMOND,VA,23219.0,721110.0,4/10/2020
611449,$5-10 million,"APPLIED INFORMATION SCIENCES, INC.",11440 COMMERCE PARK DR Ste 600,RESTON,VA,20191.0,541511.0,4/9/2020
611450,$5-10 million,ARCHITECTURE INC,1902 CAMPUS COMMONS DR STE 101,RESTON,VA,20191.0,541310.0,4/10/2020
611451,$5-10 million,"ATLANTIC COAST DINING, INC",4701 COX RD suite 345,GLEN ALLEN,VA,23060.0,722511.0,4/10/2020
611452,$5-10 million,ATS ESOP HOLDINGS INC.,11091 Sunset Hills Road Ste 150,RESTON,VA,20190.0,541930.0,4/16/2020
611453,$5-10 million,BAYVIEW PHYSICIAN SERVICES PC,3241 Western Branch Blvd,CHESAPEAKE,VA,23321.0,621111.0,4/10/2020
611454,$5-10 million,"BLUE RIDGE BEVERAGE COMPANY, INC.",4446 Barley Drive 0.0,SALEM,VA,24153.0,424810.0,4/9/2020
611455,$5-10 million,"BROWN, EDWARDS & COMPANY, L.L.P.",319 MCCLANAHAN ST,ROANOKE,VA,24014.0,541211.0,4/10/2020
611456,$5-10 million,BUCHANAN & EDWARDS INC,1700 N. Moore St. Suite 2110,ARLINGTON,VA,22209.0,541511.0,4/9/2020
611457,$5-10 million,BURGERBUSTERS INC,2242 W GREAT NECK RD,VIRGINIA BEACH,VA,23451.0,722513.0,4/27/2020
611458,$5-10 million,BYTECUBED LLC,2231 CRYSTAL DR Suite 401,ARLINGTON,VA,22202.0,541990.0,4/10/2020
611459,$5-10 million,"C2 TECHNOLOGIES, INC.",1921 GALLOWS RD STE 200,VIENNA,VA,22182.0,519190.0,4/8/2020
611460,$5-10 million,CALIBRE SYSTEMS INC,6354 WALKER LN Ste. 300,ALEXANDRIA,VA,22310.0,541618.0,4/14/2020
611461,$5-10 million,"CHESAPEAKE BAY SEAFOOD HOUSE ASSOCIATES, LLC","8027 LEESBURG PIKE, Suite 300",VIENNA,VA,22182.0,722511.0,4/27/2020
611462,$5-10 million,CLARK NEXSEN INC,4525 Main St Suite 1400,VIRGINIA BEACH,VA,23462.0,541310.0,4/7/2020
611463,$5-10 million,"COLONNA'S SHIP YARD, INCORPORATED",400 East Indian River Rd,NORFOLK,VA,23523.0,336611.0,4/27/2020
611464,$5-10 million,"COMMUNITY RESIDENCES, INC.",14160 NEWBROOK DR 1st Floor,CHANTILLY,VA,20151.0,623210.0,4/14/2020
611465,$5-10 million,"COMPUTER WORLD SERVICES, CORP.",6402 Arlington Blvd Suite 650,FALLS CHURCH,VA,22042.0,541512.0,4/14/2020
611466,$5-10 million,"COMSAT, INC.",2550 Wasser Terrace Suite 6000,HERNDON,VA,20171.0,517410.0,4/11/2020
611467,$5-10 million,"CONVERGED SECURITY SOLUTIONS, LLC",1943 Isaac Newton Square East,RESTON,VA,20190.0,541690.0,4/8/2020
611468,$5-10 million,"CRANEMASTERS, INC.",8020 Whitepine Road,NORTH CHESTERFIELD,VA,23237.0,238990.0,4/13/2020
611469,$5-10 million,"CROSSCOUNTRY CONSULTING, LLC",1600 TYSONS BLVD Suite 1100,MC LEAN,VA,22102.0,541618.0,4/12/2020
611470,$5-10 million,DEJIA LLC,44050 WOODRIDGE PKWY,LEESBURG,VA,20176.0,721110.0,4/27/2020
611471,$5-10 million,"DELTA STAR, INC.",3550 Mayflower Drive,LYNCHBURG,VA,24501.0,335311.0,5/2/2020
