,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,DateApproved
627621,$5-10 million,"PSI TIRE SUPPLY, LLC","9010 Estate Cottage, Suite 2",CHRISTIANSTED,VI,820.0,238290.0,4/14/2020
627622,$2-5 million,VIRGIN ISLANDS TELEPHONE CORP,4611 Tutu Park #200,ST THOMAS,VI,802.0,517911.0,4/16/2020
627623,$1-2 million,"ANTILLES SCHOOL, INC.",7280 Frenchman's Bay 16-1,ST THOMAS,VI,802.0,611110.0,4/14/2020
627624,$1-2 million,FALKEN USVI LLC,6115 Estate Smith Bay Ste 330,ST THOMAS,VI,802.0,561612.0,4/27/2020
627625,$1-2 million,"FREDERIKSTED HEALTH CARE, INC",516 STRAND STREET,FREDERIKSTED,VI,840.0,621111.0,5/3/2020
627626,$1-2 million,"GREAT BAY CONDOMINIUM OWNERS ASSOCIATION, INC.",6910 Great Bay,ST THOMAS,VI,802.0,813990.0,4/27/2020
627627,$1-2 million,"JEWELRY EXCHANGE, INC.",5184 DRONNINGENS GADE,ST THOMAS,VI,802.0,424490.0,4/14/2020
627628,$1-2 million,KAC 357 INC,TUTU PARK PLAZA EXTRA WEST 14 PLESSEN,FREDERIKSTED,VI,840.0,445110.0,4/16/2020
627629,$1-2 million,"PROFESSIONAL DESIGN BUILDERS, INC.",4028 Anna's Retreat,ST THOMAS,VI,802.0,541310.0,4/14/2020
627630,$1-2 million,THE BUCCANEER INC,5007 ESTATE SHOYS PLOT 7,CHRISTIANSTED,VI,820.0,561599.0,4/14/2020
627631,$1-2 million,"VI INDUSTRIAL SERVICES, LLC",6002 Estate Diamond Ruby,CHRISTIANSTED,VI,820.0,237120.0,5/7/2020
627632,"$350,000-1 million","AAC-AIR AMBULANCE CARIBBEAN, INC.",8000 Nisky Center Suite 1,ST. THOMAS,VI,802.0,481211.0,4/14/2020
627633,"$350,000-1 million",BOHLKE LLC,Henry Rohlsen Airport RR#1 Box 9936,CHRISTENSTED,VI,850.0,481211.0,4/14/2020
627634,"$350,000-1 million",BROADBAND VI LLC,HOSPITAL ST,CHRISTIANSTED,VI,820.0,517311.0,4/8/2020
627635,"$350,000-1 million","COMPREHENSIVE ORTHOPEDICS, PLLC","9151 Estate Thomas, Suite 206",ST THOMAS,VI,802.0,621111.0,4/14/2020
627636,"$350,000-1 million",CORAL WORLD (V.I.) INC.,6450 Coki Point,ST THOMAS,VI,802.0,713990.0,4/11/2020
627637,"$350,000-1 million","DAILY NEWS PUBLISHING CO., INC.",9155 ESTATE THOMAS,ST THOMAS,VI,802.0,511110.0,4/15/2020
627638,"$350,000-1 million",DEMAH INC,18a 2 Estate Smith Bay,ST THOMAS,VI,802.0,445110.0,4/16/2020
