,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,DateApproved
627793,$5-10 million,BENNINGTON COLLEGE CORPORATION,1 COLLEGE DR,BENNINGTON,VT,5201.0,611310.0,4/12/2020
627794,$5-10 million,"COPLEY HOSPITAL, INC.",528 WASHINGTON HWY,MORRISVILLE,VT,5661.0,622110.0,4/27/2020
627795,$5-10 million,"GW PLASTICS, INC.",239 PLEASANT ST,BETHEL,VT,5032.0,339112.0,4/5/2020
627796,$5-10 million,ITECH US INC,20 KIMBALL AVE Ste 303N,SOUTH BURLINGTON,VT,5403.0,541512.0,4/8/2020
627797,$5-10 million,MOMENTUM MANFACTURING GROUP LLC,210 PIERCE RD,SAINT JOHNSBURY,VT,5819.0,332710.0,4/5/2020
627798,$5-10 million,PC CONSTRUCTION COMPANY,193 TILLEY DR,SOUTH BURLINGTON,VT,5403.0,237110.0,4/11/2020
627799,$5-10 million,VERMONT ENERGY INVESTMENT CORPORATION,20 Winooski Falls Way,WINOOSKI,VT,5404.0,541690.0,4/5/2020
627800,$2-5 million,AUTUMN HARP INC,26 THOMPSON DRIVE,ESSEX JUNCTION,VT,5452.0,325620.0,4/9/2020
627801,$2-5 million,BAKER DISTRIBUTING CORPORATION,130 Orion Drive,COLCHESTER,VT,5446.0,424810.0,4/7/2020
627802,$2-5 million,"BELLAVANCE TRUCKING, INC.",PO BOX 398,BARRE,VT,5641.0,484110.0,4/12/2020
627803,$2-5 million,"BOWL NEW ENGLAND, INC.",506 HERCULES DR,COLCHESTER,VT,5446.0,713950.0,4/27/2020
627804,$2-5 million,BURR & BURTON SEMINARY,57 Seminary Ave,MANCHESTER,VT,5254.0,611110.0,4/9/2020
627805,$2-5 million,"CABOT HOSIERY MILLS, INC",364 WHETSTONE DR,NORTHFIELD,VT,5663.0,315110.0,4/5/2020
627806,$2-5 million,CARLOS G OTIS HEALTH CARE CENTER INC,185 Grafton Rd,TOWNSHEND,VT,5353.0,622110.0,4/6/2020
627807,$2-5 million,CERSOSIMO LUMBER COMPANY INC.,1103 VERNON ST,BRATTLEBORO,VT,5301.0,423310.0,4/5/2020
627808,$2-5 million,"COMMUNITY HEALTH CENTERS OF BURLINGTON, INC.",617 Riverside Avenue,BURLINGTON,VT,5401.0,621498.0,4/11/2020
627809,$2-5 million,"COMMUNITY HEALTH CENTERS OF THE RUTLAND REGION, INC.",71 ALLEN ST SUITE 101,RUTLAND,VT,5701.0,621111.0,4/5/2020
627810,$2-5 million,CONTROL TECHNOLOGIES,121 PARK AVE,WILLISTON,VT,5495.0,238210.0,4/5/2020
627811,$2-5 million,D.E.W. CONSRUCTION CORP.,277 Blair Park Rd Suite 130,WILLISTON,VT,5495.0,236220.0,4/9/2020
627812,$2-5 million,DOWNS RACHLIN MARTIN PLLC,90 PROSPECT ST,SAINT JOHNSBURY,VT,5819.0,541110.0,4/9/2020
627813,$2-5 million,"DUBOIS & KING, INC.",28 N. MAIN ST,RANDOLPH,VT,5060.0,541330.0,4/7/2020
627814,$2-5 million,"ENGELBERTH CONSTRUCTION, INC.",150 WATER TOWER CIR,COLCHESTER,VT,5446.0,236116.0,4/5/2020
627815,$2-5 million,ENGINEERS CONSTRUCTION INC.,98 ENGINEERS DR,WILLISTON,VT,5495.0,237310.0,4/5/2020
627816,$2-5 million,EUSTIS CABLE ENTERPRISES LTD,355 EAST ST,BROOKFIELD,VT,5036.0,237130.0,5/7/2020
627817,$2-5 million,FARRELL DISTRIBUTING CORPORATION,5 Holmes Road,SOUTH BURLINGTON,VT,5403.0,424490.0,4/14/2020
627818,$2-5 million,FOODSCIENCE CORPORATION,929 HARVEST LN,WILLISTON,VT,5495.0,424210.0,4/11/2020
627819,$2-5 million,GALVION BALLISTICS LTD.,30 Industrial Drive,NEWPORT,VT,5855.0,339999.0,4/15/2020
627820,$2-5 million,"GARDENER'S SUPPLY COMPANY, INC",128 Intervale Road,BURLINGTON,VT,5401.0,444220.0,4/13/2020
627821,$2-5 million,HAZELETT STRIP-CASTING CORP.,135 West Lakeshore Drive,COLCHESTER,VT,5446.0,333519.0,4/8/2020
627822,$2-5 million,HERITAGE AUTOMOTIVE GROUP INC,30 GREEN MOUNTAIN DRIVE,SOUTH BURLINGTON,VT,5403.0,441110.0,4/12/2020
627823,$2-5 million,HUBBARDTON FORGE LLC,154 Route 30 South,CASTLETON,VT,5735.0,335121.0,4/11/2020
627824,$2-5 million,"JOLLEY ASSOCIATES, LLC",54 Lower Welden St,SAINT ALBANS,VT,5478.0,446110.0,4/15/2020
627825,$2-5 million,KAYCAN LTD,402 Boyer Cir,WILLISTON,VT,5495.0,423330.0,5/3/2020
627826,$2-5 million,"KOFFEE KUP DONUT SHOP, INC.",59 Rathe Rd. Suite 100,COLCHESTER,VT,5446.0,311812.0,4/30/2020
