,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,DateApproved
629335,$5-10 million,3MD INC DBA DENALI ADVANCED INTEGRATION,17735 NE 65TH STREET SUITE 130,REMOND,WA,98052.0,,5/3/2020
629336,$5-10 million,"A PLACE FOR ROVER, INC.",720 Olive Way Suite 1900,SEATTLE,WA,98101.0,454110.0,4/15/2020
629337,$5-10 million,ABSHER CONSTRUCTION CO.,1001 Shaw Road,PUYALLUP,WA,98372.0,236220.0,4/13/2020
629338,$5-10 million,"ALLIANCE BUILDING SERVICES, LLC",3300 MAPLE VALLEY HWY,RENTON,WA,98058.0,561720.0,4/27/2020
629339,$5-10 million,"ANCHOR QEA, LLC","1201 3rd Avenue, Suite 2600",SEATTLE,WA,98101.0,541620.0,4/15/2020
629340,$5-10 million,"AUBURN MECHANICAL, INC.",2623 WEST VALLEY HWY N,AUBURN,WA,98001.0,238220.0,4/7/2020
629341,$5-10 million,"AXIA FINANCIAL, LLC",1120 112TH AVE NE STE 600,BELLEVUE,WA,98004.0,522292.0,4/16/2020
629342,$5-10 million,"BARGREEN-ELLINGSON, INC",6626 tacoma mall blvd,TACOMA,WA,98409.0,423440.0,4/15/2020
629343,$5-10 million,"BODY CONTOUR CENTERS, LLC",5000 Carillon Pt,KIRKLAND,WA,98033.0,621111.0,4/11/2020
629344,$5-10 million,BRIDGE PARTNERS LLC,10510 NORTHUP WAY STE 350,KIRKLAND,WA,98033.0,541613.0,4/16/2020
629345,$5-10 million,"BURGERVILLE, LLC",109 West 17TH ST,VANCOUVER,WA,98660.0,722513.0,4/14/2020
629346,$5-10 million,BURKHART DENTAL SUPPLY COMPANY,2502 S 78th St,TACOMA,WA,98409.0,423450.0,4/11/2020
629347,$5-10 million,"CAMBRIDGE MANAGEMENT, INC.",1911 65th Ave. West,TACOMA,WA,98466.0,531311.0,4/30/2020
629348,$5-10 million,CENTERLINE LOGISTICS CORPORATION,910 SW Spokane St,SEATTLE,WA,98134.0,483211.0,4/28/2020
629349,$5-10 million,CENTRAL WELDING SUPPLY CO INC.,13300 38th Ave NE,MARYSVILLE,WA,98271.0,423830.0,4/6/2020
629350,$5-10 million,"CHRISTENSEN, INC.",1060 JADWIN AVE STE 150,RICHLAND,WA,99352.0,424720.0,4/13/2020
629351,$5-10 million,COLUMBIA MACHINE INC.,107 Grand  Blvd,VANCOUVER,WA,98661.0,333249.0,4/27/2020
629352,$5-10 million,COMAGINE HEALTH,10700 Meridian Ave N.,SEATTLE,WA,98133.0,621999.0,4/28/2020
629353,$5-10 million,COMMUNITY HEALTH OF CENTRAL WASHINGTON,501 S 5th Ave,YAKIMA,WA,98902.0,621111.0,4/10/2020
629354,$5-10 million,COMPASS HEALTH,4526 FEDERAL AVE Building 4E,EVERETT,WA,98203.0,621420.0,4/28/2020
629355,$5-10 million,"CRUNCH PAK HOLDING COMPANY, LLC",300 Sunset Ave,CASHMERE,WA,98815.0,115114.0,4/13/2020
629356,$5-10 million,D AMATO CONVERSANTO INC,818 STEWART ST #1000,SEATTLE,WA,98101.0,541330.0,4/6/2020
629357,$5-10 million,DAILY DOZEN DOUGHNUT CO,93 PIKE ST,SEATTLE,WA,98101.0,445291.0,6/17/2020
629358,$5-10 million,"ELECTROIMPACT, INC.",4413 Chennault Beach Rd,MUKILTEO,WA,98275.0,336413.0,4/28/2020
629359,$5-10 million,EMERALD CITY PIZZA LLC,12121 Harbour Reach Dr. #200,MUKILTEO,WA,98275.0,722513.0,4/13/2020
629360,$5-10 million,EVERGREEN RESTAURANT GROUP LLC,1180 NW Maple Street 105,ISSAQUAH,WA,98027.0,722511.0,4/15/2020
629361,$5-10 million,"EXPERT DRYWALL, INC.",15140 NE 92nd St,REDMOND,WA,98052.0,238310.0,4/9/2020
629362,$5-10 million,"EXTRAHOP NETWORKS, INC.",520 Pike Street Suite 1700,SEATTLE,WA,98101.0,511210.0,4/13/2020
629363,$5-10 million,"FAMILY CARE NETWORK, P.L.L.C.",709 W Orchard Dr,BELLINGHAM,WA,98225.0,621111.0,4/12/2020
629364,$5-10 million,FOSTER GARVEY P.C.,1111 3rd Ave. Suite 3000,SEATTLE,WA,98101.0,541110.0,4/15/2020
629365,$5-10 million,"FRESH CONSULTING, INC.",14725 36TH ST Suite 300,BELLEVUE,WA,98006.0,541512.0,4/29/2020
629366,$5-10 million,GARCO CONSTRUCTION INC.,4114 E Broadway Ave,SPOKANE,WA,99202.0,236220.0,4/6/2020
629367,$5-10 million,GARY MERLINO CONSTRUCTION CO. INC.,9125 10th Ave S,SEATTLE,WA,98108.0,237310.0,4/15/2020
629368,$5-10 million,"GEOENGINEERS, INC.","17425 NE Union Hill Rd., STE 250",REDMOND,WA,98052.0,541330.0,4/15/2020
629369,$5-10 million,"GILBERT ORCHARDS, INC.",10804 Gilbert Road,YAKIMA,WA,98903.0,484110.0,4/13/2020
629370,$5-10 million,GLY CONSTRUCTION INC.,200 112 AVE NE; Suite 300,BELLEVUE,WA,98004.0,236220.0,4/15/2020
629371,$5-10 million,"GORDON TRUCK CENTERS, INC.",277 Stewart Road SW,PACIFIC,WA,98047.0,441110.0,4/13/2020
