,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,DateApproved
645184,$5-10 million,"A LIFE STYLE SERVICE, INC.",672 West Washington Avenue,MADISON,WI,53703.0,561320.0,4/28/2020
645185,$5-10 million,AIR WISCONSIN AIRLINES LLC,"W6390 Challenger Dr, Suite 203 0.0",APPLETON,WI,54914.0,481111.0,4/10/2020
645186,$5-10 million,"ALTO-SHAAM, INC.",W164 N9221 Water Street 0.0,MENOMONEE FALLS,WI,53051.0,333318.0,4/9/2020
645187,$5-10 million,AMERICAN ORTHODONTICS CORPORATION,3524 WASHINGTON AVE,SHEBOYGAN,WI,53081.0,339114.0,4/15/2020
645188,$5-10 million,ARANDELL CORPORATION,N82 W13118 Leon Road,MENOMONEE FALLS,WI,53051.0,323111.0,4/8/2020
645189,$5-10 million,"AUGUST WINTER & SONS, INC.",2323 N Roemer Rd.,APPLETON,WI,54911.0,238210.0,4/8/2020
645190,$5-10 million,"AUTO TRANSTECH, INC.",8700 N SERVITE DR,MILWAUKEE,WI,53223.0,336350.0,4/9/2020
645191,$5-10 million,AYRES ASSOCIATES INC,3433 Oakwood Hills Parkway,EAU CLAIRE,WI,54701.0,541330.0,4/4/2020
645192,$5-10 million,"BADER RUTTER & ASSOCIATES, INC.",1433 N. WATER ST,MILWAUKEE,WI,53202.0,541810.0,4/8/2020
645193,$5-10 million,BADGER MINING CORPORATION,409 CHURCH ST,BERLIN,WI,54923.0,212322.0,4/9/2020
645194,$5-10 million,BASSETT INC.,1215 HYLAND AVE,KAUKAUNA,WI,54130.0,238220.0,4/4/2020
645195,$5-10 million,"BELL LABORATORIES, INC.",3699 Kinsman Blvd,MADISON,WI,53704.0,325320.0,4/8/2020
645196,$5-10 million,"BLACK RIVER MEMORIAL HOSPITAL, INC.",711 W ADAMS ST,BLACK RIVER FALLS,WI,54615.0,622110.0,4/8/2020
645197,$5-10 million,"BOSTON, INC",2917 Business Park Drive,STEVENS POINT,WI,54482.0,442110.0,4/8/2020
645198,$5-10 million,"BROADWIND HEAVY FABRICATORS, INC.",101 S  16TH ST,MANITOWOC,WI,54220.0,333612.0,4/5/2020
645199,$5-10 million,BRODERSEN MANAGEMENT CORP,101 W. Capito Drive,MILWAUKEE,WI,53212.0,722310.0,4/10/2020
645200,$5-10 million,"BRUNO INDEPENDENT LIVING AIDS, INC.",1780 Executive Drive 0.0,OCONOMOWOC,WI,53066.0,339113.0,4/10/2020
645201,$5-10 million,"BUTTERS-FETTING CO., INC.",1669 S  1ST ST,MILWAUKEE,WI,53204.0,238210.0,4/10/2020
645202,$5-10 million,"C.G. BRETTING MANUFACTURING CO., INC",3401 Lake Park Rd,ASHLAND,WI,54806.0,322211.0,4/28/2020
645203,$5-10 million,"CORPORATE GROUP, INC.",7123 W Calumet Road,MILWAUKEE,WI,53223.0,238210.0,4/7/2020
645204,$5-10 million,COURTESY CORPORATION,2700 National Drive Ste 100,ONALASKA,WI,54650.0,722513.0,4/10/2020
