,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,DateApproved
657539,$5-10 million,AMHERST MADISON INC,2 Port Amherst Dr,CHARLESTON,WV,25306.0,483211.0,4/10/2020
657540,$5-10 million,GREENBRIAR HOTEL CORPORATION,"101 Main Street, West",WHITE SULPHUR SPRINGS,WV,24986.0,721110.0,4/29/2020
657541,$5-10 million,J.W. EBERT CORP,"917 W Main Street, Suite 201",BRIDGEPORT,WV,26330.0,722513.0,4/4/2020
657542,$5-10 million,"LEXINGTON COAL COMPANY, INC",1051 Main St,MILTON,WV,25541.0,213113.0,4/27/2020
657543,$5-10 million,"NITRO CONSTRUCTION SERVICES, INC.",4300 1st Ave,NITRO,WV,25143.0,237120.0,4/7/2020
657544,$5-10 million,NOBORNE PRESCHOOL AND DAYCARE CENTER,200 KING ST,MARTINSBURG,WV,25401.0,624410.0,4/28/2020
657545,$5-10 million,PLEASANT VALLEY HOSPITAL INC,2520 VALLEY DR,POINT PLEASANT,WV,25550.0,622110.0,4/27/2020
657546,$5-10 million,"THE THRASHER GROUP, INC.",600 White Oaks Blvd,BRIDGEPORT,WV,26330.0,541330.0,4/6/2020
657547,$5-10 million,TRITON CONSTRUCTION INC,1944 WINFIELD RD,SAINT ALBANS,WV,25177.0,237310.0,4/10/2020
657548,$2-5 million,A.C.M. INC.,110 CASTLEWOOD LN,SUMMERSVILLE,WV,26651.0,484220.0,4/14/2020
657549,$2-5 million,"ALLIED FOOD INDUSTRIES, INC.",3210 WASHINGTON BLVD,HUNTINGTON,WV,25705.0,722513.0,4/27/2020
657550,$2-5 million,"AMERICAN MEDICAL FACILITIES MANAGEMENT, LLC",240 Capitol Street,CHARLESTON,WV,25301.0,541611.0,4/13/2020
657551,$2-5 million,ANDERSON EXCAVATING LLC,343 WILLIAMS RD,MORGANTOWN,WV,26501.0,238910.0,4/7/2020
657552,$2-5 million,APPLIED CONSTRUCTION SOLUTIONS INC.,1000 Jerry Dove Drive Suite 200,BRIDGEPORT,WV,26330.0,237990.0,4/5/2020
657553,$2-5 million,ARNETT CARBIS TOOTHMAN LLP,101 WASHINGTON ST E,CHARLESTON,WV,25301.0,541211.0,4/7/2020
657554,$2-5 million,AYERS CONSTRUCTION COMPANY INC,137 Lonnies Lane,BECKLEY,WV,25801.0,236220.0,4/14/2020
657555,$2-5 million,"BAILEY & GLASSER, LLP",209 Capitol Street,CHARLESTON,WV,25301.0,541110.0,4/8/2020
657556,$2-5 million,BLUE GOLD MINE SERVICES LLC,726 E Park Ave PMB 260,FAIRMONT,WV,26554.0,561330.0,4/13/2020
657557,$2-5 million,"BOONE MEMORIAL HOSPITAL, INC.",701 Madison Avenue,MADISON,WV,25130.0,622110.0,4/27/2020
657558,$2-5 million,BOWLES RICE LLP,500 Virginia Street E,CHARLESTON,WV,25301.0,541110.0,4/5/2020
