,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,DateApproved
659839,$5-10 million,"CYCLONE DRILLING, INC.",5800 Mohan Road PO Box 908,GILLETTE,WY,82717.0,213112.0,4/6/2020
659840,$5-10 million,EAGLE SPECIALTY MATERIALS LLC,PO Box 3039,GILLETTE,WY,82718.0,212393.0,4/11/2020
659841,$5-10 million,"EPCON PARTNERS, INC",724 FRONT ST Ste 507,EVANSTON,WY,82930.0,541990.0,4/6/2020
659842,$5-10 million,L & H INDUSTRIAL INC.,913 L & J Court,GILLETTE,WY,82718.0,333120.0,4/6/2020
659843,$5-10 million,NORTH LINCOLN COUNTY HOSPITAL DISTRICT,901 Adams Street,AFTON,WY,83110.0,622110.0,4/27/2020
659844,$5-10 million,"POWELL VALLEY HEALTCH CARE, INC.",777 Avenue H,POWELL,WY,82435.0,622110.0,4/5/2020
659845,$5-10 million,"REDI SERVICES, LLC",225 W OWEN ST,LYMAN,WY,82937.0,213112.0,4/7/2020
659846,$5-10 million,TRIHYDRO CORPORATION,1252 Commerce Dr,LARAMIE,WY,82070.0,541330.0,4/9/2020
659847,$2-5 million,ALTITUDE ENERGY PARTNERS LLC,7179 W. Derrick Dr,CASPER,WY,82604.0,213111.0,4/15/2020
659848,$2-5 million,"ARCTIC ENERGY SERVICES, LLC",1474 Willer Drive,CASPER,WY,82604.0,213112.0,4/14/2020
659849,$2-5 million,"AUTOMATION & ELECTRONICS, INC.",610 W Platte Rd,CASPER,WY,82601.0,334419.0,4/6/2020
659850,$2-5 million,DIXON BROS INC,5093 E Highway 16,NEWCASTLE,WY,82701.0,484230.0,4/10/2020
659851,$2-5 million,"FAT DOUGH, INC.",1542 N Main Street,SHERIDAN,WY,82801.0,722513.0,4/10/2020
659852,$2-5 million,"GEM CITY BONE & JOINT, P.C.",1909 VISTA DR,LARAMIE,WY,82070.0,621111.0,4/9/2020
659853,$2-5 million,GRANITE PEAK FABRICATION LLC,2291 Renauna Ave,CASPER,WY,82601.0,332999.0,4/8/2020
659854,$2-5 million,JOHNSON COUNTY HOSPITAL DISTRICT,497 W Lott Street,BUFFALO,WY,82834.0,622110.0,4/8/2020
659855,$2-5 million,KMS TRADERS GROUP LLC,"1740 DELL RANGE BLVD, STE H",CHEYENNE,WY,82009.0,541511.0,6/25/2020
659856,$2-5 million,MEMORIAL HOSPITAL OF CARBON COUNTY,2221 W ELM ST,RAWLINS,WY,82301.0,622110.0,4/28/2020
659857,$2-5 million,MEMORIAL HOSPITAL OF CONVERSE COUNTY,700 East CENTER ST,DOUGLAS,WY,82633.0,622110.0,4/15/2020
659858,$2-5 million,MOUNTAIN WEST FARM BUREAU,831 Boulder Dr,LARAMIE,WY,82070.0,524126.0,4/8/2020
659859,$2-5 million,NORTH BIG HORN HOSPITAL DISTRICT,1115 Lane 12,LOVELL,WY,82431.0,622110.0,4/10/2020
659860,$2-5 million,NORTHERN ARAPAHO ENTERPRISE 2,PO Box 1989,RIVERTON,WY,82501.0,921150.0,4/16/2020
659861,$2-5 million,"PATHFINDER INSPECTIONS AND FIELD SERVICES, LLC",1176 Robertson Circle,GILLETTE,WY,82718.0,213112.0,4/3/2020
659862,$2-5 million,"R&R SERVICES, INC.",57 BILL HALL RD,DOUGLAS,WY,82633.0,213112.0,4/6/2020
659863,$2-5 million,SOUTH LINCOLN HOSPITAL DISTRICT,711 Onyx St,KEMMERER,WY,83101.0,622110.0,5/1/2020
659864,$2-5 million,SST ENERGY CORPORATION,8901 W Yellowstone Hwy,CASPER,WY,82604.0,213111.0,4/15/2020
659865,$2-5 million,"TACO JOHN'S INTERNATIONAL, INC.",808 West 20th Street,CHEYENNE,WY,82001.0,722513.0,4/6/2020
659866,$2-5 million,VERTEX MANAGEMENT GROUP LLC,2232 Dell Range Blvd Ste 245,CHEYENNE,WY,82009.0,541613.0,6/29/2020
659867,$2-5 million,WALLICK & VOLK INC,222 E 18th Street,CHEYENNE,WY,82001.0,522310.0,4/6/2020
659868,$2-5 million,WESTERN ECOSYSTEMS TECHNOLOGY INC.,415 W 17th Street Suite 200,CHEYENNE,WY,82001.0,541990.0,4/6/2020
659869,$2-5 million,WIND RIVER CASINO,180 Rd Wolf Pl,RIVERTON,WY,82501.0,921150.0,4/28/2020
659870,$2-5 million,WIND RIVER FAMILY AND COMMUNITY HEALTH CARE,511 N 12th St. E,RIVERTON,WY,82501.0,921150.0,4/28/2020
659871,$2-5 million,"WISE SERVICES, LLC",541 STATE HIGHWAY 413 PO BOX 427,LYMAN,WY,82937.0,237990.0,4/6/2020
659872,$1-2 million,609 CONSULTING LLC,1095 Saberton Ave.,SHERIDAN,WY,82801.0,541330.0,4/6/2020
659873,$1-2 million,71 CONSTRUCTION,7072 BARTON DR,CASPER,WY,82604.0,237310.0,4/4/2020
659874,$1-2 million,AUSTIN ENGINEERING USA  INC.,415 W. 1st Street,MILLS,WY,82644.0,336211.0,4/16/2020
659875,$1-2 million,BIG HORN COOPERATIVE MARKETING ASSOCIATION,PO BOX 591 4784 HWY 310,GREYBULL,WY,82426.0,447190.0,4/5/2020
659876,$1-2 million,BIG HORN TIRE INC,501 WESTSIDE DR,GILLETTE,WY,82718.0,441320.0,4/10/2020
659877,$1-2 million,BUFFALO BILL MEMORIAL ASSOCIATION,720 SHERIDAN AVE,CODY,WY,82414.0,712110.0,4/27/2020
659878,$1-2 million,CANNON OIL & GAS WELL SERVICE INC,348 TURRET DR,ROCK SPRINGS,WY,82901.0,211120.0,4/7/2020
