,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,DateApproved
661202,"$350,000-1 million",AERO BOX LLC,,,XX,,484210.0,5/3/2020
661203,"$350,000-1 million",BOYER CHILDREN'S CLINIC,1850 BOYER AVE E,SEATTLE,XX,98112.0,,5/3/2020
661204,"$350,000-1 million",KIRTLEY CONSTRUCTION INC,1661 MARTIN RANCH RD,SAN BERNARDINO,XX,92407.0,236115.0,5/3/2020
661205,"$350,000-1 million","PLEASANT PLACES, INC.",7684 Southrail Road,NORTH CHARLESTON,XX,29420.0,561730.0,5/3/2020
661206,"$350,000-1 million","SUMTER COATINGS, INC.",2410 Highway 15 South,SUMTER,XX,29150.0,325510.0,5/3/2020
661207,"$150,000-350,000",CHURCH SQUARE PHARMACY INC,,,XX,,424210.0,5/3/2020
661208,"$150,000-350,000",FERNANDINA BEACH HOTEL GROUP LLC,,,XX,,721110.0,5/3/2020
661209,"$150,000-350,000",FRUIT COVE BAPTIST CHURCH OF JACKSONVILLE FL INC,501 State Road 13,SAINT JOHNS,XX,32259.0,813110.0,5/3/2020
661210,"$150,000-350,000",HUDSON EXTRUSIONS INC.,,,XX,,326199.0,5/3/2020
661211,"$150,000-350,000",MIAMITOWN AUTO PARTS AND RECYCLING INC,,,XX,,423140.0,5/3/2020
661212,"$150,000-350,000","MILFAST INDUSTRIAL SUPPLY, INC",,,XX,,423840.0,5/3/2020
661213,"$150,000-350,000",NOT AVAILABLE,,,XX,,339114.0,5/3/2020
661214,"$150,000-350,000",NOT AVAILABLE,,,XX,,339114.0,5/3/2020
661215,"$150,000-350,000",NOT AVAILABLE,,,XX,,339114.0,5/3/2020
661216,"$150,000-350,000",OTTAWA PRODUCTS CO INC,,,XX,,332510.0,5/3/2020
661217,"$150,000-350,000",POPPYCOCKS INC,,,XX,,444220.0,5/3/2020
