LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD;
"$5-10 million,""ARCTIC SLOPE NATIVE ASSOCIATION, LTD."",7000 Uula St,BARROW,AK,99723,813920,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,295,4/14/2020,""National Cooperative Bank, National Association"",AK - 00";
$5-10 million,CRUZ CONSTRUCTION INC,7000 East Palmer Wasilla Hwy,PALMER,AK,99645,238190,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,215,4/15/2020,First National Bank Alaska,AK - 00;
"$5-10 million,""I. C. E. SERVICES, INC"",2606 C Street,ANCHORAGE,AK,99503,722310,Corporation,Unanswered,Unanswered,Unanswered,,367,4/11/2020,KeyBank National Association,AK - 00";
"$5-10 million,KATMAI HEALTH SERVICES LLC,""11001 O'MALLEY CENTRE DRIVE, SUITE 204"",ANCHORAGE,AK,99515,621111,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,4/29/2020,Truist Bank d/b/a Branch Banking & Trust Co,AK - 00";
$5-10 million,MATANUSKA TELEPHONE ASSOCIATION,1740 S. CHUGACH ST,PALMER,AK,99645,517311,Cooperative,Unanswered,Unanswered,Unanswered,,267,6/10/2020,CoBank ACB,AK - 00;
"$5-10 million,""NANA WORLEY, LLC"",""3700 Centerpoint Drive, 7th floor"",ANCHORAGE,AK,99503,541330,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,231,5/19/2020,First National Bank Alaska,AK - 00";
"$5-10 million,""NORTHERN ENERGY SERVICES, LLC"",6250 South Airpark Place,ANCHORAGE,AK,99502,213112,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,298,4/6/2020,Northrim Bank,AK - 00";
$5-10 million,SOUTH PENINSULA HOSPITAL INC,4300 BARTLETT STREET,HOMER,AK,99603,622110,Corporation,Unanswered,Unanswered,Unanswered,,439,4/14/2020,First National Bank Alaska,AK - 00;
"$5-10 million,""TATITLEK TECHNOLOGIES, INC."",561 E. 36th Avenue,ANCHORAGE,AK,99503,518210,Corporation,Unanswered,Unanswered,Unanswered,,361,4/14/2020,KeyBank National Association,AK - 00";
"$5-10 million,""TYONEK GLOBAL SERVICES, LLC"",1689 C ST,ANCHORAGE,AK,99501,611420,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,4/30/2020,BBVA USA,AK - 00";
"$5-10 million,""TYONEK WORLDWIDE SERVICES, INC."",1689 C ST,ANCHORAGE,AK,99501,488190,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,0,4/30/2020,BBVA USA,AK - 00";
"$5-10 million,""YULISTA TACTICAL, LLC"",5015 BUSINESS PARK BLVD Suite 3000,ANCHORAGE,AK,99503,541614,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,220,4/16/2020,KeyBank National Association,AK - 00";
"$2-5 million,""ADVANCED SUPPLY CHAIN INTERNATIONAL, LLC"",2525 GAMBELL ST Ste 405,ANCHORAGE,AK,99503,493190,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,126,4/8/2020,Northrim Bank,AK - 00";
"$2-5 million,""AHTNA CONSTRUCTION &AMP";" PRIMARY PRODUCTS COMPANY, LLC"",110 W 38th Ave Ste 100,ANCHORAGE,AK,99503,237310,,Unanswered,Unanswered,Unanswered,,135,5/3/2020,""Bank of America, National Association"",AK - 00"
"$2-5 million,AHTNA ENVIRONMENTAL INC,110 W 38th Ave Ste 200B,ANCHORAGE,AK,99503,562910,Corporation,Unanswered,Unanswered,Unanswered,,180,4/29/2020,""Bank of America, National Association"",AK - 00";
"$2-5 million,AHTNA PROFESSIONAL SERVICES INC,110 W 38th Ave Ste 200F,ANCHORAGE,AK,99503,541513,Corporation,Unanswered,Unanswered,Unanswered,,216,4/27/2020,""Bank of America, National Association"",AK - 00";
"$2-5 million,AHTNA SUPPORT AND TRAINING SERVICES LLC,110 W 38th Ave Ste 100,ANCHORAGE,AK,99503,541690,,Unanswered,Unanswered,Unanswered,,484,5/3/2020,""Bank of America, National Association"",AK - 00";
"$2-5 million,""ALASKA CENTRAL EXPRESS, INC."",5901 Lockheed Avenue,ANCHORAGE,AK,99502,481112,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,158,4/4/2020,Northrim Bank,AK - 00";
