cd_industry,ds_naics_industry,ds_naics_sector,ds_naics_supersector,ds_naics_domain,cd_sic_code,ds_sic_description,cd_industry_sector
32211,Pulp mills,Manufacturing,Manufacturing,Goods-producing,,,32
311312,Cane sugar refining,Manufacturing,Manufacturing,Goods-producing,,,31
323115,Digital printing,Manufacturing,Manufacturing,Goods-producing,,,32
111,Crop production,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
1111,Oilseed and grain farming,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
11111,Soybean farming,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
111110,Soybean farming,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,116,Soybeans,11
11112,"Oilseed, except soybean, farming","Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
111120,"Oilseed, except soybean, farming","Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,119,"Cash Grains, Nec",11
11113,Dry pea and bean farming,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
111130,Dry pea and bean farming,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,119,"Cash Grains, Nec",11
11114,Wheat farming,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
111140,Wheat farming,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,111,wheat,11
11115,Corn farming,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
111150,Corn farming,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,115,Corn,11
11116,Rice farming,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
111160,Rice farming,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,112,Rice,11
11119,Other grain farming,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
111191,Oilseed and grain combination farming,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,119,"Cash Grains, Nec",11
111199,All other grain farming,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,119,"Cash Grains, Nec",11
1112,Vegetable and melon farming,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
11121,Vegetable and melon farming,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
111211,Potato farming,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,134,Irish Potatoes,11
111219,Other vegetable and melon farming,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,139,"Field Crops, Except Cash Grain",11
1113,Fruit and tree nut farming,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
11131,Orange groves,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
111310,Orange groves,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,174,Citrus Fruits,11
11132,"Citrus, except orange, groves","Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
111320,"Citrus, except orange, groves","Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,174,Citrus Fruits,11
11133,Noncitrus fruit and tree nut farming,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
111331,Apple orchards,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,175,Deciduous Tree Fruits,11
111332,Grape vineyards,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,172,Grapes,11
111333,Strawberry farming,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,171,Berry Crops,11
111334,"Berry, except strawberry, farming","Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,171,Berry Crops,11
111335,Tree nut farming,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,173,Tree Nuts,11
111336,Fruit and tree nut combination farming,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,179,"Fruits and Tree Nuts, Nec",11
111339,Other noncitrus fruit farming,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,175,Deciduous Tree Fruits,11
1114,Greenhouse and nursery production,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
11141,Food crops grown under cover,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
111411,Mushroom production,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,182,Food Crops Grown Under Cover,11
111419,Other food crops grown under cover,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,182,Food Crops Grown Under Cover,11
11142,Nursery and floriculture production,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
111421,Nursery and tree production,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,181,Ornamental Nursery Products,11
111422,Floriculture production,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,181,Ornamental Nursery Products,11
1119,Other crop farming,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
11191,Tobacco farming,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
111910,Tobacco farming,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,132,Tobacco,11
11192,Cotton farming,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
111920,Cotton farming,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,131,Cotton,11
11193,Sugarcane farming,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
111930,Sugarcane farming,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,133,Sugarcane and Sugar Beets,11
11194,Hay farming,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
111940,Hay farming,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,139,"Field Crops, Except Cash Grain",11
32731,Cement manufacturing,Manufacturing,Manufacturing,Goods-producing,,,32
11199,All other crop farming,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
111991,Sugar beet farming,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,133,Sugarcane and Sugar Beets,11
111992,Peanut farming,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,139,"Field Crops, Except Cash Grain",11
111998,All other miscellaneous crop farming,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,139,"Field Crops, Except Cash Grain",11
112,Animal production and aquaculture,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
1121,Cattle ranching and farming,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
11211,"Beef cattle ranching, farming, and feedlots","Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
112111,Beef cattle ranching and farming,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,212,"Beef Cattle, Except Feedlots",11
112112,Cattle feedlots,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,211,Beef Cattle Feedlots,11
11212,Dairy cattle and milk production,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
112120,Dairy cattle and milk production,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,241,Dairy Farms,11
1122,Hog and pig farming,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
11221,Hog and pig farming,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
112210,Hog and pig farming,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,213,Hogs,11
1123,Poultry and egg production,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
11231,Chicken egg production,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
112310,Chicken egg production,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,252,Chicken Eggs,11
11232,Broilers and meat type chicken production,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
112320,Broilers and meat type chicken production,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,251,"Broiler, Fryer, and Roaster Chickens",11
11233,Turkey production,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
112330,Turkey production,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,253,Turkeys and Turkey Eggs,11
11234,Poultry hatcheries,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
112340,Poultry hatcheries,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,254,Poultry Hatcheries,11
11239,Other poultry production,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
112390,Other poultry production,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,259,"Poultry and Eggs, Nec",11
1124,Sheep and goat farming,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
11241,Sheep farming,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
112410,Sheep farming,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,214,Sheep and Goats,11
11242,Goat farming,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
112420,Goat farming,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,214,Sheep and Goats,11
