idindustrysector,ds_name,ic_active
81,"Other services, except public administration",t
99,Unclassified,t
92,Public administration,t
71,"Arts, entertainment, and recreation",t
32,Manufacturing,t
21,"Mining, quarrying, and oil and gas extraction",t
61,Educational services,t
54,Professional and technical services,t
48,Transportation and warehousing,t
44,Retail trade,t
52,Finance and insurance,t
49,Transportation and warehousing,t
55,Management of companies and enterprises,t
31,Manufacturing,t
56,Administrative and waste services,t
11,"Agriculture, forestry, fishing and hunting",t
33,Manufacturing,t
72,Accommodation and food services,t
42,Wholesale trade,t
22,Utilities,t
62,Health care and social assistance,t
51,Information,t
53,Real estate and rental and leasing,t
45,Retail trade,t
23,Construction,t
